model,architecture,run,artifact,filename,mtime_utc_iso,last_commit_utc_iso,last_commit_sha,last_commit_subject
deepseek,Example-Guided_LLM_Scoring,3,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:22+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
deepseek,Example-Guided_LLM_Scoring,3,results_xlsx,Example-Guided_LLM_Scoring_results_run_03.xlsx,2026-07-29T20:41:22+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
deepseek,Example-Guided_LLM_Scoring,4,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:22+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
deepseek,Example-Guided_LLM_Scoring,4,results_xlsx,Example-Guided_LLM_Scoring_results_run_04.xlsx,2026-07-29T20:41:22+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
deepseek,Example-Guided_LLM_Scoring,5,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_05.json,2026-07-29T20:41:22+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
deepseek,Example-Guided_LLM_Scoring,5,results_xlsx,Example-Guided_LLM_Scoring_results_run_05.xlsx,2026-07-29T20:41:22+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
deepseek,LLM-Parameterized_Reference_Scoring,1,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:22+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
deepseek,LLM-Parameterized_Reference_Scoring,1,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_01.xlsx,2026-07-29T20:41:23+00:00,2026-06-28T08:14:23-04:00,bdb8ae70,"after running, reaslized there were tiebreak [pronlems so i fixed the aggregation logic and the system prompts now include other alternatives"
deepseek,LLM-Parameterized_Reference_Scoring,2,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:22+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
deepseek,LLM-Parameterized_Reference_Scoring,2,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_02.xlsx,2026-07-29T20:41:23+00:00,2026-07-03T23:03:04-04:00,013e02a6,ran all deepseek benchmarks {Deepseek confirmed) (COST: cannot be specified due to running other models. will be calculated later)
deepseek,LLM-Parameterized_Reference_Scoring,3,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:22+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
deepseek,LLM-Parameterized_Reference_Scoring,3,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_03.xlsx,2026-07-29T20:41:23+00:00,2026-07-03T23:03:04-04:00,013e02a6,ran all deepseek benchmarks {Deepseek confirmed) (COST: cannot be specified due to running other models. will be calculated later)
deepseek,LLM-Parameterized_Reference_Scoring,4,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:22+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
deepseek,LLM-Parameterized_Reference_Scoring,4,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_04.xlsx,2026-07-29T20:41:23+00:00,2026-07-03T23:03:04-04:00,013e02a6,ran all deepseek benchmarks {Deepseek confirmed) (COST: cannot be specified due to running other models. will be calculated later)
deepseek,LLM-Parameterized_Reference_Scoring,5,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_05.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
deepseek,LLM-Parameterized_Reference_Scoring,5,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_05.xlsx,2026-07-29T20:41:23+00:00,2026-07-03T23:03:04-04:00,013e02a6,ran all deepseek benchmarks {Deepseek confirmed) (COST: cannot be specified due to running other models. will be calculated later)
gemini,Direct_LLM_Scoring,1,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:24+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gemini,Direct_LLM_Scoring,1,results_xlsx,Direct_LLM_Scoring_results_run_01.xlsx,2026-07-29T20:41:24+00:00,2026-07-05T21:41:49-04:00,f5889642,ran all gemini benchmarks.
gemini,Direct_LLM_Scoring,2,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:24+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gemini,Direct_LLM_Scoring,2,results_xlsx,Direct_LLM_Scoring_results_run_02.xlsx,2026-07-29T20:41:24+00:00,2026-07-05T21:41:49-04:00,f5889642,ran all gemini benchmarks.
gemini,Direct_LLM_Scoring,3,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:24+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gemini,Direct_LLM_Scoring,3,results_xlsx,Direct_LLM_Scoring_results_run_03.xlsx,2026-07-29T20:41:24+00:00,2026-07-05T21:41:49-04:00,f5889642,ran all gemini benchmarks.
gemini,Direct_LLM_Scoring,4,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:24+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gemini,Direct_LLM_Scoring,4,results_xlsx,Direct_LLM_Scoring_results_run_04.xlsx,2026-07-29T20:41:24+00:00,2026-07-05T21:41:49-04:00,f5889642,ran all gemini benchmarks.
gemini,Direct_LLM_Scoring,5,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_05.json,2026-07-29T20:41:24+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gemini,Direct_LLM_Scoring,5,results_xlsx,Direct_LLM_Scoring_results_run_05.xlsx,2026-07-29T20:41:24+00:00,2026-07-05T21:41:49-04:00,f5889642,ran all gemini benchmarks.
gemini,Example-Guided_LLM_Scoring,1,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:24+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gemini,Example-Guided_LLM_Scoring,1,results_xlsx,Example-Guided_LLM_Scoring_results_run_01.xlsx,2026-07-29T20:41:24+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gemini,Example-Guided_LLM_Scoring,2,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:24+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gemini,Example-Guided_LLM_Scoring,2,results_xlsx,Example-Guided_LLM_Scoring_results_run_02.xlsx,2026-07-29T20:41:24+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gemini,Example-Guided_LLM_Scoring,3,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:24+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gemini,Example-Guided_LLM_Scoring,3,results_xlsx,Example-Guided_LLM_Scoring_results_run_03.xlsx,2026-07-29T20:41:24+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gemini,Example-Guided_LLM_Scoring,4,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:24+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gemini,Example-Guided_LLM_Scoring,4,results_xlsx,Example-Guided_LLM_Scoring_results_run_04.xlsx,2026-07-29T20:41:24+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gemini,Example-Guided_LLM_Scoring,5,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_05.json,2026-07-29T20:41:24+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gemini,Example-Guided_LLM_Scoring,5,results_xlsx,Example-Guided_LLM_Scoring_results_run_05.xlsx,2026-07-29T20:41:24+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gemini,LLM-Parameterized_Reference_Scoring,1,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:24+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gemini,LLM-Parameterized_Reference_Scoring,1,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_01.xlsx,2026-07-29T20:41:24+00:00,2026-07-04T14:35:33-04:00,346a5b43,ran gemini (COST: 8.13)
gemini,LLM-Parameterized_Reference_Scoring,2,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:24+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gemini,LLM-Parameterized_Reference_Scoring,2,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_02.xlsx,2026-07-29T20:41:24+00:00,2026-07-04T14:35:33-04:00,346a5b43,ran gemini (COST: 8.13)
gemini,LLM-Parameterized_Reference_Scoring,3,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:24+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gemini,LLM-Parameterized_Reference_Scoring,3,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_03.xlsx,2026-07-29T20:41:24+00:00,2026-07-04T14:35:33-04:00,346a5b43,ran gemini (COST: 8.13)
gemini,LLM-Parameterized_Reference_Scoring,4,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:24+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gemini,LLM-Parameterized_Reference_Scoring,4,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_04.xlsx,2026-07-29T20:41:24+00:00,2026-07-04T14:35:33-04:00,346a5b43,ran gemini (COST: 8.13)
gemini,LLM-Parameterized_Reference_Scoring,5,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_05.json,2026-07-29T20:41:24+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gemini,LLM-Parameterized_Reference_Scoring,5,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_05.xlsx,2026-07-29T20:41:24+00:00,2026-07-04T14:35:33-04:00,346a5b43,ran gemini (COST: 8.13)
gptoss,Direct_LLM_Scoring,1,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gptoss,Direct_LLM_Scoring,1,results_xlsx,Direct_LLM_Scoring_results_run_01.xlsx,2026-07-29T20:41:23+00:00,2026-07-05T09:56:27-04:00,9454af8a,GPT OSS model benchmarks reran.
gptoss,Direct_LLM_Scoring,2,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gptoss,Direct_LLM_Scoring,2,results_xlsx,Direct_LLM_Scoring_results_run_02.xlsx,2026-07-29T20:41:23+00:00,2026-07-05T09:56:27-04:00,9454af8a,GPT OSS model benchmarks reran.
gptoss,Direct_LLM_Scoring,3,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gptoss,Direct_LLM_Scoring,3,results_xlsx,Direct_LLM_Scoring_results_run_03.xlsx,2026-07-29T20:41:23+00:00,2026-07-05T09:56:27-04:00,9454af8a,GPT OSS model benchmarks reran.
gptoss,Direct_LLM_Scoring,4,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gptoss,Direct_LLM_Scoring,4,results_xlsx,Direct_LLM_Scoring_results_run_04.xlsx,2026-07-29T20:41:23+00:00,2026-07-05T09:56:27-04:00,9454af8a,GPT OSS model benchmarks reran.
gptoss,Direct_LLM_Scoring,5,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_05.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gptoss,Direct_LLM_Scoring,5,results_xlsx,Direct_LLM_Scoring_results_run_05.xlsx,2026-07-29T20:41:23+00:00,2026-07-05T09:56:27-04:00,9454af8a,GPT OSS model benchmarks reran.
gptoss,Example-Guided_LLM_Scoring,1,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:23+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gptoss,Example-Guided_LLM_Scoring,1,results_xlsx,Example-Guided_LLM_Scoring_results_run_01.xlsx,2026-07-29T20:41:23+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gptoss,Example-Guided_LLM_Scoring,2,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:23+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gptoss,Example-Guided_LLM_Scoring,2,results_xlsx,Example-Guided_LLM_Scoring_results_run_02.xlsx,2026-07-29T20:41:23+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gptoss,Example-Guided_LLM_Scoring,3,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:23+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gptoss,Example-Guided_LLM_Scoring,3,results_xlsx,Example-Guided_LLM_Scoring_results_run_03.xlsx,2026-07-29T20:41:23+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gptoss,Example-Guided_LLM_Scoring,4,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:23+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gptoss,Example-Guided_LLM_Scoring,4,results_xlsx,Example-Guided_LLM_Scoring_results_run_04.xlsx,2026-07-29T20:41:23+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gptoss,Example-Guided_LLM_Scoring,5,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_05.json,2026-07-29T20:41:23+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gptoss,Example-Guided_LLM_Scoring,5,results_xlsx,Example-Guided_LLM_Scoring_results_run_05.xlsx,2026-07-29T20:41:23+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
gptoss,LLM-Parameterized_Reference_Scoring,1,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gptoss,LLM-Parameterized_Reference_Scoring,1,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_01.xlsx,2026-07-29T20:41:23+00:00,2026-07-03T23:03:04-04:00,013e02a6,ran all deepseek benchmarks {Deepseek confirmed) (COST: cannot be specified due to running other models. will be calculated later)
gptoss,LLM-Parameterized_Reference_Scoring,2,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gptoss,LLM-Parameterized_Reference_Scoring,2,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_02.xlsx,2026-07-29T20:41:23+00:00,2026-07-03T23:03:04-04:00,013e02a6,ran all deepseek benchmarks {Deepseek confirmed) (COST: cannot be specified due to running other models. will be calculated later)
gptoss,LLM-Parameterized_Reference_Scoring,3,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gptoss,LLM-Parameterized_Reference_Scoring,3,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_03.xlsx,2026-07-29T20:41:23+00:00,2026-07-03T23:03:04-04:00,013e02a6,ran all deepseek benchmarks {Deepseek confirmed) (COST: cannot be specified due to running other models. will be calculated later)
gptoss,LLM-Parameterized_Reference_Scoring,4,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gptoss,LLM-Parameterized_Reference_Scoring,4,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_04.xlsx,2026-07-29T20:41:23+00:00,2026-07-03T23:03:04-04:00,013e02a6,ran all deepseek benchmarks {Deepseek confirmed) (COST: cannot be specified due to running other models. will be calculated later)
gptoss,LLM-Parameterized_Reference_Scoring,5,diagnostics_json,LLM-Parameterized_Reference_Scoring_results_diagnostics_run_05.json,2026-07-29T20:41:23+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
gptoss,LLM-Parameterized_Reference_Scoring,5,results_xlsx,LLM-Parameterized_Reference_Scoring_results_run_05.xlsx,2026-07-29T20:41:23+00:00,2026-07-03T23:03:04-04:00,013e02a6,ran all deepseek benchmarks {Deepseek confirmed) (COST: cannot be specified due to running other models. will be calculated later)
qwen,Direct_LLM_Scoring,1,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:25+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
qwen,Direct_LLM_Scoring,1,results_xlsx,Direct_LLM_Scoring_results_run_01.xlsx,2026-07-29T20:41:25+00:00,2026-07-05T11:42:21-04:00,7a05c62c,ran all qwen
qwen,Direct_LLM_Scoring,2,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:25+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
qwen,Direct_LLM_Scoring,2,results_xlsx,Direct_LLM_Scoring_results_run_02.xlsx,2026-07-29T20:41:25+00:00,2026-07-05T11:42:21-04:00,7a05c62c,ran all qwen
qwen,Direct_LLM_Scoring,3,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:25+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
qwen,Direct_LLM_Scoring,3,results_xlsx,Direct_LLM_Scoring_results_run_03.xlsx,2026-07-29T20:41:25+00:00,2026-07-05T11:42:21-04:00,7a05c62c,ran all qwen
qwen,Direct_LLM_Scoring,4,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:25+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
qwen,Direct_LLM_Scoring,4,results_xlsx,Direct_LLM_Scoring_results_run_04.xlsx,2026-07-29T20:41:25+00:00,2026-07-05T11:42:21-04:00,7a05c62c,ran all qwen
qwen,Direct_LLM_Scoring,5,diagnostics_json,Direct_LLM_Scoring_results_diagnostics_run_05.json,2026-07-29T20:41:25+00:00,2026-07-31T20:15:01-04:00,f674e18c,cleaned old files
qwen,Direct_LLM_Scoring,5,results_xlsx,Direct_LLM_Scoring_results_run_05.xlsx,2026-07-29T20:41:25+00:00,2026-07-05T11:42:21-04:00,7a05c62c,ran all qwen
qwen,Example-Guided_LLM_Scoring,1,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_01.json,2026-07-29T20:41:25+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
qwen,Example-Guided_LLM_Scoring,1,results_xlsx,Example-Guided_LLM_Scoring_results_run_01.xlsx,2026-07-29T20:41:25+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
qwen,Example-Guided_LLM_Scoring,2,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_02.json,2026-07-29T20:41:25+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
qwen,Example-Guided_LLM_Scoring,2,results_xlsx,Example-Guided_LLM_Scoring_results_run_02.xlsx,2026-07-29T20:41:25+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
qwen,Example-Guided_LLM_Scoring,3,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_03.json,2026-07-29T20:41:25+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
qwen,Example-Guided_LLM_Scoring,3,results_xlsx,Example-Guided_LLM_Scoring_results_run_03.xlsx,2026-07-29T20:41:25+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
qwen,Example-Guided_LLM_Scoring,4,diagnostics_json,Example-Guided_LLM_Scoring_results_diagnostics_run_04.json,2026-07-29T20:41:25+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
qwen,Example-Guided_LLM_Scoring,4,results_xlsx,Example-Guided_LLM_Scoring_results_run_04.xlsx,2026-07-29T20:41:25+00:00,2026-07-21T10:10:08-04:00,8cae5266,reran all rag and recomputed all metrics and (significance and direct). also updated all paper metrics and redefined rag a little bit due to different exemplar count.
