phase,quantity,model,decision_type,metric,value,note
after,AH_pipeline,qwen,Shower,top1,0.89,
after,AH_pipeline,qwen,Shower,mae,0.0397,
after,AH_pipeline,qwen,Shower,n_scored,300,
after,AH_pipeline,qwen,Overall,success_rate,0.997948717948718,
after,DM_param,all,HVAC,r_value,16.0,
after,DM_param,all,HVAC,seer,13.0,
after,DM_param,all,HVAC,hvac_age,16.0,
after,DM_param,all,HVAC,occupancy_context,standard,
after,DM_param,all,Appliance,kwh_per_cycle,1.2,
after,DM_param,all,Appliance,appliance,dryer,
after,DM_param,all,Appliance,baseline_time,9:00 AM,
after,DM_param,all,Shower,gpm,2.25,
after,DM_param,all,Shower,tank_size,45.0,
after,DM_param,all,Shower,water_heater_temp,120.0,
after,hybrid:default_params,deepseek,Overall,kendall_tau,0.6410256410256411,
after,hybrid:default_params,deepseek,Overall,top1,0.7589743589743589,
after,hybrid:default_params,deepseek,Overall,mae,0.13273931623931623,
after,hybrid:default_params,deepseek,Overall,n_runs,1,
after,hybrid:default_params,deepseek,Overall,n_scored,195,
after,hybrid:default_params,deepseek,Overall,n_total,195,
after,hybrid:default_params,deepseek,Overall,success_rate,1.0,
after,hybrid:default_params,deepseek,Overall,tau_inclusive,0.6410256410256411,
after,hybrid:default_params,deepseek,Overall,top1_inclusive,0.7589743589743589,
after,hybrid:default_params,deepseek,HVAC,kendall_tau,0.9333333333333332,
after,hybrid:default_params,deepseek,HVAC,top1,0.9571428571428572,
after,hybrid:default_params,deepseek,HVAC,mae,0.07029761904761907,
after,hybrid:default_params,deepseek,HVAC,n_runs,1,
after,hybrid:default_params,deepseek,HVAC,n_scored,70,
after,hybrid:default_params,deepseek,HVAC,n_total,70,
after,hybrid:default_params,deepseek,HVAC,success_rate,1.0,
after,hybrid:default_params,deepseek,HVAC,tau_inclusive,0.9333333333333332,
after,hybrid:default_params,deepseek,HVAC,top1_inclusive,0.9571428571428572,
after,hybrid:default_params,deepseek,Appliance,kendall_tau,0.18974358974358976,
after,hybrid:default_params,deepseek,Appliance,top1,0.49230769230769234,
after,hybrid:default_params,deepseek,Appliance,mae,0.2606794871794872,
after,hybrid:default_params,deepseek,Appliance,n_runs,1,
after,hybrid:default_params,deepseek,Appliance,n_scored,65,
after,hybrid:default_params,deepseek,Appliance,n_total,65,
after,hybrid:default_params,deepseek,Appliance,success_rate,1.0,
after,hybrid:default_params,deepseek,Appliance,tau_inclusive,0.18974358974358976,
after,hybrid:default_params,deepseek,Appliance,top1_inclusive,0.49230769230769234,
after,hybrid:default_params,deepseek,Shower,kendall_tau,0.788888888888889,
after,hybrid:default_params,deepseek,Shower,top1,0.8166666666666667,
after,hybrid:default_params,deepseek,Shower,mae,0.06698611111111112,
after,hybrid:default_params,deepseek,Shower,n_runs,1,
after,hybrid:default_params,deepseek,Shower,n_scored,60,
after,hybrid:default_params,deepseek,Shower,n_total,60,
after,hybrid:default_params,deepseek,Shower,success_rate,1.0,
after,hybrid:default_params,deepseek,Shower,tau_inclusive,0.788888888888889,
after,hybrid:default_params,deepseek,Shower,top1_inclusive,0.8166666666666667,
after,hybrid:extracted,deepseek,Overall,kendall_tau,0.897323112168473,
after,hybrid:extracted,deepseek,Overall,top1,0.9075865715040973,
after,hybrid:extracted,deepseek,Overall,mae,0.04481948189267777,
after,hybrid:extracted,deepseek,Overall,n_runs,5,
after,hybrid:extracted,deepseek,Overall,n_scored,974,
after,hybrid:extracted,deepseek,Overall,n_total,975,
after,hybrid:extracted,deepseek,Overall,success_rate,0.9989743589743589,
after,hybrid:extracted,deepseek,Overall,tau_inclusive,0.8964102564102564,
after,hybrid:extracted,deepseek,Overall,top1_inclusive,0.9070085470085469,
after,hybrid:extracted,deepseek,HVAC,kendall_tau,0.9197515527950311,
after,hybrid:extracted,deepseek,HVAC,top1,0.9197515527950311,
after,hybrid:extracted,deepseek,HVAC,mae,0.04471890959282263,
after,hybrid:extracted,deepseek,HVAC,n_runs,5,
after,hybrid:extracted,deepseek,HVAC,n_scored,349,
after,hybrid:extracted,deepseek,HVAC,n_total,350,
after,hybrid:extracted,deepseek,HVAC,success_rate,0.9971428571428571,
after,hybrid:extracted,deepseek,HVAC,tau_inclusive,0.917142857142857,
after,hybrid:extracted,deepseek,HVAC,top1_inclusive,0.9180952380952382,
after,hybrid:extracted,deepseek,Appliance,kendall_tau,0.9753846153846155,
after,hybrid:extracted,deepseek,Appliance,top1,0.9846153846153847,
after,hybrid:extracted,deepseek,Appliance,mae,0.04037435897435897,
after,hybrid:extracted,deepseek,Appliance,n_runs,5,
after,hybrid:extracted,deepseek,Appliance,n_scored,325,
after,hybrid:extracted,deepseek,Appliance,n_total,325,
after,hybrid:extracted,deepseek,Appliance,success_rate,1.0,
after,hybrid:extracted,deepseek,Appliance,tau_inclusive,0.9753846153846155,
after,hybrid:extracted,deepseek,Appliance,top1_inclusive,0.9846153846153847,
after,hybrid:extracted,deepseek,Shower,kendall_tau,0.7866666666666665,
after,hybrid:extracted,deepseek,Shower,top1,0.8099999999999999,
after,hybrid:extracted,deepseek,Shower,mae,0.049744444444444445,
after,hybrid:extracted,deepseek,Shower,n_runs,5,
after,hybrid:extracted,deepseek,Shower,n_scored,300,
after,hybrid:extracted,deepseek,Shower,n_total,300,
after,hybrid:extracted,deepseek,Shower,success_rate,1.0,
after,hybrid:extracted,deepseek,Shower,tau_inclusive,0.7866666666666665,
after,hybrid:extracted,deepseek,Shower,top1_inclusive,0.8099999999999999,
after,hybrid:order_control,deepseek,Overall,kendall_tau,0.8974358974358975,
after,hybrid:order_control,deepseek,Overall,top1,0.9042735042735043,
after,hybrid:order_control,deepseek,Overall,mae,0.04548860398860397,
after,hybrid:order_control,deepseek,Overall,n_runs,3,
after,hybrid:order_control,deepseek,Overall,n_scored,585,
after,hybrid:order_control,deepseek,Overall,n_total,585,
after,hybrid:order_control,deepseek,Overall,success_rate,1.0,
after,hybrid:order_control,deepseek,Overall,tau_inclusive,0.8974358974358975,
after,hybrid:order_control,deepseek,Overall,top1_inclusive,0.9042735042735043,
after,hybrid:order_control,deepseek,HVAC,kendall_tau,0.9238095238095237,
after,hybrid:order_control,deepseek,HVAC,top1,0.9285714285714285,
after,hybrid:order_control,deepseek,HVAC,mae,0.04386904761904762,
after,hybrid:order_control,deepseek,HVAC,n_runs,3,
after,hybrid:order_control,deepseek,HVAC,n_scored,210,
after,hybrid:order_control,deepseek,HVAC,n_total,210,
after,hybrid:order_control,deepseek,HVAC,success_rate,1.0,
after,hybrid:order_control,deepseek,HVAC,tau_inclusive,0.9238095238095237,
after,hybrid:order_control,deepseek,HVAC,top1_inclusive,0.9285714285714285,
after,hybrid:order_control,deepseek,Appliance,kendall_tau,0.9794871794871796,
after,hybrid:order_control,deepseek,Appliance,top1,0.9846153846153847,
after,hybrid:order_control,deepseek,Appliance,mae,0.038700854700854694,
after,hybrid:order_control,deepseek,Appliance,n_runs,3,
after,hybrid:order_control,deepseek,Appliance,n_scored,195,
after,hybrid:order_control,deepseek,Appliance,n_total,195,
after,hybrid:order_control,deepseek,Appliance,success_rate,1.0,
after,hybrid:order_control,deepseek,Appliance,tau_inclusive,0.9794871794871796,
after,hybrid:order_control,deepseek,Appliance,top1_inclusive,0.9846153846153847,
after,hybrid:order_control,deepseek,Shower,kendall_tau,0.7777777777777778,
after,hybrid:order_control,deepseek,Shower,top1,0.7888888888888889,
after,hybrid:order_control,deepseek,Shower,mae,0.054731481481481485,
after,hybrid:order_control,deepseek,Shower,n_runs,3,
after,hybrid:order_control,deepseek,Shower,n_scored,180,
after,hybrid:order_control,deepseek,Shower,n_total,180,
after,hybrid:order_control,deepseek,Shower,success_rate,1.0,
after,hybrid:order_control,deepseek,Shower,tau_inclusive,0.7777777777777778,
after,hybrid:order_control,deepseek,Shower,top1_inclusive,0.7888888888888889,
after,hybrid:order_reversed,deepseek,Overall,kendall_tau,0.9015384615384615,
after,hybrid:order_reversed,deepseek,Overall,top1,0.9107692307692308,
after,hybrid:order_reversed,deepseek,Overall,mae,0.0440111111111111,
after,hybrid:order_reversed,deepseek,Overall,n_runs,5,
after,hybrid:order_reversed,deepseek,Overall,n_scored,975,
after,hybrid:order_reversed,deepseek,Overall,n_total,975,
after,hybrid:order_reversed,deepseek,Overall,success_rate,1.0,
after,hybrid:order_reversed,deepseek,Overall,tau_inclusive,0.9015384615384615,
after,hybrid:order_reversed,deepseek,Overall,top1_inclusive,0.9107692307692308,
after,hybrid:order_reversed,deepseek,HVAC,kendall_tau,0.9180952380952381,
after,hybrid:order_reversed,deepseek,HVAC,top1,0.9228571428571428,
after,hybrid:order_reversed,deepseek,HVAC,mae,0.04477857142857143,
after,hybrid:order_reversed,deepseek,HVAC,n_runs,5,
after,hybrid:order_reversed,deepseek,HVAC,n_scored,350,
after,hybrid:order_reversed,deepseek,HVAC,n_total,350,
after,hybrid:order_reversed,deepseek,HVAC,success_rate,1.0,
after,hybrid:order_reversed,deepseek,HVAC,tau_inclusive,0.9180952380952381,
after,hybrid:order_reversed,deepseek,HVAC,top1_inclusive,0.9228571428571428,
after,hybrid:order_reversed,deepseek,Appliance,kendall_tau,0.9794871794871796,
after,hybrid:order_reversed,deepseek,Appliance,top1,0.9846153846153847,
after,hybrid:order_reversed,deepseek,Appliance,mae,0.03826153846153846,
after,hybrid:order_reversed,deepseek,Appliance,n_runs,5,
after,hybrid:order_reversed,deepseek,Appliance,n_scored,325,
after,hybrid:order_reversed,deepseek,Appliance,n_total,325,
after,hybrid:order_reversed,deepseek,Appliance,success_rate,1.0,
after,hybrid:order_reversed,deepseek,Appliance,tau_inclusive,0.9794871794871796,
after,hybrid:order_reversed,deepseek,Appliance,top1_inclusive,0.9846153846153847,
after,hybrid:order_reversed,deepseek,Shower,kendall_tau,0.7977777777777778,
after,hybrid:order_reversed,deepseek,Shower,top1,0.8166666666666667,
after,hybrid:order_reversed,deepseek,Shower,mae,0.049344444444444455,
after,hybrid:order_reversed,deepseek,Shower,n_runs,5,
after,hybrid:order_reversed,deepseek,Shower,n_scored,300,
after,hybrid:order_reversed,deepseek,Shower,n_total,300,
after,hybrid:order_reversed,deepseek,Shower,success_rate,1.0,
after,hybrid:order_reversed,deepseek,Shower,tau_inclusive,0.7977777777777778,
after,hybrid:order_reversed,deepseek,Shower,top1_inclusive,0.8166666666666667,
after,hybrid:default_params,gemini,Overall,kendall_tau,0.6410256410256411,
after,hybrid:default_params,gemini,Overall,top1,0.7589743589743589,
after,hybrid:default_params,gemini,Overall,mae,0.13273931623931623,
after,hybrid:default_params,gemini,Overall,n_runs,1,
after,hybrid:default_params,gemini,Overall,n_scored,195,
after,hybrid:default_params,gemini,Overall,n_total,195,
after,hybrid:default_params,gemini,Overall,success_rate,1.0,
after,hybrid:default_params,gemini,Overall,tau_inclusive,0.6410256410256411,
after,hybrid:default_params,gemini,Overall,top1_inclusive,0.7589743589743589,
after,hybrid:default_params,gemini,HVAC,kendall_tau,0.9333333333333332,
after,hybrid:default_params,gemini,HVAC,top1,0.9571428571428572,
after,hybrid:default_params,gemini,HVAC,mae,0.07029761904761907,
after,hybrid:default_params,gemini,HVAC,n_runs,1,
after,hybrid:default_params,gemini,HVAC,n_scored,70,
after,hybrid:default_params,gemini,HVAC,n_total,70,
after,hybrid:default_params,gemini,HVAC,success_rate,1.0,
after,hybrid:default_params,gemini,HVAC,tau_inclusive,0.9333333333333332,
after,hybrid:default_params,gemini,HVAC,top1_inclusive,0.9571428571428572,
after,hybrid:default_params,gemini,Appliance,kendall_tau,0.18974358974358976,
after,hybrid:default_params,gemini,Appliance,top1,0.49230769230769234,
after,hybrid:default_params,gemini,Appliance,mae,0.2606794871794872,
after,hybrid:default_params,gemini,Appliance,n_runs,1,
after,hybrid:default_params,gemini,Appliance,n_scored,65,
after,hybrid:default_params,gemini,Appliance,n_total,65,
after,hybrid:default_params,gemini,Appliance,success_rate,1.0,
after,hybrid:default_params,gemini,Appliance,tau_inclusive,0.18974358974358976,
after,hybrid:default_params,gemini,Appliance,top1_inclusive,0.49230769230769234,
after,hybrid:default_params,gemini,Shower,kendall_tau,0.788888888888889,
after,hybrid:default_params,gemini,Shower,top1,0.8166666666666667,
after,hybrid:default_params,gemini,Shower,mae,0.06698611111111112,
after,hybrid:default_params,gemini,Shower,n_runs,1,
after,hybrid:default_params,gemini,Shower,n_scored,60,
after,hybrid:default_params,gemini,Shower,n_total,60,
after,hybrid:default_params,gemini,Shower,success_rate,1.0,
after,hybrid:default_params,gemini,Shower,tau_inclusive,0.788888888888889,
after,hybrid:default_params,gemini,Shower,top1_inclusive,0.8166666666666667,
after,hybrid:extracted,gemini,Overall,kendall_tau,0.9199999999999999,
after,hybrid:extracted,gemini,Overall,top1,0.9312820512820513,
after,hybrid:extracted,gemini,Overall,mae,0.04768290598290597,
after,hybrid:extracted,gemini,Overall,n_runs,5,
after,hybrid:extracted,gemini,Overall,n_scored,975,
after,hybrid:extracted,gemini,Overall,n_total,975,
after,hybrid:extracted,gemini,Overall,success_rate,1.0,
after,hybrid:extracted,gemini,Overall,tau_inclusive,0.9199999999999999,
after,hybrid:extracted,gemini,Overall,top1_inclusive,0.9312820512820513,
after,hybrid:extracted,gemini,HVAC,kendall_tau,0.9676190476190476,
after,hybrid:extracted,gemini,HVAC,top1,0.9657142857142856,
after,hybrid:extracted,gemini,HVAC,mae,0.02954285714285714,
after,hybrid:extracted,gemini,HVAC,n_runs,5,
after,hybrid:extracted,gemini,HVAC,n_scored,350,
after,hybrid:extracted,gemini,HVAC,n_total,350,
after,hybrid:extracted,gemini,HVAC,success_rate,1.0,
after,hybrid:extracted,gemini,HVAC,tau_inclusive,0.9676190476190476,
after,hybrid:extracted,gemini,HVAC,top1_inclusive,0.9657142857142856,
after,hybrid:extracted,gemini,Appliance,kendall_tau,0.9589743589743589,
after,hybrid:extracted,gemini,Appliance,top1,0.9692307692307691,
after,hybrid:extracted,gemini,Appliance,mae,0.06653333333333335,
after,hybrid:extracted,gemini,Appliance,n_runs,5,
after,hybrid:extracted,gemini,Appliance,n_scored,325,
after,hybrid:extracted,gemini,Appliance,n_total,325,
after,hybrid:extracted,gemini,Appliance,success_rate,1.0,
after,hybrid:extracted,gemini,Appliance,tau_inclusive,0.9589743589743589,
after,hybrid:extracted,gemini,Appliance,top1_inclusive,0.9692307692307691,
after,hybrid:extracted,gemini,Shower,kendall_tau,0.8222222222222222,
after,hybrid:extracted,gemini,Shower,top1,0.85,
after,hybrid:extracted,gemini,Shower,mae,0.048424999999999996,
after,hybrid:extracted,gemini,Shower,n_runs,5,
after,hybrid:extracted,gemini,Shower,n_scored,300,
after,hybrid:extracted,gemini,Shower,n_total,300,
after,hybrid:extracted,gemini,Shower,success_rate,1.0,
after,hybrid:extracted,gemini,Shower,tau_inclusive,0.8222222222222222,
after,hybrid:extracted,gemini,Shower,top1_inclusive,0.85,
after,hybrid:order_control,gemini,Overall,kendall_tau,0.9259259259259259,
after,hybrid:order_control,gemini,Overall,top1,0.9384615384615383,
after,hybrid:order_control,gemini,Overall,mae,0.04538176638176638,
after,hybrid:order_control,gemini,Overall,n_runs,3,
after,hybrid:order_control,gemini,Overall,n_scored,585,
after,hybrid:order_control,gemini,Overall,n_total,585,
after,hybrid:order_control,gemini,Overall,success_rate,1.0,
after,hybrid:order_control,gemini,Overall,tau_inclusive,0.9259259259259259,
after,hybrid:order_control,gemini,Overall,top1_inclusive,0.9384615384615383,
after,hybrid:order_control,gemini,HVAC,kendall_tau,0.9714285714285714,
after,hybrid:order_control,gemini,HVAC,top1,0.9714285714285714,
after,hybrid:order_control,gemini,HVAC,mae,0.02763888888888889,
after,hybrid:order_control,gemini,HVAC,n_runs,3,
after,hybrid:order_control,gemini,HVAC,n_scored,210,
after,hybrid:order_control,gemini,HVAC,n_total,210,
after,hybrid:order_control,gemini,HVAC,success_rate,1.0,
after,hybrid:order_control,gemini,HVAC,tau_inclusive,0.9714285714285714,
after,hybrid:order_control,gemini,HVAC,top1_inclusive,0.9714285714285714,
after,hybrid:order_control,gemini,Appliance,kendall_tau,0.9692307692307693,
after,hybrid:order_control,gemini,Appliance,top1,0.9846153846153847,
after,hybrid:order_control,gemini,Appliance,mae,0.06187179487179487,
after,hybrid:order_control,gemini,Appliance,n_runs,3,
after,hybrid:order_control,gemini,Appliance,n_scored,195,
after,hybrid:order_control,gemini,Appliance,n_total,195,
after,hybrid:order_control,gemini,Appliance,success_rate,1.0,
after,hybrid:order_control,gemini,Appliance,tau_inclusive,0.9692307692307693,
after,hybrid:order_control,gemini,Appliance,top1_inclusive,0.9846153846153847,
after,hybrid:order_control,gemini,Shower,kendall_tau,0.825925925925926,
after,hybrid:order_control,gemini,Shower,top1,0.85,
after,hybrid:order_control,gemini,Shower,mae,0.0482175925925926,
after,hybrid:order_control,gemini,Shower,n_runs,3,
after,hybrid:order_control,gemini,Shower,n_scored,180,
after,hybrid:order_control,gemini,Shower,n_total,180,
after,hybrid:order_control,gemini,Shower,success_rate,1.0,
after,hybrid:order_control,gemini,Shower,tau_inclusive,0.825925925925926,
after,hybrid:order_control,gemini,Shower,top1_inclusive,0.85,
after,hybrid:order_reversed,gemini,Overall,kendall_tau,0.9247863247863247,
after,hybrid:order_reversed,gemini,Overall,top1,0.9364102564102564,
after,hybrid:order_reversed,gemini,Overall,mae,0.04663418803418803,
after,hybrid:order_reversed,gemini,Overall,n_runs,5,
after,hybrid:order_reversed,gemini,Overall,n_scored,975,
after,hybrid:order_reversed,gemini,Overall,n_total,975,
after,hybrid:order_reversed,gemini,Overall,success_rate,1.0,
after,hybrid:order_reversed,gemini,Overall,tau_inclusive,0.9247863247863247,
after,hybrid:order_reversed,gemini,Overall,top1_inclusive,0.9364102564102564,
after,hybrid:order_reversed,gemini,HVAC,kendall_tau,0.9695238095238095,
after,hybrid:order_reversed,gemini,HVAC,top1,0.9685714285714285,
after,hybrid:order_reversed,gemini,HVAC,mae,0.02749761904761905,
after,hybrid:order_reversed,gemini,HVAC,n_runs,5,
after,hybrid:order_reversed,gemini,HVAC,n_scored,350,
after,hybrid:order_reversed,gemini,HVAC,n_total,350,
after,hybrid:order_reversed,gemini,HVAC,success_rate,1.0,
after,hybrid:order_reversed,gemini,HVAC,tau_inclusive,0.9695238095238095,
after,hybrid:order_reversed,gemini,HVAC,top1_inclusive,0.9685714285714285,
after,hybrid:order_reversed,gemini,Appliance,kendall_tau,0.9671794871794871,
after,hybrid:order_reversed,gemini,Appliance,top1,0.9815384615384616,
after,hybrid:order_reversed,gemini,Appliance,mae,0.06580512820512821,
after,hybrid:order_reversed,gemini,Appliance,n_runs,5,
after,hybrid:order_reversed,gemini,Appliance,n_scored,325,
after,hybrid:order_reversed,gemini,Appliance,n_total,325,
after,hybrid:order_reversed,gemini,Appliance,success_rate,1.0,
after,hybrid:order_reversed,gemini,Appliance,tau_inclusive,0.9671794871794871,
after,hybrid:order_reversed,gemini,Appliance,top1_inclusive,0.9815384615384616,
after,hybrid:order_reversed,gemini,Shower,kendall_tau,0.8266666666666665,
after,hybrid:order_reversed,gemini,Shower,top1,0.85,
after,hybrid:order_reversed,gemini,Shower,mae,0.04819166666666667,
after,hybrid:order_reversed,gemini,Shower,n_runs,5,
after,hybrid:order_reversed,gemini,Shower,n_scored,300,
after,hybrid:order_reversed,gemini,Shower,n_total,300,
after,hybrid:order_reversed,gemini,Shower,success_rate,1.0,
after,hybrid:order_reversed,gemini,Shower,tau_inclusive,0.8266666666666665,
after,hybrid:order_reversed,gemini,Shower,top1_inclusive,0.85,
after,hybrid:default_params,gptoss,Overall,kendall_tau,0.6410256410256411,
after,hybrid:default_params,gptoss,Overall,top1,0.7589743589743589,
after,hybrid:default_params,gptoss,Overall,mae,0.13273931623931623,
after,hybrid:default_params,gptoss,Overall,n_runs,1,
after,hybrid:default_params,gptoss,Overall,n_scored,195,
after,hybrid:default_params,gptoss,Overall,n_total,195,
after,hybrid:default_params,gptoss,Overall,success_rate,1.0,
after,hybrid:default_params,gptoss,Overall,tau_inclusive,0.6410256410256411,
after,hybrid:default_params,gptoss,Overall,top1_inclusive,0.7589743589743589,
after,hybrid:default_params,gptoss,HVAC,kendall_tau,0.9333333333333332,
after,hybrid:default_params,gptoss,HVAC,top1,0.9571428571428572,
after,hybrid:default_params,gptoss,HVAC,mae,0.07029761904761907,
after,hybrid:default_params,gptoss,HVAC,n_runs,1,
after,hybrid:default_params,gptoss,HVAC,n_scored,70,
after,hybrid:default_params,gptoss,HVAC,n_total,70,
after,hybrid:default_params,gptoss,HVAC,success_rate,1.0,
after,hybrid:default_params,gptoss,HVAC,tau_inclusive,0.9333333333333332,
after,hybrid:default_params,gptoss,HVAC,top1_inclusive,0.9571428571428572,
after,hybrid:default_params,gptoss,Appliance,kendall_tau,0.18974358974358976,
after,hybrid:default_params,gptoss,Appliance,top1,0.49230769230769234,
after,hybrid:default_params,gptoss,Appliance,mae,0.2606794871794872,
after,hybrid:default_params,gptoss,Appliance,n_runs,1,
after,hybrid:default_params,gptoss,Appliance,n_scored,65,
after,hybrid:default_params,gptoss,Appliance,n_total,65,
after,hybrid:default_params,gptoss,Appliance,success_rate,1.0,
after,hybrid:default_params,gptoss,Appliance,tau_inclusive,0.18974358974358976,
after,hybrid:default_params,gptoss,Appliance,top1_inclusive,0.49230769230769234,
after,hybrid:default_params,gptoss,Shower,kendall_tau,0.788888888888889,
after,hybrid:default_params,gptoss,Shower,top1,0.8166666666666667,
after,hybrid:default_params,gptoss,Shower,mae,0.06698611111111112,
after,hybrid:default_params,gptoss,Shower,n_runs,1,
after,hybrid:default_params,gptoss,Shower,n_scored,60,
after,hybrid:default_params,gptoss,Shower,n_total,60,
after,hybrid:default_params,gptoss,Shower,success_rate,1.0,
after,hybrid:default_params,gptoss,Shower,tau_inclusive,0.788888888888889,
after,hybrid:default_params,gptoss,Shower,top1_inclusive,0.8166666666666667,
after,hybrid:extracted,gptoss,Overall,kendall_tau,0.8974193730542617,
after,hybrid:extracted,gptoss,Overall,top1,0.917283010327167,
after,hybrid:extracted,gptoss,Overall,mae,0.051861281462595235,
after,hybrid:extracted,gptoss,Overall,n_runs,5,
after,hybrid:extracted,gptoss,Overall,n_scored,858,
after,hybrid:extracted,gptoss,Overall,n_total,975,
after,hybrid:extracted,gptoss,Overall,success_rate,0.88,
after,hybrid:extracted,gptoss,Overall,tau_inclusive,0.7897435897435898,
after,hybrid:extracted,gptoss,Overall,top1_inclusive,0.8471794871794872,
after,hybrid:extracted,gptoss,HVAC,kendall_tau,0.9428530199958771,
after,hybrid:extracted,gptoss,HVAC,top1,0.9398771387342816,
after,hybrid:extracted,gptoss,HVAC,mae,0.05115004294647152,
after,hybrid:extracted,gptoss,HVAC,n_runs,5,
after,hybrid:extracted,gptoss,HVAC,n_scored,233,
after,hybrid:extracted,gptoss,HVAC,n_total,350,
after,hybrid:extracted,gptoss,HVAC,success_rate,0.6657142857142857,
after,hybrid:extracted,gptoss,HVAC,tau_inclusive,0.6276190476190476,
after,hybrid:extracted,gptoss,HVAC,top1_inclusive,0.7371428571428572,
after,hybrid:extracted,gptoss,Appliance,kendall_tau,0.9671794871794873,
after,hybrid:extracted,gptoss,Appliance,top1,0.9876923076923078,
after,hybrid:extracted,gptoss,Appliance,mae,0.051500000000000004,
after,hybrid:extracted,gptoss,Appliance,n_runs,5,
after,hybrid:extracted,gptoss,Appliance,n_scored,325,
after,hybrid:extracted,gptoss,Appliance,n_total,325,
after,hybrid:extracted,gptoss,Appliance,success_rate,1.0,
after,hybrid:extracted,gptoss,Appliance,tau_inclusive,0.9671794871794873,
after,hybrid:extracted,gptoss,Appliance,top1_inclusive,0.9876923076923078,
after,hybrid:extracted,gptoss,Shower,kendall_tau,0.7866666666666666,
after,hybrid:extracted,gptoss,Shower,top1,0.8233333333333335,
