number_id,value,where_in_paper,quoted_context,source_file,source_sheet_or_column,computing_script,model,decision_type,basis_notes,status
D3_ptop1_gpm_deepseek,0.249,paper/paper_draft_v2.tex:935,tab:extraction_accuracy P(Top-1 change | error) gpm,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (45/180 run-summed),Analysis/pass5/d3_gpm_mechanism.py,deepseek,Shower,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.185 (published used 5-run aggregate parameters)
D3_mae_gpm_deepseek,0.37,paper/paper_draft_v2.tex:935,tab:extraction_accuracy MAE gpm,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,deepseek,Shower,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_tank_size_deepseek,0.017,paper/paper_draft_v2.tex:936,tab:extraction_accuracy P(Top-1 change | error) tank_size,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (3/161 run-summed),Analysis/pass5/d3_gpm_mechanism.py,deepseek,Shower,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.025 (published used 5-run aggregate parameters)
D3_mae_tank_size_deepseek,7.2,paper/paper_draft_v2.tex:936,tab:extraction_accuracy MAE tank_size,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,deepseek,Shower,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_water_heater_temp_deepseek,0.044,paper/paper_draft_v2.tex:937,tab:extraction_accuracy P(Top-1 change | error) water_heater_temp,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (7/161 run-summed),Analysis/pass5/d3_gpm_mechanism.py,deepseek,Shower,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.042 (published used 5-run aggregate parameters)
D3_mae_water_heater_temp_deepseek,8.85,paper/paper_draft_v2.tex:937,tab:extraction_accuracy MAE water_heater_temp,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,deepseek,Shower,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_kwh_per_cycle_gemini,0.031,paper/paper_draft_v2.tex:934,tab:extraction_accuracy P(Top-1 change | error) kwh_per_cycle,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (10/325 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gemini,Appliance,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",matches published
D3_mae_kwh_per_cycle_gemini,0.548,paper/paper_draft_v2.tex:934,tab:extraction_accuracy MAE kwh_per_cycle,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gemini,Appliance,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_hvac_age_gemini,0.0,paper/paper_draft_v2.tex:933,tab:extraction_accuracy P(Top-1 change | error) hvac_age,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (0/315 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gemini,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",matches published
D3_mae_hvac_age_gemini,7.794,paper/paper_draft_v2.tex:933,tab:extraction_accuracy MAE hvac_age,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gemini,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_occupancy_context_gemini,0.072,"paper/paper_draft_v2.tex:945 (occupancy discussed, no P reported)",tab:extraction_accuracy P(Top-1 change | error) occupancy_context,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (5/70 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gemini,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",new (not in paper)
D3_occupancy_match_gemini,80.0,"paper/paper_draft_v2.tex:945,1083","HVAC occupancy context has the lowest match accuracy, at 75.4% GPT-OSS, 78.6% Qwen, 80.0% Gemini, 81.4% DeepSeek",Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv 1-error_rate_mean,Analysis/pass5/d3_gpm_mechanism.py,gemini,HVAC,"per-run match accuracy (%), mean of 5 runs",per-run basis; published used 5-run modal occupancy
D3_ptop1_r_value_gemini,0.0,paper/paper_draft_v2.tex:931,tab:extraction_accuracy P(Top-1 change | error) r_value,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (0/283 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gemini,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",matches published
D3_mae_r_value_gemini,1.806,paper/paper_draft_v2.tex:931,tab:extraction_accuracy MAE r_value,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gemini,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_seer_gemini,0.051,paper/paper_draft_v2.tex:932,tab:extraction_accuracy P(Top-1 change | error) seer,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (13/256 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gemini,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.075 (published used 5-run aggregate parameters)
D3_mae_seer_gemini,1.376,paper/paper_draft_v2.tex:932,tab:extraction_accuracy MAE seer,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gemini,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_gpm_gemini,0.233,paper/paper_draft_v2.tex:935,tab:extraction_accuracy P(Top-1 change | error) gpm,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (35/150 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gemini,Shower,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",matches published
D3_mae_gpm_gemini,0.367,paper/paper_draft_v2.tex:935,tab:extraction_accuracy MAE gpm,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gemini,Shower,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_tank_size_gemini,0.0,paper/paper_draft_v2.tex:936,tab:extraction_accuracy P(Top-1 change | error) tank_size,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (0/132 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gemini,Shower,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",matches published
D3_mae_tank_size_gemini,6.733,paper/paper_draft_v2.tex:936,tab:extraction_accuracy MAE tank_size,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gemini,Shower,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_water_heater_temp_gemini,0.05,paper/paper_draft_v2.tex:937,tab:extraction_accuracy P(Top-1 change | error) water_heater_temp,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (5/100 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gemini,Shower,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",matches published
D3_mae_water_heater_temp_gemini,4.583,paper/paper_draft_v2.tex:937,tab:extraction_accuracy MAE water_heater_temp,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gemini,Shower,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_kwh_per_cycle_gptoss,0.014,paper/paper_draft_v2.tex:934,tab:extraction_accuracy P(Top-1 change | error) kwh_per_cycle,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (4/294 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gptoss,Appliance,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.016 (published used 5-run aggregate parameters)
D3_mae_kwh_per_cycle_gptoss,0.453,paper/paper_draft_v2.tex:934,tab:extraction_accuracy MAE kwh_per_cycle,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gptoss,Appliance,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_hvac_age_gptoss,0.0,paper/paper_draft_v2.tex:933,tab:extraction_accuracy P(Top-1 change | error) hvac_age,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (0/217 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gptoss,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",matches published
D3_mae_hvac_age_gptoss,9.339,paper/paper_draft_v2.tex:933,tab:extraction_accuracy MAE hvac_age,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gptoss,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_occupancy_context_gptoss,0.017,"paper/paper_draft_v2.tex:945 (occupancy discussed, no P reported)",tab:extraction_accuracy P(Top-1 change | error) occupancy_context,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (1/61 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gptoss,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",new (not in paper)
D3_occupancy_match_gptoss,73.8,"paper/paper_draft_v2.tex:945,1083","HVAC occupancy context has the lowest match accuracy, at 75.4% GPT-OSS, 78.6% Qwen, 80.0% Gemini, 81.4% DeepSeek",Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv 1-error_rate_mean,Analysis/pass5/d3_gpm_mechanism.py,gptoss,HVAC,"per-run match accuracy (%), mean of 5 runs",per-run basis; published used 5-run modal occupancy
D3_ptop1_r_value_gptoss,0.026,paper/paper_draft_v2.tex:931,tab:extraction_accuracy P(Top-1 change | error) r_value,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (6/229 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gptoss,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.015 (published used 5-run aggregate parameters)
D3_mae_r_value_gptoss,4.411,paper/paper_draft_v2.tex:931,tab:extraction_accuracy MAE r_value,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gptoss,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_seer_gptoss,0.052,paper/paper_draft_v2.tex:932,tab:extraction_accuracy P(Top-1 change | error) seer,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (10/195 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gptoss,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.049 (published used 5-run aggregate parameters)
D3_mae_seer_gptoss,2.208,paper/paper_draft_v2.tex:932,tab:extraction_accuracy MAE seer,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gptoss,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_gpm_gptoss,0.271,paper/paper_draft_v2.tex:935,tab:extraction_accuracy P(Top-1 change | error) gpm,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (48/178 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gptoss,Shower,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.174 (published used 5-run aggregate parameters)
D3_mae_gpm_gptoss,0.449,paper/paper_draft_v2.tex:935,tab:extraction_accuracy MAE gpm,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gptoss,Shower,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_tank_size_gptoss,0.005,paper/paper_draft_v2.tex:936,tab:extraction_accuracy P(Top-1 change | error) tank_size,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (1/193 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gptoss,Shower,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.000 (published used 5-run aggregate parameters)
D3_mae_tank_size_gptoss,8.633,paper/paper_draft_v2.tex:936,tab:extraction_accuracy MAE tank_size,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gptoss,Shower,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_water_heater_temp_gptoss,0.049,paper/paper_draft_v2.tex:937,tab:extraction_accuracy P(Top-1 change | error) water_heater_temp,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (5/102 run-summed),Analysis/pass5/d3_gpm_mechanism.py,gptoss,Shower,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.042 (published used 5-run aggregate parameters)
D3_mae_water_heater_temp_gptoss,4.817,paper/paper_draft_v2.tex:937,tab:extraction_accuracy MAE water_heater_temp,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,gptoss,Shower,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_kwh_per_cycle_qwen,0.08,paper/paper_draft_v2.tex:934,tab:extraction_accuracy P(Top-1 change | error) kwh_per_cycle,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (23/287 run-summed),Analysis/pass5/d3_gpm_mechanism.py,qwen,Appliance,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.066 (published used 5-run aggregate parameters)
D3_mae_kwh_per_cycle_qwen,0.998,paper/paper_draft_v2.tex:934,tab:extraction_accuracy MAE kwh_per_cycle,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,qwen,Appliance,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_hvac_age_qwen,0.0,paper/paper_draft_v2.tex:933,tab:extraction_accuracy P(Top-1 change | error) hvac_age,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (0/320 run-summed),Analysis/pass5/d3_gpm_mechanism.py,qwen,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",matches published
D3_mae_hvac_age_qwen,6.413,paper/paper_draft_v2.tex:933,tab:extraction_accuracy MAE hvac_age,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,qwen,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_occupancy_context_qwen,0.054,"paper/paper_draft_v2.tex:945 (occupancy discussed, no P reported)",tab:extraction_accuracy P(Top-1 change | error) occupancy_context,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (4/74 run-summed),Analysis/pass5/d3_gpm_mechanism.py,qwen,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",new (not in paper)
D3_occupancy_match_qwen,78.7,"paper/paper_draft_v2.tex:945,1083","HVAC occupancy context has the lowest match accuracy, at 75.4% GPT-OSS, 78.6% Qwen, 80.0% Gemini, 81.4% DeepSeek",Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv 1-error_rate_mean,Analysis/pass5/d3_gpm_mechanism.py,qwen,HVAC,"per-run match accuracy (%), mean of 5 runs",per-run basis; published used 5-run modal occupancy
D3_ptop1_r_value_qwen,0.093,paper/paper_draft_v2.tex:931,tab:extraction_accuracy P(Top-1 change | error) r_value,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (32/344 run-summed),Analysis/pass5/d3_gpm_mechanism.py,qwen,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.086 (published used 5-run aggregate parameters)
D3_mae_r_value_qwen,4.463,paper/paper_draft_v2.tex:931,tab:extraction_accuracy MAE r_value,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,qwen,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_seer_qwen,0.037,paper/paper_draft_v2.tex:932,tab:extraction_accuracy P(Top-1 change | error) seer,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (10/269 run-summed),Analysis/pass5/d3_gpm_mechanism.py,qwen,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.033 (published used 5-run aggregate parameters)
D3_mae_seer_qwen,1.626,paper/paper_draft_v2.tex:932,tab:extraction_accuracy MAE seer,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,qwen,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_gpm_qwen,0.256,paper/paper_draft_v2.tex:935,tab:extraction_accuracy P(Top-1 change | error) gpm,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (28/108 run-summed),Analysis/pass5/d3_gpm_mechanism.py,qwen,Shower,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.167 (published used 5-run aggregate parameters)
