model,run,scenario_id,decision_type,parameter,true,extracted,ref_margin,flip_full,flip_no_budget,flip_comfort_prac_flat
gemini,2,43,HVAC,seer,13.0,14.0,0.0069999999999998,True,True,False
gemini,2,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_10,0.0069999999999998,True,True,False
gemini,2,51,HVAC,seer,9.0,10.0,0.006,True,True,False
gemini,2,56,HVAC,seer,17.0,14.0,0.006,True,True,False
gemini,2,102,Appliance,kwh_per_cycle,2.5,3.0,0.0134999999999999,True,True,False
gemini,2,133,Appliance,kwh_per_cycle,0.3,1.5,0.079,True,True,False
gemini,3,43,HVAC,seer,13.0,14.0,0.0069999999999998,True,True,False
gemini,3,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_10,0.0069999999999998,True,True,False
gemini,3,51,HVAC,seer,9.0,10.0,0.006,True,True,False
gemini,3,56,HVAC,seer,17.0,13.0,0.006,True,True,False
gemini,3,102,Appliance,kwh_per_cycle,2.5,3.0,0.0134999999999999,True,True,False
gemini,3,133,Appliance,kwh_per_cycle,0.3,1.5,0.079,True,True,False
gemini,4,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_10,0.0069999999999998,True,True,False
gemini,4,51,HVAC,seer,9.0,10.0,0.006,True,True,False
gemini,4,56,HVAC,seer,17.0,14.0,0.006,True,True,False
gemini,4,102,Appliance,kwh_per_cycle,2.5,3.0,0.0134999999999999,True,True,False
gemini,4,133,Appliance,kwh_per_cycle,0.3,1.5,0.079,True,True,False
gemini,5,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_10,0.0069999999999998,True,True,False
gemini,5,51,HVAC,seer,9.0,10.0,0.006,True,True,False
gemini,5,56,HVAC,seer,17.0,14.0,0.006,True,True,False
gemini,5,102,Appliance,kwh_per_cycle,2.5,3.0,0.0134999999999999,True,True,False
gemini,5,133,Appliance,kwh_per_cycle,0.3,1.5,0.079,True,True,False
gptoss,1,56,HVAC,seer,17.0,15.0,0.006,True,True,False
gptoss,2,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_12,0.0069999999999998,True,True,False
gptoss,2,51,HVAC,r_value,10.0,13.0,0.006,True,True,False
gptoss,2,51,HVAC,seer,9.0,13.0,0.006,True,True,False
gptoss,2,54,HVAC,r_value,15.0,13.0,0.016,True,True,False
gptoss,2,56,HVAC,seer,17.0,14.0,0.006,True,True,False
gptoss,2,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
gptoss,3,43,HVAC,r_value,16.0,20.0,0.0069999999999998,True,True,False
gptoss,3,56,HVAC,seer,17.0,14.0,0.006,True,True,False
gptoss,3,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
gptoss,4,28,HVAC,seer,9.0,13.0,0.0255,True,True,True
gptoss,4,43,HVAC,seer,13.0,14.0,0.0069999999999998,True,True,False
gptoss,4,51,HVAC,r_value,10.0,13.0,0.006,True,True,False
gptoss,4,51,HVAC,seer,9.0,13.0,0.006,True,True,False
gptoss,4,54,HVAC,r_value,15.0,13.0,0.016,True,True,False
gptoss,4,56,HVAC,seer,17.0,13.0,0.006,True,True,False
gptoss,4,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
gptoss,5,28,HVAC,seer,9.0,13.0,0.0255,True,True,True
gptoss,5,43,HVAC,r_value,16.0,20.0,0.0069999999999998,True,True,False
gptoss,5,56,HVAC,seer,17.0,13.0,0.006,True,True,False
gptoss,5,102,Appliance,kwh_per_cycle,2.5,3.0,0.0134999999999999,True,True,False
qwen,1,15,HVAC,r_value,12.0,3.0,0.0305,True,True,False
qwen,1,24,HVAC,r_value,11.0,3.0,0.0165,True,True,False
qwen,1,28,HVAC,r_value,9.0,19.0,0.0255,True,True,True
qwen,1,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_24,0.0069999999999998,True,True,False
qwen,1,54,HVAC,r_value,15.0,13.0,0.016,True,True,False
qwen,1,56,HVAC,seer,17.0,14.0,0.006,True,True,False
qwen,1,58,HVAC,r_value,8.0,2.5,0.032,True,True,False
qwen,1,87,Appliance,kwh_per_cycle,0.38,2.5,0.0679999999999999,True,True,False
qwen,1,89,Appliance,kwh_per_cycle,0.28,3.5,0.0779999999999999,True,True,False
qwen,1,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
qwen,1,133,Appliance,kwh_per_cycle,0.3,2.5,0.079,True,True,False
qwen,2,6,HVAC,r_value,10.0,3.0,0.034,True,False,False
qwen,2,15,HVAC,r_value,12.0,3.0,0.0305,True,True,False
qwen,2,16,HVAC,r_value,10.0,3.0,0.009,True,True,False
qwen,2,24,HVAC,r_value,11.0,3.5,0.0165,True,True,False
qwen,2,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_24,0.0069999999999998,True,True,False
qwen,2,50,HVAC,r_value,11.0,3.0,0.0095,True,True,True
qwen,2,51,HVAC,r_value,10.0,3.0,0.006,True,True,True
qwen,2,51,HVAC,seer,9.0,10.0,0.006,True,True,False
qwen,2,54,HVAC,r_value,15.0,13.0,0.016,True,True,False
qwen,2,56,HVAC,seer,17.0,14.0,0.006,True,True,False
qwen,2,58,HVAC,r_value,8.0,2.5,0.032,True,True,False
qwen,2,87,Appliance,kwh_per_cycle,0.38,2.5,0.0679999999999999,True,True,False
qwen,2,89,Appliance,kwh_per_cycle,0.28,2.5,0.0779999999999999,True,True,False
qwen,2,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
qwen,2,117,Appliance,kwh_per_cycle,3.2,5.0,0.046,True,True,True
qwen,2,133,Appliance,kwh_per_cycle,0.3,2.5,0.079,True,True,False
qwen,3,6,HVAC,r_value,10.0,3.0,0.034,True,False,False
qwen,3,15,HVAC,r_value,12.0,3.0,0.0305,True,True,False
qwen,3,24,HVAC,r_value,11.0,3.5,0.0165,True,True,False
qwen,3,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_24,0.0069999999999998,True,True,False
qwen,3,51,HVAC,r_value,10.0,12.0,0.006,True,True,False
qwen,3,51,HVAC,seer,9.0,10.0,0.006,True,True,False
qwen,3,54,HVAC,r_value,15.0,13.0,0.016,True,True,False
qwen,3,56,HVAC,seer,17.0,14.0,0.006,True,True,False
qwen,3,58,HVAC,r_value,8.0,3.0,0.032,True,True,False
qwen,3,87,Appliance,kwh_per_cycle,0.38,2.5,0.0679999999999999,True,True,False
qwen,3,89,Appliance,kwh_per_cycle,0.28,2.5,0.0779999999999999,True,True,False
qwen,3,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
qwen,3,133,Appliance,kwh_per_cycle,0.3,2.5,0.079,True,True,False
qwen,4,6,HVAC,r_value,10.0,3.0,0.034,True,False,False
qwen,4,15,HVAC,r_value,12.0,3.0,0.0305,True,True,False
qwen,4,28,HVAC,r_value,9.0,15.0,0.0255,True,True,True
qwen,4,43,HVAC,seer,13.0,14.0,0.0069999999999998,True,True,False
qwen,4,50,HVAC,r_value,11.0,3.5,0.0095,True,True,True
qwen,4,51,HVAC,r_value,10.0,15.0,0.006,True,True,False
qwen,4,51,HVAC,seer,9.0,10.0,0.006,True,True,False
qwen,4,54,HVAC,r_value,15.0,13.0,0.016,True,True,False
qwen,4,56,HVAC,seer,17.0,14.0,0.006,True,True,False
qwen,4,58,HVAC,r_value,8.0,3.0,0.032,True,True,False
qwen,4,87,Appliance,kwh_per_cycle,0.38,2.5,0.0679999999999999,True,True,False
qwen,4,89,Appliance,kwh_per_cycle,0.28,2.5,0.0779999999999999,True,True,False
qwen,4,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
qwen,4,107,Appliance,kwh_per_cycle,2.9,2.5,0.006,True,True,False
qwen,4,117,Appliance,kwh_per_cycle,3.2,5.0,0.046,True,True,True
qwen,4,133,Appliance,kwh_per_cycle,0.3,2.5,0.079,True,True,False
qwen,5,6,HVAC,r_value,10.0,3.0,0.034,True,False,False
qwen,5,15,HVAC,r_value,12.0,3.0,0.0305,True,True,False
qwen,5,24,HVAC,r_value,11.0,3.5,0.0165,True,True,False
qwen,5,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_24,0.0069999999999998,True,True,False
qwen,5,51,HVAC,r_value,10.0,19.0,0.006,True,True,False
qwen,5,51,HVAC,seer,9.0,10.0,0.006,True,True,False
qwen,5,54,HVAC,r_value,15.0,13.0,0.016,True,True,False
qwen,5,56,HVAC,seer,17.0,13.0,0.006,True,True,False
qwen,5,58,HVAC,r_value,8.0,3.0,0.032,True,True,False
qwen,5,87,Appliance,kwh_per_cycle,0.38,2.5,0.0679999999999999,True,True,False
qwen,5,89,Appliance,kwh_per_cycle,0.28,2.5,0.0779999999999999,True,True,False
qwen,5,102,Appliance,kwh_per_cycle,2.5,3.5,0.0134999999999999,True,True,False
qwen,5,133,Appliance,kwh_per_cycle,0.3,2.5,0.079,True,True,False
