model,decision_type,parameter,margin_bin,n_error,n_flip,p_flip
qwen,Appliance,kwh_per_cycle,>=0.05,228,15,0.06578947368421052
qwen,HVAC,hvac_age,"[0,0.005)",9,0,0.0
qwen,HVAC,hvac_age,"[0.005,0.01)",34,0,0.0
qwen,HVAC,hvac_age,"[0.01,0.02)",64,0,0.0
qwen,HVAC,hvac_age,"[0.02,0.05)",169,0,0.0
qwen,HVAC,hvac_age,>=0.05,44,0,0.0
qwen,HVAC,occupancy_context,"[0.005,0.01)",10,4,0.4
qwen,HVAC,occupancy_context,"[0.01,0.02)",19,0,0.0
qwen,HVAC,occupancy_context,"[0.02,0.05)",30,0,0.0
qwen,HVAC,occupancy_context,>=0.05,15,0,0.0
qwen,HVAC,r_value,"[0,0.005)",10,0,0.0
qwen,HVAC,r_value,"[0.005,0.01)",33,7,0.21212121212121213
qwen,HVAC,r_value,"[0.01,0.02)",69,9,0.13043478260869565
qwen,HVAC,r_value,"[0.02,0.05)",187,16,0.0855614973262032
qwen,HVAC,r_value,>=0.05,45,0,0.0
qwen,HVAC,seer,"[0,0.005)",5,0,0.0
qwen,HVAC,seer,"[0.005,0.01)",29,10,0.3448275862068966
qwen,HVAC,seer,"[0.01,0.02)",65,0,0.0
qwen,HVAC,seer,"[0.02,0.05)",129,0,0.0
qwen,HVAC,seer,>=0.05,41,0,0.0
qwen,Shower,gpm,"[0,0.005)",2,2,1.0
qwen,Shower,gpm,"[0.005,0.01)",7,6,0.8571428571428571
qwen,Shower,gpm,"[0.01,0.02)",6,6,1.0
qwen,Shower,gpm,"[0.02,0.05)",23,13,0.5652173913043478
qwen,Shower,gpm,>=0.05,70,1,0.014285714285714285
qwen,Shower,tank_size,"[0,0.005)",5,0,0.0
qwen,Shower,tank_size,"[0.005,0.01)",10,0,0.0
qwen,Shower,tank_size,"[0.01,0.02)",14,0,0.0
qwen,Shower,tank_size,"[0.02,0.05)",50,5,0.1
qwen,Shower,tank_size,>=0.05,101,0,0.0
qwen,Shower,water_heater_temp,"[0,0.005)",5,0,0.0
qwen,Shower,water_heater_temp,"[0.005,0.01)",5,5,1.0
qwen,Shower,water_heater_temp,"[0.01,0.02)",20,0,0.0
qwen,Shower,water_heater_temp,"[0.02,0.05)",30,0,0.0
qwen,Shower,water_heater_temp,>=0.05,40,0,0.0
