flip_full,flip_no_clip,flip_no_tank,flip_no_budget,flip_no_round,flip_linear_core,flip_comfort_flat,flip_prac_curve_flat,flip_comfort_and_prac_flat,cross_tank,cross_budget,cross_clip,any_clip_active,tank_hit_any_true,budget_active_any,scenario_id,factor,true_gpm,ref_margin,mechanism
True,True,True,True,True,True,False,True,False,True,False,True,True,False,False,137,2.0,1.5,0.028000000000000025,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,138,0.5,1.5,0.02400000000000002,no_flip
False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,138,0.6,1.5,0.02400000000000002,no_flip
False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,138,0.7,1.5,0.02400000000000002,no_flip
False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,138,0.75,1.5,0.02400000000000002,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,138,0.8,1.5,0.02400000000000002,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,138,0.9,1.5,0.02400000000000002,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,138,1.1,1.5,0.02400000000000002,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,138,1.2,1.5,0.02400000000000002,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,138,1.25,1.5,0.02400000000000002,no_flip
True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,138,1.33,1.5,0.02400000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,138,1.5,1.5,0.02400000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,138,1.75,1.5,0.02400000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,138,2.0,1.5,0.02400000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,139,0.5,2.5,0.007499999999999951,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,139,0.6,2.5,0.007499999999999951,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,139,0.7,2.5,0.007499999999999951,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,139,0.75,2.5,0.007499999999999951,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,139,0.8,2.5,0.007499999999999951,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,139,0.9,2.5,0.007499999999999951,no_flip
True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,139,1.1,2.5,0.007499999999999951,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,139,1.2,2.5,0.007499999999999951,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,139,1.25,2.5,0.007499999999999951,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,139,1.33,2.5,0.007499999999999951,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,139,1.5,2.5,0.007499999999999951,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,139,1.75,2.5,0.007499999999999951,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,139,2.0,2.5,0.007499999999999951,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,False,True,True,True,False,True,True,False,False,False,True,True,False,False,140,0.5,1.5,0.035499999999999976,needs_clip
False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,140,0.6,1.5,0.035499999999999976,no_flip
False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,140,0.7,1.5,0.035499999999999976,no_flip
False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,140,0.75,1.5,0.035499999999999976,no_flip
False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,140,0.8,1.5,0.035499999999999976,no_flip
False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,140,0.9,1.5,0.035499999999999976,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,140,1.1,1.5,0.035499999999999976,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,140,1.2,1.5,0.035499999999999976,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,140,1.25,1.5,0.035499999999999976,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,140,1.33,1.5,0.035499999999999976,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,140,1.5,1.5,0.035499999999999976,no_flip
True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,140,1.75,1.5,0.035499999999999976,needs_round
True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,140,2.0,1.5,0.035499999999999976,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,141,0.5,2.5,0.09449999999999992,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,141,0.6,2.5,0.09449999999999992,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,141,0.7,2.5,0.09449999999999992,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,141,0.75,2.5,0.09449999999999992,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,141,0.8,2.5,0.09449999999999992,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,141,0.9,2.5,0.09449999999999992,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,141,1.1,2.5,0.09449999999999992,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,141,1.2,2.5,0.09449999999999992,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,141,1.25,2.5,0.09449999999999992,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,141,1.33,2.5,0.09449999999999992,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,141,1.5,2.5,0.09449999999999992,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,141,1.75,2.5,0.09449999999999992,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,141,2.0,2.5,0.09449999999999992,no_flip
True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,142,0.5,1.5,0.012000000000000122,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,142,0.6,1.5,0.012000000000000122,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,142,0.7,1.5,0.012000000000000122,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,142,0.75,1.5,0.012000000000000122,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,142,0.8,1.5,0.012000000000000122,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,142,0.9,1.5,0.012000000000000122,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,142,1.1,1.5,0.012000000000000122,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,142,1.2,1.5,0.012000000000000122,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,142,1.25,1.5,0.012000000000000122,no_flip
False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,142,1.33,1.5,0.012000000000000122,no_flip
True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,142,1.5,1.5,0.012000000000000122,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,142,1.75,1.5,0.012000000000000122,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,142,2.0,1.5,0.012000000000000122,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,False,True,True,False,True,True,False,True,False,True,True,True,False,143,0.5,1.5,0.02100000000000002,needs_tank
True,True,False,True,True,False,True,True,False,True,False,True,True,True,False,143,0.6,1.5,0.02100000000000002,needs_tank
True,True,False,True,True,False,True,True,False,True,False,False,True,True,False,143,0.7,1.5,0.02100000000000002,needs_tank
False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,143,0.75,1.5,0.02100000000000002,no_flip
False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,143,0.8,1.5,0.02100000000000002,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,143,0.9,1.5,0.02100000000000002,no_flip
False,True,True,False,False,True,False,False,False,False,False,True,True,True,False,143,1.1,1.5,0.02100000000000002,no_flip
True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,143,1.2,1.5,0.02100000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,143,1.25,1.5,0.02100000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,143,1.33,1.5,0.02100000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,143,1.5,1.5,0.02100000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,143,1.75,1.5,0.02100000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,143,2.0,1.5,0.02100000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,144,0.5,2.5,0.04500000000000015,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,144,0.6,2.5,0.04500000000000015,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,144,0.7,2.5,0.04500000000000015,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,144,0.75,2.5,0.04500000000000015,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,144,0.8,2.5,0.04500000000000015,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,144,0.9,2.5,0.04500000000000015,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,144,1.1,2.5,0.04500000000000015,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,144,1.2,2.5,0.04500000000000015,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,144,1.25,2.5,0.04500000000000015,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,144,1.33,2.5,0.04500000000000015,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,144,1.5,2.5,0.04500000000000015,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,144,1.75,2.5,0.04500000000000015,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,144,2.0,2.5,0.04500000000000015,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,145,0.5,3.5,0.17750000000000005,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,145,0.6,3.5,0.17750000000000005,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,145,0.7,3.5,0.17750000000000005,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,145,0.75,3.5,0.17750000000000005,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,145,0.8,3.5,0.17750000000000005,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,145,0.9,3.5,0.17750000000000005,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,145,1.1,3.5,0.17750000000000005,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,145,1.2,3.5,0.17750000000000005,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,145,1.25,3.5,0.17750000000000005,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,145,1.33,3.5,0.17750000000000005,no_flip
True,False,True,True,True,False,True,False,False,False,True,True,True,True,True,145,1.5,3.5,0.17750000000000005,needs_clip
True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,145,1.75,3.5,0.17750000000000005,needs_clip
True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,145,2.0,3.5,0.17750000000000005,needs_clip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,146,0.5,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,146,0.6,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,146,0.7,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,146,0.75,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,146,0.8,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,146,0.9,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,146,1.1,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,146,1.2,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,146,1.25,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,146,1.33,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,146,1.5,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,146,1.75,3.5,0.2695,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,146,2.0,3.5,0.2695,no_flip
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,147,0.5,2.5,0.12549999999999994,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,147,0.6,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,147,0.7,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,147,0.75,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,147,0.8,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,147,0.9,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,147,1.1,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,147,1.2,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,147,1.25,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,147,1.33,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,147,1.5,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,147,1.75,2.5,0.12549999999999994,no_flip
False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,147,2.0,2.5,0.12549999999999994,no_flip
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,148,0.5,2.5,0.08050000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,148,0.6,2.5,0.08050000000000002,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,148,0.7,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,148,0.75,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,148,0.8,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,148,0.9,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,148,1.1,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,148,1.2,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,148,1.25,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,148,1.33,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,148,1.5,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,148,1.75,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,148,2.0,2.5,0.08050000000000002,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,149,0.5,3.5,0.14100000000000001,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,149,0.6,3.5,0.14100000000000001,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,149,0.7,3.5,0.14100000000000001,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,149,0.75,3.5,0.14100000000000001,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,149,0.8,3.5,0.14100000000000001,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,149,0.9,3.5,0.14100000000000001,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,149,1.1,3.5,0.14100000000000001,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,149,1.2,3.5,0.14100000000000001,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,149,1.25,3.5,0.14100000000000001,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,149,1.33,3.5,0.14100000000000001,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,149,1.5,3.5,0.14100000000000001,no_flip
True,False,True,True,True,False,False,False,False,False,True,True,True,True,True,149,1.75,3.5,0.14100000000000001,needs_clip
True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,149,2.0,3.5,0.14100000000000001,needs_clip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,150,0.5,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,150,0.6,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,150,0.7,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,150,0.75,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,150,0.8,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,150,0.9,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,150,1.1,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,150,1.2,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,150,1.25,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,150,1.33,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,150,1.5,3.5,0.2134999999999999,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,150,1.75,3.5,0.2134999999999999,no_flip
True,False,False,True,True,False,True,False,False,False,False,True,True,True,False,150,2.0,3.5,0.2134999999999999,needs_clip+tank
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,151,0.5,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,151,0.6,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,151,0.7,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,151,0.75,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,151,0.8,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,151,0.9,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,151,1.1,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,151,1.2,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,151,1.25,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,151,1.33,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,151,1.5,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,151,1.75,4.0,0.0665,no_flip
False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,151,2.0,4.0,0.0665,no_flip
False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,152,0.5,2.0,0.021500000000000075,no_flip
False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,152,0.6,2.0,0.021500000000000075,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,152,0.7,2.0,0.021500000000000075,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,152,0.75,2.0,0.021500000000000075,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,152,0.8,2.0,0.021500000000000075,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,152,0.9,2.0,0.021500000000000075,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,152,1.1,2.0,0.021500000000000075,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,152,1.2,2.0,0.021500000000000075,no_flip
False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,152,1.25,2.0,0.021500000000000075,no_flip
True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,152,1.33,2.0,0.021500000000000075,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,152,1.5,2.0,0.021500000000000075,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,152,1.75,2.0,0.021500000000000075,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,152,2.0,2.0,0.021500000000000075,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,153,0.5,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,153,0.6,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,153,0.7,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,153,0.75,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,153,0.8,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,153,0.9,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,153,1.1,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,153,1.2,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,153,1.25,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,153,1.33,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,153,1.5,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,153,1.75,4.0,0.19150000000000003,no_flip
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,153,2.0,4.0,0.19150000000000003,no_flip
