baseline,scenario_id,decision_type,p_r_value,p_seer,p_hvac_age,p_occupancy_context,p_appliance,p_kwh_per_cycle,p_baseline_time,p_gpm,p_tank_size,p_water_heater_temp
FD,53,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,54,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,55,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,56,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,57,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,58,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,59,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,60,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,61,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,62,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,63,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,64,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,65,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,66,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,67,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,68,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,69,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,70,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD,71,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,72,Appliance,,,,,dryer,2.1,7pm,,,
FD,73,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,74,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,75,Appliance,,,,,dryer,2.1,7pm,,,
FD,76,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,77,Appliance,,,,,dryer,2.1,7pm,,,
FD,78,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,79,Appliance,,,,,dryer,2.1,7pm,,,
FD,80,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,81,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,82,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,83,Appliance,,,,,dryer,2.1,7pm,,,
FD,84,Appliance,,,,,dryer,2.1,7pm,,,
FD,85,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,86,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,87,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,88,Appliance,,,,,dryer,2.1,7pm,,,
FD,89,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,90,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,91,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,92,Appliance,,,,,dryer,2.1,7pm,,,
FD,93,Appliance,,,,,dryer,2.1,7pm,,,
FD,94,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,95,Appliance,,,,,dryer,2.1,7pm,,,
FD,96,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,97,Appliance,,,,,dryer,2.1,7pm,,,
FD,98,Appliance,,,,,dryer,2.1,7pm,,,
FD,99,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,100,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,101,Appliance,,,,,dryer,2.1,7pm,,,
FD,102,Appliance,,,,,dryer,2.1,7pm,,,
FD,103,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,104,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,105,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,106,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,107,Appliance,,,,,dryer,2.1,7pm,,,
FD,108,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,109,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,110,Appliance,,,,,dryer,2.1,7pm,,,
FD,111,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,112,Appliance,,,,,dryer,2.1,7pm,,,
FD,113,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,114,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,115,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,116,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,117,Appliance,,,,,dryer,2.1,7pm,,,
FD,118,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,119,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,120,Appliance,,,,,dryer,2.1,7pm,,,
FD,121,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,122,Appliance,,,,,dryer,2.1,7pm,,,
FD,123,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,124,Appliance,,,,,dryer,2.1,7pm,,,
FD,125,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,126,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,127,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,128,Appliance,,,,,dryer,2.1,7pm,,,
FD,129,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,130,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,131,Appliance,,,,,dryer,2.1,7pm,,,
FD,132,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,133,Appliance,,,,,washing_machine,0.55,7pm,,,
FD,134,Appliance,,,,,dryer,2.1,7pm,,,
FD,135,Appliance,,,,,dishwasher,1.0,7pm,,,
FD,136,Shower,,,,,,,,2.5,50.0,120.0
FD,137,Shower,,,,,,,,2.5,50.0,120.0
FD,138,Shower,,,,,,,,2.5,50.0,120.0
FD,139,Shower,,,,,,,,2.5,50.0,120.0
FD,140,Shower,,,,,,,,2.5,50.0,120.0
FD,141,Shower,,,,,,,,2.5,50.0,120.0
FD,142,Shower,,,,,,,,2.5,50.0,120.0
FD,143,Shower,,,,,,,,2.5,50.0,120.0
FD,144,Shower,,,,,,,,2.5,50.0,120.0
FD,145,Shower,,,,,,,,2.5,50.0,120.0
FD,146,Shower,,,,,,,,2.5,50.0,120.0
FD,147,Shower,,,,,,,,2.5,50.0,120.0
FD,148,Shower,,,,,,,,2.5,50.0,120.0
FD,149,Shower,,,,,,,,2.5,50.0,120.0
FD,150,Shower,,,,,,,,2.5,50.0,120.0
FD,151,Shower,,,,,,,,2.5,50.0,120.0
FD,152,Shower,,,,,,,,2.5,50.0,120.0
FD,153,Shower,,,,,,,,2.5,50.0,120.0
FD,154,Shower,,,,,,,,2.5,50.0,120.0
FD,155,Shower,,,,,,,,2.5,50.0,120.0
FD,156,Shower,,,,,,,,2.5,50.0,120.0
FD,157,Shower,,,,,,,,2.5,50.0,120.0
FD,158,Shower,,,,,,,,2.5,50.0,120.0
FD,159,Shower,,,,,,,,2.5,50.0,120.0
FD,160,Shower,,,,,,,,2.5,50.0,120.0
FD,161,Shower,,,,,,,,2.5,50.0,120.0
FD,162,Shower,,,,,,,,2.5,50.0,120.0
FD,163,Shower,,,,,,,,2.5,50.0,120.0
FD,164,Shower,,,,,,,,2.5,50.0,120.0
FD,165,Shower,,,,,,,,2.5,50.0,120.0
FD,166,Shower,,,,,,,,2.5,50.0,120.0
FD,167,Shower,,,,,,,,2.5,50.0,120.0
FD,168,Shower,,,,,,,,2.5,50.0,120.0
FD,169,Shower,,,,,,,,2.5,50.0,120.0
FD,170,Shower,,,,,,,,2.5,50.0,120.0
FD,171,Shower,,,,,,,,2.5,50.0,120.0
FD,172,Shower,,,,,,,,2.5,50.0,120.0
FD,173,Shower,,,,,,,,2.5,50.0,120.0
FD,174,Shower,,,,,,,,2.5,50.0,120.0
FD,175,Shower,,,,,,,,2.5,50.0,120.0
FD,176,Shower,,,,,,,,2.5,50.0,120.0
FD,177,Shower,,,,,,,,2.5,50.0,120.0
FD,178,Shower,,,,,,,,2.5,50.0,120.0
FD,179,Shower,,,,,,,,2.5,50.0,120.0
FD,180,Shower,,,,,,,,2.5,50.0,120.0
FD,181,Shower,,,,,,,,2.5,50.0,120.0
FD,182,Shower,,,,,,,,2.5,50.0,120.0
FD,183,Shower,,,,,,,,2.5,50.0,120.0
FD,184,Shower,,,,,,,,2.5,50.0,120.0
FD,185,Shower,,,,,,,,2.5,50.0,120.0
FD,186,Shower,,,,,,,,2.5,50.0,120.0
FD,187,Shower,,,,,,,,2.5,50.0,120.0
FD,188,Shower,,,,,,,,2.5,50.0,120.0
FD,189,Shower,,,,,,,,2.5,50.0,120.0
FD,190,Shower,,,,,,,,2.5,50.0,120.0
FD,191,Shower,,,,,,,,2.5,50.0,120.0
FD,192,Shower,,,,,,,,2.5,50.0,120.0
FD,193,Shower,,,,,,,,2.5,50.0,120.0
FD,194,Shower,,,,,,,,2.5,50.0,120.0
FD,195,Shower,,,,,,,,2.5,50.0,120.0
DM,1,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,2,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,3,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,4,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,5,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,6,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,7,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,8,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,9,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,10,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,11,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,12,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,13,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,14,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,15,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,16,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,17,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,18,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,19,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,20,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,21,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,22,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,23,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,24,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,25,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,26,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,27,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,28,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,29,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,30,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,31,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,32,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,33,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,34,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,35,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,36,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,37,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,38,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,39,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,40,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,41,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,42,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,43,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,44,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,45,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,46,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,47,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,48,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,49,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,50,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,51,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,52,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,53,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,54,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,55,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,56,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,57,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,58,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,59,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,60,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,61,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,62,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,63,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,64,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,65,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,66,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,67,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,68,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,69,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,70,HVAC,16.0,13.0,18.0,occupied_all_day,,,,,,
DM,71,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,72,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,73,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,74,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,75,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,76,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,77,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,78,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,79,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,80,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,81,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,82,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,83,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,84,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,85,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,86,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,87,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,88,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,89,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,90,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,91,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,92,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,93,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,94,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,95,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,96,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,97,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,98,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,99,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,100,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,101,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,102,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,103,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,104,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,105,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,106,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,107,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,108,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,109,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,110,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,111,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,112,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,113,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,114,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,115,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,116,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,117,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,118,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,119,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,120,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,121,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,122,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,123,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,124,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,125,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,126,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,127,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,128,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,129,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,130,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,131,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,132,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,133,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,134,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,135,Appliance,,,,,dryer,1.15,2:00 PM,,,
DM,136,Shower,,,,,,,,2.5,50.0,120.0
DM,137,Shower,,,,,,,,2.5,50.0,120.0
DM,138,Shower,,,,,,,,2.5,50.0,120.0
DM,139,Shower,,,,,,,,2.5,50.0,120.0
DM,140,Shower,,,,,,,,2.5,50.0,120.0
DM,141,Shower,,,,,,,,2.5,50.0,120.0
DM,142,Shower,,,,,,,,2.5,50.0,120.0
DM,143,Shower,,,,,,,,2.5,50.0,120.0
DM,144,Shower,,,,,,,,2.5,50.0,120.0
DM,145,Shower,,,,,,,,2.5,50.0,120.0
DM,146,Shower,,,,,,,,2.5,50.0,120.0
DM,147,Shower,,,,,,,,2.5,50.0,120.0
DM,148,Shower,,,,,,,,2.5,50.0,120.0
DM,149,Shower,,,,,,,,2.5,50.0,120.0
DM,150,Shower,,,,,,,,2.5,50.0,120.0
DM,151,Shower,,,,,,,,2.5,50.0,120.0
DM,152,Shower,,,,,,,,2.5,50.0,120.0
DM,153,Shower,,,,,,,,2.5,50.0,120.0
DM,154,Shower,,,,,,,,2.5,50.0,120.0
DM,155,Shower,,,,,,,,2.5,50.0,120.0
DM,156,Shower,,,,,,,,2.5,50.0,120.0
DM,157,Shower,,,,,,,,2.5,50.0,120.0
DM,158,Shower,,,,,,,,2.5,50.0,120.0
DM,159,Shower,,,,,,,,2.5,50.0,120.0
DM,160,Shower,,,,,,,,2.5,50.0,120.0
DM,161,Shower,,,,,,,,2.5,50.0,120.0
DM,162,Shower,,,,,,,,2.5,50.0,120.0
DM,163,Shower,,,,,,,,2.5,50.0,120.0
DM,164,Shower,,,,,,,,2.5,50.0,120.0
DM,165,Shower,,,,,,,,2.5,50.0,120.0
DM,166,Shower,,,,,,,,2.5,50.0,120.0
DM,167,Shower,,,,,,,,2.5,50.0,120.0
DM,168,Shower,,,,,,,,2.5,50.0,120.0
DM,169,Shower,,,,,,,,2.5,50.0,120.0
DM,170,Shower,,,,,,,,2.5,50.0,120.0
DM,171,Shower,,,,,,,,2.5,50.0,120.0
DM,172,Shower,,,,,,,,2.5,50.0,120.0
DM,173,Shower,,,,,,,,2.5,50.0,120.0
DM,174,Shower,,,,,,,,2.5,50.0,120.0
DM,175,Shower,,,,,,,,2.5,50.0,120.0
DM,176,Shower,,,,,,,,2.5,50.0,120.0
DM,177,Shower,,,,,,,,2.5,50.0,120.0
DM,178,Shower,,,,,,,,2.5,50.0,120.0
DM,179,Shower,,,,,,,,2.5,50.0,120.0
DM,180,Shower,,,,,,,,2.5,50.0,120.0
DM,181,Shower,,,,,,,,2.5,50.0,120.0
DM,182,Shower,,,,,,,,2.5,50.0,120.0
DM,183,Shower,,,,,,,,2.5,50.0,120.0
DM,184,Shower,,,,,,,,2.5,50.0,120.0
DM,185,Shower,,,,,,,,2.5,50.0,120.0
DM,186,Shower,,,,,,,,2.5,50.0,120.0
DM,187,Shower,,,,,,,,2.5,50.0,120.0
DM,188,Shower,,,,,,,,2.5,50.0,120.0
DM,189,Shower,,,,,,,,2.5,50.0,120.0
DM,190,Shower,,,,,,,,2.5,50.0,120.0
DM,191,Shower,,,,,,,,2.5,50.0,120.0
DM,192,Shower,,,,,,,,2.5,50.0,120.0
DM,193,Shower,,,,,,,,2.5,50.0,120.0
DM,194,Shower,,,,,,,,2.5,50.0,120.0
DM,195,Shower,,,,,,,,2.5,50.0,120.0
FD+time,1,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,2,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,3,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,4,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,5,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,6,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,7,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,8,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,9,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,10,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,11,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,12,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,13,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,14,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,15,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,16,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,17,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,18,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,19,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,20,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,21,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,22,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,23,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,24,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,25,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,26,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,27,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,28,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,29,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,30,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,31,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,32,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,33,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,34,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,35,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
FD+time,36,HVAC,15.0,13.0,13.0,occupied_all_day,,,,,,
