model,run,scenario_id,decision_type,parameter,true,extracted,rel_error,error,cf_top1_change,ref_margin,ah_top1_miss
deepseek,1,9,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.031000000000000028,False
deepseek,1,10,HVAC,r_value,23.0,19.0,-0.17391304347826086,True,False,0.014000000000000012,False
deepseek,1,10,HVAC,seer,16.0,13.0,-0.1875,True,False,0.014000000000000012,False
deepseek,1,10,HVAC,hvac_age,12.0,10.0,-0.16666666666666666,True,False,0.014000000000000012,False
deepseek,1,10,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.014000000000000012,False
deepseek,1,11,HVAC,r_value,16.0,13.0,-0.1875,True,False,0.03749999999999987,False
deepseek,1,11,HVAC,seer,16.0,16.0,0.0,False,False,0.03749999999999987,False
deepseek,1,11,HVAC,hvac_age,5.0,3.0,-0.4,True,False,0.03749999999999987,False
deepseek,1,11,HVAC,occupancy_context,unoccupied_8hr,unoccupied_8,,False,False,0.03749999999999987,False
deepseek,1,12,HVAC,r_value,17.0,19.0,0.11764705882352941,True,False,0.02400000000000002,False
deepseek,1,12,HVAC,seer,16.0,16.0,0.0,False,False,0.02400000000000002,False
deepseek,1,12,HVAC,hvac_age,5.0,3.0,-0.4,True,False,0.02400000000000002,False
deepseek,1,12,HVAC,occupancy_context,unoccupied_8hr,unoccupied_12,,True,False,0.02400000000000002,False
deepseek,1,13,HVAC,r_value,11.0,13.0,0.18181818181818182,True,False,0.044499999999999984,False
deepseek,1,13,HVAC,seer,18.0,14.0,-0.2222222222222222,True,False,0.044499999999999984,False
deepseek,1,13,HVAC,hvac_age,1.0,3.0,2.0,True,False,0.044499999999999984,False
deepseek,1,13,HVAC,occupancy_context,unoccupied_12hr,unoccupied_8,,True,False,0.044499999999999984,False
deepseek,1,14,HVAC,r_value,23.0,18.0,-0.21739130434782608,True,False,0.03149999999999997,False
deepseek,1,14,HVAC,seer,18.0,16.0,-0.1111111111111111,True,False,0.03149999999999997,False
deepseek,1,14,HVAC,hvac_age,2.0,3.0,0.5,True,False,0.03149999999999997,False
deepseek,1,14,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.03149999999999997,False
deepseek,1,15,HVAC,r_value,12.0,13.0,0.08333333333333333,True,False,0.030500000000000083,False
deepseek,1,15,HVAC,seer,17.0,14.0,-0.17647058823529413,True,False,0.030500000000000083,False
deepseek,1,15,HVAC,hvac_age,4.0,3.0,-0.25,True,False,0.030500000000000083,False
deepseek,1,15,HVAC,occupancy_context,unoccupied_4hr,unoccupied_2,,True,False,0.030500000000000083,False
deepseek,1,16,HVAC,r_value,10.0,10.0,0.0,False,False,0.009000000000000008,False
deepseek,1,16,HVAC,seer,17.0,14.0,-0.17647058823529413,True,False,0.009000000000000008,False
deepseek,1,16,HVAC,hvac_age,4.0,3.0,-0.25,True,False,0.009000000000000008,False
deepseek,1,16,HVAC,occupancy_context,unoccupied_4hr,unoccupied_4,,False,False,0.009000000000000008,False
deepseek,1,17,HVAC,r_value,15.0,13.0,-0.13333333333333333,True,False,0.0025000000000000577,False
deepseek,1,17,HVAC,seer,16.0,14.0,-0.125,True,False,0.0025000000000000577,False
deepseek,1,17,HVAC,hvac_age,7.0,8.0,0.14285714285714285,True,False,0.0025000000000000577,False
deepseek,1,17,HVAC,occupancy_context,unoccupied_8hr,unoccupied_9,,True,False,0.0025000000000000577,False
deepseek,1,18,HVAC,r_value,11.0,11.0,0.0,False,False,0.051000000000000045,False
deepseek,1,18,HVAC,seer,15.0,13.0,-0.13333333333333333,True,False,0.051000000000000045,False
deepseek,1,18,HVAC,hvac_age,9.0,8.0,-0.1111111111111111,True,False,0.051000000000000045,False
deepseek,1,18,HVAC,occupancy_context,unoccupied_8hr,unoccupied_8,,False,False,0.051000000000000045,False
deepseek,1,19,HVAC,r_value,24.0,19.0,-0.20833333333333334,True,False,0.015000000000000124,False
deepseek,1,19,HVAC,seer,16.0,14.0,-0.125,True,False,0.015000000000000124,False
deepseek,1,19,HVAC,hvac_age,11.0,8.0,-0.2727272727272727,True,False,0.015000000000000124,False
deepseek,1,19,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.015000000000000124,False
deepseek,1,20,HVAC,r_value,15.0,13.0,-0.13333333333333333,True,False,0.03200000000000003,False
deepseek,1,20,HVAC,seer,15.0,13.0,-0.13333333333333333,True,False,0.03200000000000003,False
deepseek,1,20,HVAC,hvac_age,12.0,13.0,0.08333333333333333,True,False,0.03200000000000003,False
deepseek,1,20,HVAC,occupancy_context,unoccupied_4hr,unoccupied_2,,True,False,0.03200000000000003,False
deepseek,1,21,HVAC,r_value,10.0,11.0,0.1,True,False,0.015000000000000013,False
deepseek,1,21,HVAC,seer,14.0,13.0,-0.07142857142857142,True,False,0.015000000000000013,False
deepseek,1,21,HVAC,hvac_age,16.0,13.0,-0.1875,True,False,0.015000000000000013,False
deepseek,1,21,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.015000000000000013,False
deepseek,1,22,HVAC,r_value,16.0,13.0,-0.1875,True,False,0.012500000000000067,False
deepseek,1,22,HVAC,seer,14.0,10.0,-0.2857142857142857,True,False,0.012500000000000067,False
deepseek,1,22,HVAC,hvac_age,19.0,16.0,-0.15789473684210525,True,False,0.012500000000000067,False
deepseek,1,22,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.012500000000000067,False
deepseek,1,23,HVAC,r_value,17.0,13.0,-0.23529411764705882,True,False,0.038000000000000034,False
deepseek,1,23,HVAC,seer,14.0,13.0,-0.07142857142857142,True,False,0.038000000000000034,False
deepseek,1,23,HVAC,hvac_age,19.0,10.0,-0.47368421052631576,True,False,0.038000000000000034,False
deepseek,1,23,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.038000000000000034,False
deepseek,1,24,HVAC,r_value,11.0,13.0,0.18181818181818182,True,False,0.01650000000000007,False
deepseek,1,24,HVAC,seer,12.0,10.0,-0.16666666666666666,True,False,0.01650000000000007,False
deepseek,1,24,HVAC,hvac_age,25.0,12.0,-0.52,True,False,0.01650000000000007,False
deepseek,1,24,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.01650000000000007,False
deepseek,1,25,HVAC,r_value,16.0,13.0,-0.1875,True,False,0.008499999999999952,False
deepseek,1,25,HVAC,seer,12.0,13.0,0.08333333333333333,True,False,0.008499999999999952,False
deepseek,1,25,HVAC,hvac_age,26.0,12.0,-0.5384615384615384,True,False,0.008499999999999952,False
deepseek,1,25,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.008499999999999952,False
deepseek,1,26,HVAC,r_value,10.0,8.0,-0.2,True,False,0.020000000000000018,True
deepseek,1,26,HVAC,seer,11.0,10.0,-0.09090909090909091,True,False,0.020000000000000018,True
deepseek,1,26,HVAC,hvac_age,30.0,15.0,-0.5,True,False,0.020000000000000018,True
deepseek,1,26,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.020000000000000018,True
deepseek,1,27,HVAC,r_value,14.0,8.0,-0.42857142857142855,True,False,0.010500000000000065,False
deepseek,1,27,HVAC,seer,8.0,10.0,0.25,True,False,0.010500000000000065,False
deepseek,1,27,HVAC,hvac_age,95.0,20.0,-0.7894736842105263,True,False,0.010500000000000065,False
deepseek,1,27,HVAC,occupancy_context,overnight_sleep,occupied_sleep,,False,False,0.010500000000000065,False
deepseek,1,28,HVAC,r_value,9.0,11.0,0.2222222222222222,True,False,0.025500000000000023,True
deepseek,1,28,HVAC,seer,9.0,10.0,0.1111111111111111,True,False,0.025500000000000023,True
deepseek,1,28,HVAC,hvac_age,35.0,15.0,-0.5714285714285714,True,False,0.025500000000000023,True
deepseek,1,28,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.025500000000000023,True
deepseek,1,29,HVAC,r_value,9.0,11.0,0.2222222222222222,True,False,0.043999999999999956,False
deepseek,1,29,HVAC,seer,10.0,10.0,0.0,False,False,0.043999999999999956,False
deepseek,1,29,HVAC,hvac_age,30.0,15.0,-0.5,True,False,0.043999999999999956,False
deepseek,1,29,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.043999999999999956,False
deepseek,1,30,HVAC,r_value,17.0,13.0,-0.23529411764705882,True,False,0.014000000000000012,False
deepseek,1,30,HVAC,seer,13.0,13.0,0.0,False,False,0.014000000000000012,False
deepseek,1,30,HVAC,hvac_age,18.0,16.0,-0.1111111111111111,True,False,0.014000000000000012,False
deepseek,1,30,HVAC,occupancy_context,unoccupied_4hr,unoccupied_2,,True,False,0.014000000000000012,False
deepseek,1,31,HVAC,r_value,23.0,19.0,-0.17391304347826086,True,False,0.0714999999999999,False
deepseek,1,31,HVAC,seer,16.0,13.0,-0.1875,True,False,0.0714999999999999,False
deepseek,1,31,HVAC,hvac_age,8.0,8.0,0.0,False,False,0.0714999999999999,False
deepseek,1,31,HVAC,occupancy_context,unoccupied_4hr,unoccupied_4,,False,False,0.0714999999999999,False
deepseek,1,32,HVAC,r_value,9.0,11.0,0.2222222222222222,True,False,0.00550000000000006,False
deepseek,1,32,HVAC,seer,11.0,10.0,-0.09090909090909091,True,False,0.00550000000000006,False
deepseek,1,32,HVAC,hvac_age,25.0,15.0,-0.4,True,False,0.00550000000000006,False
deepseek,1,32,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.00550000000000006,False
deepseek,1,33,HVAC,r_value,11.0,11.0,0.0,False,False,0.014000000000000012,False
deepseek,1,33,HVAC,seer,11.0,10.0,-0.09090909090909091,True,False,0.014000000000000012,False
deepseek,1,33,HVAC,hvac_age,28.0,15.0,-0.4642857142857143,True,False,0.014000000000000012,False
deepseek,1,33,HVAC,occupancy_context,unoccupied_12hr,unoccupied_8_hours,,True,False,0.014000000000000012,False
deepseek,1,34,HVAC,r_value,16.0,13.0,-0.1875,True,False,0.011500000000000066,False
deepseek,1,34,HVAC,seer,10.0,10.0,0.0,False,False,0.011500000000000066,False
deepseek,1,34,HVAC,hvac_age,28.0,15.0,-0.4642857142857143,True,False,0.011500000000000066,False
deepseek,1,34,HVAC,occupancy_context,unoccupied_4hr,unoccupied_2,,True,False,0.011500000000000066,False
deepseek,1,35,HVAC,r_value,9.0,13.0,0.4444444444444444,True,False,0.09999999999999998,False
deepseek,1,35,HVAC,seer,11.0,10.0,-0.09090909090909091,True,False,0.09999999999999998,False
deepseek,1,35,HVAC,hvac_age,25.0,12.0,-0.52,True,False,0.09999999999999998,False
deepseek,1,35,HVAC,occupancy_context,unoccupied_12hr,unoccupied_12,,False,False,0.09999999999999998,False
deepseek,1,36,HVAC,r_value,15.0,13.0,-0.13333333333333333,True,False,0.1369999999999999,False
deepseek,1,36,HVAC,seer,14.0,13.0,-0.07142857142857142,True,False,0.1369999999999999,False
deepseek,1,36,HVAC,hvac_age,12.0,12.0,0.0,False,False,0.1369999999999999,False
deepseek,1,36,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.1369999999999999,False
deepseek,1,37,HVAC,r_value,16.0,13.0,-0.1875,True,False,0.020500000000000185,False
deepseek,1,37,HVAC,seer,15.0,14.0,-0.06666666666666667,True,False,0.020500000000000185,False
deepseek,1,37,HVAC,hvac_age,8.0,8.0,0.0,False,False,0.020500000000000185,False
deepseek,1,37,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.020500000000000185,False
deepseek,1,38,HVAC,r_value,21.0,20.0,-0.047619047619047616,True,False,0.016000000000000014,False
deepseek,1,38,HVAC,seer,14.0,10.0,-0.2857142857142857,True,False,0.016000000000000014,False
deepseek,1,38,HVAC,hvac_age,16.0,12.0,-0.25,True,False,0.016000000000000014,False
deepseek,1,38,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.016000000000000014,False
deepseek,1,39,HVAC,r_value,14.0,13.0,-0.07142857142857142,True,False,0.02100000000000013,False
deepseek,1,39,HVAC,seer,12.0,10.0,-0.16666666666666666,True,False,0.02100000000000013,False
deepseek,1,39,HVAC,hvac_age,25.0,15.0,-0.4,True,False,0.02100000000000013,False
deepseek,1,39,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.02100000000000013,False
deepseek,1,40,HVAC,r_value,16.0,13.0,-0.1875,True,False,0.0495000000000001,False
deepseek,1,40,HVAC,seer,13.0,13.0,0.0,False,False,0.0495000000000001,False
deepseek,1,40,HVAC,hvac_age,18.0,15.0,-0.16666666666666666,True,False,0.0495000000000001,False
deepseek,1,40,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.0495000000000001,False
deepseek,1,41,HVAC,r_value,15.0,11.0,-0.26666666666666666,True,False,0.03949999999999998,False
deepseek,1,41,HVAC,seer,13.0,13.0,0.0,False,False,0.03949999999999998,False
deepseek,1,41,HVAC,hvac_age,18.0,16.0,-0.1111111111111111,True,False,0.03949999999999998,False
deepseek,1,41,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.03949999999999998,False
deepseek,1,42,HVAC,r_value,9.0,8.0,-0.1111111111111111,True,False,0.025999999999999912,False
deepseek,1,42,HVAC,seer,10.0,10.0,0.0,False,False,0.025999999999999912,False
deepseek,1,42,HVAC,hvac_age,32.0,15.0,-0.53125,True,False,0.025999999999999912,False
deepseek,1,42,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.025999999999999912,False
deepseek,1,43,HVAC,r_value,16.0,13.0,-0.1875,True,False,0.006999999999999895,False
deepseek,1,43,HVAC,seer,13.0,10.0,-0.23076923076923078,True,False,0.006999999999999895,False
deepseek,1,43,HVAC,hvac_age,18.0,12.0,-0.3333333333333333,True,False,0.006999999999999895,False
deepseek,1,43,HVAC,occupancy_context,unoccupied_8hr,unoccupied_10,,True,True,0.006999999999999895,False
deepseek,1,44,HVAC,r_value,23.0,19.0,-0.17391304347826086,True,False,0.06250000000000022,False
deepseek,1,44,HVAC,seer,15.0,13.0,-0.13333333333333333,True,False,0.06250000000000022,False
deepseek,1,44,HVAC,hvac_age,10.0,11.0,0.1,True,False,0.06250000000000022,False
deepseek,1,44,HVAC,occupancy_context,unoccupied_8hr,unoccupied_10,,True,False,0.06250000000000022,False
deepseek,1,45,HVAC,r_value,24.0,19.0,-0.20833333333333334,True,False,0.032500000000000195,False
deepseek,1,45,HVAC,seer,17.0,14.0,-0.17647058823529413,True,False,0.032500000000000195,False
deepseek,1,45,HVAC,hvac_age,6.0,8.0,0.3333333333333333,True,False,0.032500000000000195,False
deepseek,1,45,HVAC,occupancy_context,overnight_sleep,occupied_sleep,,False,False,0.032500000000000195,False
deepseek,1,46,HVAC,r_value,21.0,19.0,-0.09523809523809523,True,False,0.019500000000000073,False
deepseek,1,46,HVAC,seer,15.0,13.0,-0.13333333333333333,True,False,0.019500000000000073,False
deepseek,1,46,HVAC,hvac_age,16.0,16.0,0.0,False,False,0.019500000000000073,False
deepseek,1,46,HVAC,occupancy_context,overnight_sleep,occupied_sleep,,False,False,0.019500000000000073,False
deepseek,1,47,HVAC,r_value,15.0,13.0,-0.13333333333333333,True,False,0.031000000000000028,False
deepseek,1,47,HVAC,seer,13.0,10.0,-0.23076923076923078,True,False,0.031000000000000028,False
deepseek,1,47,HVAC,hvac_age,20.0,15.0,-0.25,True,False,0.031000000000000028,False
deepseek,1,47,HVAC,occupancy_context,overnight_sleep,occupied_sleep,,False,False,0.031000000000000028,False
deepseek,1,48,HVAC,r_value,24.0,19.0,-0.20833333333333334,True,False,0.024499999999999966,False
deepseek,1,48,HVAC,seer,22.0,16.0,-0.2727272727272727,True,False,0.024499999999999966,False
deepseek,1,48,HVAC,hvac_age,1.0,3.0,2.0,True,False,0.024499999999999966,False
deepseek,1,48,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.024499999999999966,False
deepseek,1,49,HVAC,r_value,22.0,19.0,-0.13636363636363635,True,False,0.030000000000000027,False
deepseek,1,49,HVAC,seer,20.0,16.0,-0.2,True,False,0.030000000000000027,False
deepseek,1,49,HVAC,hvac_age,3.0,3.0,0.0,False,False,0.030000000000000027,False
deepseek,1,49,HVAC,occupancy_context,overnight_sleep,occupied_sleep,,False,False,0.030000000000000027,False
deepseek,1,50,HVAC,r_value,11.0,11.0,0.0,False,False,0.009500000000000008,False
deepseek,1,50,HVAC,seer,13.0,10.0,-0.23076923076923078,True,False,0.009500000000000008,False
deepseek,1,50,HVAC,hvac_age,20.0,15.0,-0.25,True,False,0.009500000000000008,False
deepseek,1,50,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.009500000000000008,False
deepseek,1,51,HVAC,r_value,10.0,11.0,0.1,True,False,0.006000000000000005,False
deepseek,1,51,HVAC,seer,9.0,10.0,0.1111111111111111,True,True,0.006000000000000005,False
deepseek,1,51,HVAC,hvac_age,33.0,15.0,-0.5454545454545454,True,False,0.006000000000000005,False
deepseek,1,51,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.006000000000000005,False
deepseek,1,52,HVAC,r_value,17.0,13.0,-0.23529411764705882,True,False,0.028000000000000025,False
deepseek,1,52,HVAC,seer,14.0,13.0,-0.07142857142857142,True,False,0.028000000000000025,False
deepseek,1,52,HVAC,hvac_age,8.0,12.0,0.5,True,False,0.028000000000000025,False
deepseek,1,52,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.028000000000000025,False
deepseek,1,53,HVAC,r_value,16.0,13.0,-0.1875,True,False,0.027000000000000024,False
deepseek,1,53,HVAC,seer,16.0,10.0,-0.375,True,False,0.027000000000000024,False
deepseek,1,53,HVAC,hvac_age,6.0,16.0,1.6666666666666667,True,False,0.027000000000000024,False
deepseek,1,53,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.027000000000000024,False
deepseek,1,54,HVAC,r_value,15.0,13.0,-0.13333333333333333,True,True,0.016000000000000014,True
deepseek,1,54,HVAC,seer,15.0,10.0,-0.3333333333333333,True,True,0.016000000000000014,True
deepseek,1,54,HVAC,hvac_age,11.0,15.0,0.36363636363636365,True,False,0.016000000000000014,True
deepseek,1,54,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.016000000000000014,True
deepseek,1,55,HVAC,r_value,23.0,19.0,-0.17391304347826086,True,False,0.138,False
deepseek,1,55,HVAC,seer,18.0,13.0,-0.2777777777777778,True,False,0.138,False
deepseek,1,55,HVAC,hvac_age,3.0,11.0,2.6666666666666665,True,False,0.138,False
deepseek,1,55,HVAC,occupancy_context,unoccupied_8hr,unoccupied_8,,False,False,0.138,False
deepseek,1,56,HVAC,r_value,22.0,18.0,-0.18181818181818182,True,False,0.006000000000000005,True
deepseek,1,56,HVAC,seer,17.0,13.0,-0.23529411764705882,True,True,0.006000000000000005,True
deepseek,1,56,HVAC,hvac_age,7.0,10.0,0.42857142857142855,True,False,0.006000000000000005,True
deepseek,1,56,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.006000000000000005,True
deepseek,1,57,HVAC,r_value,24.0,18.0,-0.25,True,False,0.034499999999999975,False
deepseek,1,57,HVAC,seer,19.0,14.0,-0.2631578947368421,True,False,0.034499999999999975,False
deepseek,1,57,HVAC,hvac_age,4.0,8.0,1.0,True,False,0.034499999999999975,False
deepseek,1,57,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.034499999999999975,False
deepseek,1,58,HVAC,r_value,8.0,8.0,0.0,False,False,0.03200000000000003,False
deepseek,1,58,HVAC,seer,11.0,10.0,-0.09090909090909091,True,False,0.03200000000000003,False
deepseek,1,58,HVAC,hvac_age,21.0,15.0,-0.2857142857142857,True,False,0.03200000000000003,False
deepseek,1,58,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.03200000000000003,False
deepseek,1,59,HVAC,r_value,13.0,11.0,-0.15384615384615385,True,False,0.02000000000000013,False
deepseek,1,59,HVAC,seer,13.0,10.0,-0.23076923076923078,True,False,0.02000000000000013,False
deepseek,1,59,HVAC,hvac_age,15.0,15.0,0.0,False,False,0.02000000000000013,False
deepseek,1,59,HVAC,occupancy_context,unoccupied_4hr,unoccupied_1,,True,False,0.02000000000000013,False
deepseek,1,60,HVAC,r_value,20.0,18.0,-0.1,True,False,0.014000000000000012,False
deepseek,1,60,HVAC,seer,16.0,13.0,-0.1875,True,False,0.014000000000000012,False
deepseek,1,60,HVAC,hvac_age,6.0,13.0,1.1666666666666667,True,False,0.014000000000000012,False
deepseek,1,60,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.014000000000000012,False
deepseek,1,61,HVAC,r_value,20.0,19.0,-0.05,True,False,0.024500000000000077,False
deepseek,1,61,HVAC,seer,14.0,10.0,-0.2857142857142857,True,False,0.024500000000000077,False
deepseek,1,61,HVAC,hvac_age,18.0,15.0,-0.16666666666666666,True,False,0.024500000000000077,False
deepseek,1,61,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.024500000000000077,False
deepseek,1,62,HVAC,r_value,15.0,13.0,-0.13333333333333333,True,False,0.025500000000000078,False
deepseek,1,62,HVAC,seer,12.0,10.0,-0.16666666666666666,True,False,0.025500000000000078,False
deepseek,1,62,HVAC,hvac_age,24.0,15.0,-0.375,True,False,0.025500000000000078,False
deepseek,1,62,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.025500000000000078,False
deepseek,1,63,HVAC,r_value,10.0,8.0,-0.2,True,False,0.0824999999999999,False
deepseek,1,63,HVAC,seer,11.0,10.0,-0.09090909090909091,True,False,0.0824999999999999,False
deepseek,1,63,HVAC,hvac_age,28.0,15.0,-0.4642857142857143,True,False,0.0824999999999999,False
deepseek,1,63,HVAC,occupancy_context,unoccupied_8hr,unoccupied_8_hours,,False,False,0.0824999999999999,False
deepseek,1,64,HVAC,r_value,14.0,13.0,-0.07142857142857142,True,False,0.024499999999999855,False
deepseek,1,64,HVAC,seer,13.0,13.0,0.0,False,False,0.024499999999999855,False
deepseek,1,64,HVAC,hvac_age,16.0,12.0,-0.25,True,False,0.024499999999999855,False
deepseek,1,64,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.024499999999999855,False
deepseek,1,65,HVAC,r_value,22.0,19.0,-0.13636363636363635,True,False,0.04200000000000004,False
deepseek,1,65,HVAC,seer,15.0,13.0,-0.13333333333333333,True,False,0.04200000000000004,False
deepseek,1,65,HVAC,hvac_age,14.0,16.0,0.14285714285714285,True,False,0.04200000000000004,False
deepseek,1,65,HVAC,occupancy_context,overnight_sleep,occupied_sleep,,False,False,0.04200000000000004,False
deepseek,1,66,HVAC,r_value,9.0,11.0,0.2222222222222222,True,False,0.05000000000000002,False
deepseek,1,66,HVAC,seer,10.0,10.0,0.0,False,False,0.05000000000000002,False
deepseek,1,66,HVAC,hvac_age,32.0,15.0,-0.53125,True,False,0.05000000000000002,False
deepseek,1,66,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.05000000000000002,False
deepseek,1,67,HVAC,r_value,14.0,13.0,-0.07142857142857142,True,False,0.03550000000000009,False
deepseek,1,67,HVAC,seer,13.0,10.0,-0.23076923076923078,True,False,0.03550000000000009,False
deepseek,1,67,HVAC,hvac_age,22.0,15.0,-0.3181818181818182,True,False,0.03550000000000009,False
deepseek,1,67,HVAC,occupancy_context,unoccupied_4hr,unoccupied_4,,False,False,0.03550000000000009,False
deepseek,1,68,HVAC,r_value,9.0,11.0,0.2222222222222222,True,False,0.064,False
deepseek,1,68,HVAC,seer,11.0,10.0,-0.09090909090909091,True,False,0.064,False
deepseek,1,68,HVAC,hvac_age,20.0,15.0,-0.25,True,False,0.064,False
deepseek,1,68,HVAC,occupancy_context,standard,occupied_all_day,,False,False,0.064,False
deepseek,1,69,HVAC,r_value,22.0,19.0,-0.13636363636363635,True,False,0.024499999999999966,False
deepseek,1,69,HVAC,seer,14.0,13.0,-0.07142857142857142,True,False,0.024499999999999966,False
deepseek,1,69,HVAC,hvac_age,12.0,12.0,0.0,False,False,0.024499999999999966,False
deepseek,1,69,HVAC,occupancy_context,occupied_all_day,occupied_all_day,,False,False,0.024499999999999966,False
deepseek,1,70,HVAC,r_value,16.0,13.0,-0.1875,True,False,0.03400000000000003,False
deepseek,1,70,HVAC,seer,13.0,13.0,0.0,False,False,0.03400000000000003,False
