model,run,scenario_id,decision_type,param,true,llm,lu,fd,corpus,llm_match,lu_match,fd_match
deepseek,01,14,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,15,HVAC,r_value,12.0,13.0,10.0,15.0,9.0,,,
deepseek,01,15,HVAC,seer,17.0,14.0,14.0,13.0,16.0,,,
deepseek,01,15,HVAC,hvac_age,4.0,3.0,3.0,13.0,5.0,,,
deepseek,01,15,HVAC,occupancy_context,,,,,,False,True,False
deepseek,01,16,HVAC,r_value,10.0,10.0,10.0,15.0,9.0,,,
deepseek,01,16,HVAC,seer,17.0,14.0,14.0,13.0,16.0,,,
deepseek,01,16,HVAC,hvac_age,4.0,3.0,3.0,13.0,5.0,,,
deepseek,01,16,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,17,HVAC,r_value,15.0,13.0,15.5,15.0,16.0,,,
deepseek,01,17,HVAC,seer,16.0,14.0,13.0,13.0,16.0,,,
deepseek,01,17,HVAC,hvac_age,7.0,8.0,8.0,13.0,5.0,,,
deepseek,01,17,HVAC,occupancy_context,,,,,,False,True,False
deepseek,01,18,HVAC,r_value,11.0,11.0,10.0,15.0,9.0,,,
deepseek,01,18,HVAC,seer,15.0,13.0,13.0,13.0,16.0,,,
deepseek,01,18,HVAC,hvac_age,9.0,8.0,8.0,13.0,5.0,,,
deepseek,01,18,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,19,HVAC,r_value,24.0,19.0,21.5,15.0,22.0,,,
deepseek,01,19,HVAC,seer,16.0,14.0,13.0,13.0,16.0,,,
deepseek,01,19,HVAC,hvac_age,11.0,8.0,8.0,13.0,5.0,,,
deepseek,01,19,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,20,HVAC,r_value,15.0,13.0,15.5,15.0,16.0,,,
deepseek,01,20,HVAC,seer,15.0,13.0,13.0,13.0,15.0,,,
deepseek,01,20,HVAC,hvac_age,12.0,13.0,13.0,13.0,10.0,,,
deepseek,01,20,HVAC,occupancy_context,,,,,,False,True,False
deepseek,01,21,HVAC,r_value,10.0,11.0,10.0,15.0,9.0,,,
deepseek,01,21,HVAC,seer,14.0,13.0,13.0,13.0,15.0,,,
deepseek,01,21,HVAC,hvac_age,16.0,13.0,13.0,13.0,10.0,,,
deepseek,01,21,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,22,HVAC,r_value,16.0,13.0,15.5,15.0,16.0,,,
deepseek,01,22,HVAC,seer,14.0,10.0,13.0,13.0,14.0,,,
deepseek,01,22,HVAC,hvac_age,19.0,16.0,18.0,13.0,15.0,,,
deepseek,01,22,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,23,HVAC,r_value,17.0,13.0,15.5,15.0,16.0,,,
deepseek,01,23,HVAC,seer,14.0,13.0,13.0,13.0,14.0,,,
deepseek,01,23,HVAC,hvac_age,19.0,10.0,18.0,13.0,15.0,,,
deepseek,01,23,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,24,HVAC,r_value,11.0,13.0,10.0,15.0,9.0,,,
deepseek,01,24,HVAC,seer,12.0,10.0,10.0,13.0,13.0,,,
deepseek,01,24,HVAC,hvac_age,25.0,12.0,25.5,13.0,21.0,,,
deepseek,01,24,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,25,HVAC,r_value,16.0,13.0,15.5,15.0,16.0,,,
deepseek,01,25,HVAC,seer,12.0,13.0,10.0,13.0,13.0,,,
deepseek,01,25,HVAC,hvac_age,26.0,12.0,25.5,13.0,21.0,,,
deepseek,01,25,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,26,HVAC,r_value,10.0,8.0,10.0,15.0,9.0,,,
deepseek,01,26,HVAC,seer,11.0,10.0,10.0,13.0,13.0,,,
deepseek,01,26,HVAC,hvac_age,30.0,15.0,25.5,13.0,21.0,,,
deepseek,01,26,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,27,HVAC,r_value,14.0,8.0,15.5,15.0,16.0,,,
deepseek,01,27,HVAC,seer,8.0,10.0,9.0,13.0,12.0,,,
deepseek,01,27,HVAC,hvac_age,95.0,20.0,60.0,13.0,18.0,,,
deepseek,01,27,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,28,HVAC,r_value,9.0,11.0,10.0,15.0,9.0,,,
deepseek,01,28,HVAC,seer,9.0,10.0,9.0,13.0,13.0,,,
deepseek,01,28,HVAC,hvac_age,35.0,15.0,35.5,13.0,26.0,,,
deepseek,01,28,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,29,HVAC,r_value,9.0,11.0,10.0,15.0,9.0,,,
deepseek,01,29,HVAC,seer,10.0,10.0,9.0,13.0,13.0,,,
deepseek,01,29,HVAC,hvac_age,30.0,15.0,35.5,13.0,26.0,,,
deepseek,01,29,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,30,HVAC,r_value,17.0,13.0,15.5,15.0,16.0,,,
deepseek,01,30,HVAC,seer,13.0,13.0,13.0,13.0,14.0,,,
deepseek,01,30,HVAC,hvac_age,18.0,16.0,18.0,13.0,15.0,,,
deepseek,01,30,HVAC,occupancy_context,,,,,,False,True,False
deepseek,01,31,HVAC,r_value,23.0,19.0,21.5,15.0,22.0,,,
deepseek,01,31,HVAC,seer,16.0,13.0,13.0,13.0,16.0,,,
deepseek,01,31,HVAC,hvac_age,8.0,8.0,8.0,13.0,5.0,,,
deepseek,01,31,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,32,HVAC,r_value,9.0,11.0,10.0,15.0,9.0,,,
deepseek,01,32,HVAC,seer,11.0,10.0,10.0,13.0,13.0,,,
deepseek,01,32,HVAC,hvac_age,25.0,15.0,25.5,13.0,21.0,,,
deepseek,01,32,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,33,HVAC,r_value,11.0,11.0,10.0,15.0,9.0,,,
deepseek,01,33,HVAC,seer,11.0,10.0,10.0,13.0,13.0,,,
deepseek,01,33,HVAC,hvac_age,28.0,15.0,25.5,13.0,21.0,,,
deepseek,01,33,HVAC,occupancy_context,,,,,,False,False,False
deepseek,01,34,HVAC,r_value,16.0,13.0,15.5,15.0,16.0,,,
deepseek,01,34,HVAC,seer,10.0,10.0,9.0,13.0,13.0,,,
deepseek,01,34,HVAC,hvac_age,28.0,15.0,35.5,13.0,26.0,,,
deepseek,01,34,HVAC,occupancy_context,,,,,,False,True,False
deepseek,01,35,HVAC,r_value,9.0,13.0,10.0,15.0,9.0,,,
deepseek,01,35,HVAC,seer,11.0,10.0,10.0,13.0,13.0,,,
deepseek,01,35,HVAC,hvac_age,25.0,12.0,25.5,13.0,21.0,,,
deepseek,01,35,HVAC,occupancy_context,,,,,,True,False,False
deepseek,01,36,HVAC,r_value,15.0,13.0,15.5,15.0,16.0,,,
deepseek,01,36,HVAC,seer,14.0,13.0,13.0,13.0,15.0,,,
deepseek,01,36,HVAC,hvac_age,12.0,12.0,13.0,13.0,10.0,,,
deepseek,01,36,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,37,HVAC,r_value,16.0,13.0,15.5,15.0,16.0,,,
deepseek,01,37,HVAC,seer,15.0,14.0,13.0,13.0,16.0,,,
deepseek,01,37,HVAC,hvac_age,8.0,8.0,8.0,13.0,5.0,,,
deepseek,01,37,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,38,HVAC,r_value,21.0,20.0,21.5,15.0,22.0,,,
deepseek,01,38,HVAC,seer,14.0,10.0,13.0,13.0,14.0,,,
deepseek,01,38,HVAC,hvac_age,16.0,12.0,18.0,13.0,15.0,,,
deepseek,01,38,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,39,HVAC,r_value,14.0,13.0,15.5,15.0,16.0,,,
deepseek,01,39,HVAC,seer,12.0,10.0,10.0,13.0,13.0,,,
deepseek,01,39,HVAC,hvac_age,25.0,15.0,25.5,13.0,21.0,,,
deepseek,01,39,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,40,HVAC,r_value,16.0,13.0,15.5,15.0,16.0,,,
deepseek,01,40,HVAC,seer,13.0,13.0,10.0,13.0,13.0,,,
deepseek,01,40,HVAC,hvac_age,18.0,15.0,25.5,13.0,21.0,,,
deepseek,01,40,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,41,HVAC,r_value,15.0,11.0,15.5,15.0,16.0,,,
deepseek,01,41,HVAC,seer,13.0,13.0,13.0,13.0,14.0,,,
deepseek,01,41,HVAC,hvac_age,18.0,16.0,18.0,13.0,15.0,,,
deepseek,01,41,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,42,HVAC,r_value,9.0,8.0,10.0,15.0,9.0,,,
deepseek,01,42,HVAC,seer,10.0,10.0,9.0,13.0,13.0,,,
deepseek,01,42,HVAC,hvac_age,32.0,15.0,35.5,13.0,26.0,,,
deepseek,01,42,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,43,HVAC,r_value,16.0,13.0,15.5,15.0,16.0,,,
deepseek,01,43,HVAC,seer,13.0,10.0,10.0,13.0,13.0,,,
deepseek,01,43,HVAC,hvac_age,18.0,12.0,25.5,13.0,21.0,,,
deepseek,01,43,HVAC,occupancy_context,,,,,,False,True,False
deepseek,01,44,HVAC,r_value,23.0,19.0,21.5,15.0,22.0,,,
deepseek,01,44,HVAC,seer,15.0,13.0,13.0,13.0,15.0,,,
deepseek,01,44,HVAC,hvac_age,10.0,11.0,13.0,13.0,10.0,,,
deepseek,01,44,HVAC,occupancy_context,,,,,,False,True,False
deepseek,01,45,HVAC,r_value,24.0,19.0,21.5,15.0,22.0,,,
deepseek,01,45,HVAC,seer,17.0,14.0,13.0,13.0,16.0,,,
deepseek,01,45,HVAC,hvac_age,6.0,8.0,8.0,13.0,5.0,,,
deepseek,01,45,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,46,HVAC,r_value,21.0,19.0,21.5,15.0,22.0,,,
deepseek,01,46,HVAC,seer,15.0,13.0,13.0,13.0,14.0,,,
deepseek,01,46,HVAC,hvac_age,16.0,16.0,18.0,13.0,15.0,,,
deepseek,01,46,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,47,HVAC,r_value,15.0,13.0,15.5,15.0,16.0,,,
deepseek,01,47,HVAC,seer,13.0,10.0,10.0,13.0,13.0,,,
deepseek,01,47,HVAC,hvac_age,20.0,15.0,25.5,13.0,21.0,,,
deepseek,01,47,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,48,HVAC,r_value,24.0,19.0,21.5,15.0,22.0,,,
deepseek,01,48,HVAC,seer,22.0,16.0,14.0,13.0,16.0,,,
deepseek,01,48,HVAC,hvac_age,1.0,3.0,3.0,13.0,5.0,,,
deepseek,01,48,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,49,HVAC,r_value,22.0,19.0,21.5,15.0,22.0,,,
deepseek,01,49,HVAC,seer,20.0,16.0,14.0,13.0,16.0,,,
deepseek,01,49,HVAC,hvac_age,3.0,3.0,3.0,13.0,5.0,,,
deepseek,01,49,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,50,HVAC,r_value,11.0,11.0,10.0,15.0,9.0,,,
deepseek,01,50,HVAC,seer,13.0,10.0,10.0,13.0,13.0,,,
deepseek,01,50,HVAC,hvac_age,20.0,15.0,25.5,13.0,21.0,,,
deepseek,01,50,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,51,HVAC,r_value,10.0,11.0,10.0,15.0,9.0,,,
deepseek,01,51,HVAC,seer,9.0,10.0,9.0,13.0,13.0,,,
deepseek,01,51,HVAC,hvac_age,33.0,15.0,45.5,13.0,16.0,,,
deepseek,01,51,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,52,HVAC,r_value,17.0,13.0,15.5,15.0,16.0,,,
deepseek,01,52,HVAC,seer,14.0,13.0,13.0,13.0,15.0,,,
deepseek,01,52,HVAC,hvac_age,8.0,12.0,13.0,13.0,10.0,,,
deepseek,01,52,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,53,HVAC,r_value,16.0,13.0,15.5,15.0,16.0,,,
deepseek,01,53,HVAC,seer,16.0,10.0,13.0,13.0,14.0,,,
deepseek,01,53,HVAC,hvac_age,6.0,16.0,18.0,13.0,15.0,,,
deepseek,01,53,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,54,HVAC,r_value,15.0,13.0,15.5,15.0,16.0,,,
deepseek,01,54,HVAC,seer,15.0,10.0,10.0,13.0,13.0,,,
deepseek,01,54,HVAC,hvac_age,11.0,15.0,25.5,13.0,21.0,,,
deepseek,01,54,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,55,HVAC,r_value,23.0,19.0,21.5,15.0,22.0,,,
deepseek,01,55,HVAC,seer,18.0,13.0,13.0,13.0,15.0,,,
deepseek,01,55,HVAC,hvac_age,3.0,11.0,13.0,13.0,10.0,,,
deepseek,01,55,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,56,HVAC,r_value,22.0,18.0,21.5,15.0,22.0,,,
deepseek,01,56,HVAC,seer,17.0,13.0,13.0,13.0,14.0,,,
deepseek,01,56,HVAC,hvac_age,7.0,10.0,18.0,13.0,15.0,,,
deepseek,01,56,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,57,HVAC,r_value,24.0,18.0,21.5,15.0,22.0,,,
deepseek,01,57,HVAC,seer,19.0,14.0,13.0,13.0,16.0,,,
deepseek,01,57,HVAC,hvac_age,4.0,8.0,8.0,13.0,5.0,,,
deepseek,01,57,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,58,HVAC,r_value,8.0,8.0,10.0,15.0,9.0,,,
deepseek,01,58,HVAC,seer,11.0,10.0,9.0,13.0,12.0,,,
deepseek,01,58,HVAC,hvac_age,21.0,15.0,60.0,13.0,18.0,,,
deepseek,01,58,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,59,HVAC,r_value,13.0,11.0,15.5,15.0,16.0,,,
deepseek,01,59,HVAC,seer,13.0,10.0,9.0,13.0,13.0,,,
deepseek,01,59,HVAC,hvac_age,15.0,15.0,45.5,13.0,16.0,,,
deepseek,01,59,HVAC,occupancy_context,,,,,,False,True,False
deepseek,01,60,HVAC,r_value,20.0,18.0,21.5,15.0,22.0,,,
deepseek,01,60,HVAC,seer,16.0,13.0,13.0,13.0,15.0,,,
deepseek,01,60,HVAC,hvac_age,6.0,13.0,13.0,13.0,10.0,,,
deepseek,01,60,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,61,HVAC,r_value,20.0,19.0,21.5,15.0,22.0,,,
deepseek,01,61,HVAC,seer,14.0,10.0,10.0,13.0,13.0,,,
deepseek,01,61,HVAC,hvac_age,18.0,15.0,25.5,13.0,21.0,,,
deepseek,01,61,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,62,HVAC,r_value,15.0,13.0,15.5,15.0,16.0,,,
deepseek,01,62,HVAC,seer,12.0,10.0,10.0,13.0,13.0,,,
deepseek,01,62,HVAC,hvac_age,24.0,15.0,25.5,13.0,21.0,,,
deepseek,01,62,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,63,HVAC,r_value,10.0,8.0,10.0,15.0,9.0,,,
deepseek,01,63,HVAC,seer,11.0,10.0,9.0,13.0,13.0,,,
deepseek,01,63,HVAC,hvac_age,28.0,15.0,35.5,13.0,26.0,,,
deepseek,01,63,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,64,HVAC,r_value,14.0,13.0,15.5,15.0,16.0,,,
deepseek,01,64,HVAC,seer,13.0,13.0,13.0,13.0,14.0,,,
deepseek,01,64,HVAC,hvac_age,16.0,12.0,18.0,13.0,15.0,,,
deepseek,01,64,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,65,HVAC,r_value,22.0,19.0,21.5,15.0,22.0,,,
deepseek,01,65,HVAC,seer,15.0,13.0,13.0,13.0,14.0,,,
deepseek,01,65,HVAC,hvac_age,14.0,16.0,18.0,13.0,15.0,,,
deepseek,01,65,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,66,HVAC,r_value,9.0,11.0,10.0,15.0,9.0,,,
deepseek,01,66,HVAC,seer,10.0,10.0,9.0,13.0,13.0,,,
deepseek,01,66,HVAC,hvac_age,32.0,15.0,35.5,13.0,26.0,,,
deepseek,01,66,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,67,HVAC,r_value,14.0,13.0,15.5,15.0,16.0,,,
deepseek,01,67,HVAC,seer,13.0,10.0,10.0,13.0,13.0,,,
deepseek,01,67,HVAC,hvac_age,22.0,15.0,25.5,13.0,21.0,,,
deepseek,01,67,HVAC,occupancy_context,,,,,,True,True,False
deepseek,01,68,HVAC,r_value,9.0,11.0,10.0,15.0,9.0,,,
deepseek,01,68,HVAC,seer,11.0,10.0,10.0,13.0,13.0,,,
deepseek,01,68,HVAC,hvac_age,20.0,15.0,25.5,13.0,21.0,,,
deepseek,01,68,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,69,HVAC,r_value,22.0,19.0,21.5,15.0,22.0,,,
deepseek,01,69,HVAC,seer,14.0,13.0,13.0,13.0,15.0,,,
deepseek,01,69,HVAC,hvac_age,12.0,12.0,13.0,13.0,10.0,,,
deepseek,01,69,HVAC,occupancy_context,,,,,,True,True,True
deepseek,01,70,HVAC,r_value,16.0,13.0,15.5,15.0,16.0,,,
deepseek,01,70,HVAC,seer,13.0,13.0,10.0,13.0,13.0,,,
deepseek,01,70,HVAC,hvac_age,18.0,15.0,25.5,13.0,21.0,,,
deepseek,01,70,HVAC,occupancy_context,,,,,,False,False,False
deepseek,01,71,Appliance,kwh_per_cycle,0.45,0.45,0.55,0.55,0.435,,,
deepseek,01,71,Appliance,appliance,,,,,,True,True,True
deepseek,01,71,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,72,Appliance,kwh_per_cycle,3.2,4.5,2.1,2.1,3.3,,,
deepseek,01,72,Appliance,appliance,,,,,,True,True,True
deepseek,01,72,Appliance,baseline_time,,,,,,True,True,True
deepseek,01,73,Appliance,kwh_per_cycle,1.35,1.5,1.0,1.0,1.1,,,
deepseek,01,73,Appliance,appliance,,,,,,True,True,True
deepseek,01,73,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,74,Appliance,kwh_per_cycle,0.28,0.6,0.55,0.55,0.2,,,
deepseek,01,74,Appliance,appliance,,,,,,True,True,True
deepseek,01,74,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,75,Appliance,kwh_per_cycle,3.5,3.8,2.1,2.1,2.8,,,
deepseek,01,75,Appliance,appliance,,,,,,True,True,True
deepseek,01,75,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,76,Appliance,kwh_per_cycle,0.65,0.45,0.55,0.55,0.35,,,
deepseek,01,76,Appliance,appliance,,,,,,True,True,True
deepseek,01,76,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,77,Appliance,kwh_per_cycle,2.8,3.5,2.1,2.1,2.6,,,
deepseek,01,77,Appliance,appliance,,,,,,True,True,True
deepseek,01,77,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,78,Appliance,kwh_per_cycle,1.4,1.5,1.0,1.0,1.15,,,
deepseek,01,78,Appliance,appliance,,,,,,True,True,True
deepseek,01,78,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,79,Appliance,kwh_per_cycle,3.0,4.5,2.1,2.1,3.3,,,
deepseek,01,79,Appliance,appliance,,,,,,True,True,True
deepseek,01,79,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,80,Appliance,kwh_per_cycle,0.95,1.2,1.0,1.0,0.91,,,
deepseek,01,80,Appliance,appliance,,,,,,True,True,True
deepseek,01,80,Appliance,baseline_time,,,,,,True,True,True
deepseek,01,81,Appliance,kwh_per_cycle,0.95,1.2,1.0,1.0,1.1,,,
deepseek,01,81,Appliance,appliance,,,,,,True,True,True
deepseek,01,81,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,82,Appliance,kwh_per_cycle,0.38,0.5,0.55,0.55,0.365,,,
deepseek,01,82,Appliance,appliance,,,,,,True,True,True
deepseek,01,82,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,83,Appliance,kwh_per_cycle,3.5,3.5,2.1,2.1,2.5,,,
deepseek,01,83,Appliance,appliance,,,,,,True,True,True
deepseek,01,83,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,84,Appliance,kwh_per_cycle,3.2,3.5,2.1,2.1,3.3,,,
deepseek,01,84,Appliance,appliance,,,,,,True,True,True
deepseek,01,84,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,85,Appliance,kwh_per_cycle,0.95,1.5,1.0,1.0,1.15,,,
deepseek,01,85,Appliance,appliance,,,,,,True,True,True
deepseek,01,85,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,86,Appliance,kwh_per_cycle,0.22,0.45,0.55,0.55,0.365,,,
deepseek,01,86,Appliance,appliance,,,,,,True,True,True
deepseek,01,86,Appliance,baseline_time,,,,,,True,False,False
deepseek,01,87,Appliance,kwh_per_cycle,0.38,0.8,0.55,0.55,0.35,,,
deepseek,01,87,Appliance,appliance,,,,,,True,True,True
deepseek,01,87,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,88,Appliance,kwh_per_cycle,3.5,4.5,2.1,2.1,3.3,,,
deepseek,01,88,Appliance,appliance,,,,,,True,True,True
deepseek,01,88,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,89,Appliance,kwh_per_cycle,0.28,0.45,0.55,0.55,0.435,,,
deepseek,01,89,Appliance,appliance,,,,,,True,True,True
deepseek,01,89,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,90,Appliance,kwh_per_cycle,0.95,1.8,1.0,1.0,1.15,,,
deepseek,01,90,Appliance,appliance,,,,,,True,True,True
deepseek,01,90,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,91,Appliance,kwh_per_cycle,0.38,0.5,0.55,0.55,0.2,,,
deepseek,01,91,Appliance,appliance,,,,,,True,True,True
deepseek,01,91,Appliance,baseline_time,,,,,,True,True,True
deepseek,01,92,Appliance,kwh_per_cycle,3.5,3.5,2.1,2.1,2.5,,,
deepseek,01,92,Appliance,appliance,,,,,,True,True,True
deepseek,01,92,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,93,Appliance,kwh_per_cycle,3.5,4.5,2.1,2.1,2.8,,,
deepseek,01,93,Appliance,appliance,,,,,,True,True,True
deepseek,01,93,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,94,Appliance,kwh_per_cycle,0.95,1.5,1.0,1.0,1.1,,,
deepseek,01,94,Appliance,appliance,,,,,,True,True,True
deepseek,01,94,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,95,Appliance,kwh_per_cycle,1.2,3.5,2.1,2.1,3.3,,,
deepseek,01,95,Appliance,appliance,,,,,,True,True,True
deepseek,01,95,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,96,Appliance,kwh_per_cycle,0.38,0.8,0.55,0.55,0.435,,,
deepseek,01,96,Appliance,appliance,,,,,,True,True,True
deepseek,01,96,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,97,Appliance,kwh_per_cycle,3.5,4.5,2.1,2.1,3.3,,,
deepseek,01,97,Appliance,appliance,,,,,,True,True,True
deepseek,01,97,Appliance,baseline_time,,,,,,True,True,False
deepseek,01,98,Appliance,kwh_per_cycle,3.5,3.5,2.1,2.1,2.8,,,
deepseek,01,98,Appliance,appliance,,,,,,True,True,True
