scenario_id,question,location,household_size,gpm,flow_rate,tank_size,water_heater_temp,utility_budget,housing_type,outdoor_temp,alternative,duration_min,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh,raw_cost,raw_water_gallons
4,How long should I shower?,"Pittsburgh, PA",3,2.5,standard,50,120,245,Townhouse,62,8,8,7.67,8.15,9.48,4.64,7.745499999999999,3,2.443851890134979,0.464331859125646,20.0
5,How long should I shower?,"West Mifflin, PA",4,3.0,standard,60,125,295,Single-family,70,3,3,9.69,9.78,5.13,2.2,7.685999999999999,2,1.010866009101286,0.1920645417292444,9.0
5,How long should I shower?,"West Mifflin, PA",4,3.0,standard,60,125,295,Single-family,70,4,4,9.21,9.33,6.26,2.86,7.7095,1,1.347821345468382,0.2560860556389926,12.0
5,How long should I shower?,"West Mifflin, PA",4,3.0,standard,60,125,295,Single-family,70,6,6,8.27,8.44,8.22,1.51,7.305499999999999,3,2.021732018202572,0.3841290834584888,18.0
6,How long should I shower?,"Pittsburgh, PA",2,2.0,low_flow,40,120,185,Single-family,28,3,3,9.77,10.0,5.13,2.2,7.786999999999999,3,0.955323920689128,0.1815115449309343,6.0
6,How long should I shower?,"Pittsburgh, PA",2,2.0,low_flow,40,120,185,Single-family,28,5,5,8.87,9.63,6.7,3.48,7.8935,2,1.59220653448188,0.3025192415515572,10.0
6,How long should I shower?,"Pittsburgh, PA",2,2.0,low_flow,40,120,185,Single-family,28,8,8,7.53,8.74,8.69,7.6,8.196,1,2.547530455171008,0.4840307864824915,16.0
7,How long should I shower?,"Exton, PA",3,2.5,standard,50,120,260,Condo,62,3,3,9.82,10.0,5.13,2.2,7.802,2,0.916444458800617,0.1741244471721172,7.5
7,How long should I shower?,"Exton, PA",3,2.5,standard,50,120,260,Condo,62,5,5,8.96,9.26,7.08,3.48,7.867000000000001,1,1.527407431334362,0.2902074119535287,12.5
7,How long should I shower?,"Exton, PA",3,2.5,standard,50,120,260,Condo,62,8,8,7.67,8.15,9.48,4.64,7.745499999999999,3,2.443851890134979,0.464331859125646,20.0
8,How long should I shower?,"Pottstown, PA",2,2.0,low_flow,40,115,195,Condo,75,3,3,10.0,10.0,5.13,2.2,7.856,3,0.636882613792752,0.1210076966206229,6.0
8,How long should I shower?,"Pottstown, PA",2,2.0,low_flow,40,115,195,Condo,75,5,5,9.62,9.63,7.43,3.48,8.2645,2,1.06147102298792,0.2016794943677048,10.0
8,How long should I shower?,"Pottstown, PA",2,2.0,low_flow,40,115,195,Condo,75,8,8,8.72,8.74,9.96,7.6,8.807,1,1.698353636780672,0.3226871909883277,16.0
9,How long should I shower?,"Phoenixville, PA",4,2.5,standard,60,120,310,Condo,55,3,3,9.73,10.0,5.13,2.2,7.775,2,0.9812435619481353,0.1864362767701457,7.5
9,How long should I shower?,"Phoenixville, PA",4,2.5,standard,60,120,310,Condo,55,5,5,8.81,9.26,6.94,3.48,7.794,1,1.635405936580226,0.3107271279502429,12.5
9,How long should I shower?,"Phoenixville, PA",4,2.5,standard,60,120,310,Condo,55,7,7,7.89,8.52,8.49,3.07,7.5075,3,2.289568311212316,0.43501797913034,17.5
10,How long should I shower?,"Bethlehem, PA",2,2.0,low_flow,40,115,200,Rowhouse,62,3,3,10.0,10.0,5.13,2.2,7.856,3,0.7331555670404936,0.1392995577376938,6.0
10,How long should I shower?,"Bethlehem, PA",2,2.0,low_flow,40,115,200,Rowhouse,62,5,5,9.39,9.63,7.08,3.48,8.1255,2,1.221925945067489,0.232165929562823,10.0
10,How long should I shower?,"Bethlehem, PA",2,2.0,low_flow,40,115,200,Rowhouse,62,8,8,8.36,8.74,9.48,7.6,8.603,1,1.955081512107983,0.3714654873005167,16.0
11,How long should I shower?,"Hazleton, PA",3,2.5,standard,50,120,250,Rowhouse,48,3,3,9.64,10.0,5.13,2.2,7.747999999999999,1,1.046042665095654,0.1987481063681742,7.5
11,How long should I shower?,"Hazleton, PA",3,2.5,standard,50,120,250,Rowhouse,48,5,5,8.66,9.26,6.81,3.48,7.723,2,1.743404441826089,0.331246843946957,12.5
11,How long should I shower?,"Hazleton, PA",3,2.5,standard,50,120,250,Rowhouse,48,8,8,7.19,8.15,8.93,4.64,7.4915,3,2.789447106921743,0.5299949503151312,20.0
12,How long should I shower?,"Wilkes-Barre, PA",4,2.0,low_flow,60,120,280,Rowhouse,70,3,3,10.0,10.0,5.13,2.2,7.856,3,0.6739106727341909,0.1280430278194963,6.0
12,How long should I shower?,"Wilkes-Barre, PA",4,2.0,low_flow,60,120,280,Rowhouse,70,5,5,9.53,9.63,7.28,3.48,8.2075,2,1.123184454556985,0.2134050463658271,10.0
12,How long should I shower?,"Wilkes-Barre, PA",4,2.0,low_flow,60,120,280,Rowhouse,70,7,7,8.9,9.04,9.08,6.37,8.6055,1,1.572458236379779,0.298767064912158,14.0
13,How long should I shower?,"Meadville, PA",1,1.5,low_flow,30,105,140,Apartment,38,4,4,9.83,10.0,3.85,2.86,7.648,3,0.9108902499594012,0.1730691474922862,6.0
13,How long should I shower?,"Meadville, PA",1,1.5,low_flow,30,105,140,Apartment,38,6,6,9.19,9.78,5.6,5.01,8.051499999999999,2,1.366335374939102,0.2596037212384293,9.0
13,How long should I shower?,"Meadville, PA",1,1.5,low_flow,30,105,140,Apartment,38,10,10,7.91,8.89,8.43,8.45,8.437999999999999,1,2.277225624898503,0.4326728687307156,15.0
14,How long should I shower?,"Uniontown, PA",2,2.0,low_flow,40,115,160,Apartment,52,3,3,9.98,10.0,5.13,2.2,7.85,3,0.8072116849233715,0.1533702201354406,6.0
14,How long should I shower?,"Uniontown, PA",2,2.0,low_flow,40,115,160,Apartment,52,5,5,9.22,9.63,6.88,3.48,8.0345,2,1.345352808205619,0.2556170335590677,10.0
14,How long should I shower?,"Uniontown, PA",2,2.0,low_flow,40,115,160,Apartment,52,8,8,8.08,8.74,9.07,7.6,8.437,1,2.152564493128991,0.4089872536945083,16.0
15,How long should I shower?,"Williamsport, PA",3,2.5,standard,50,120,255,Single-family,48,3,3,9.64,10.0,5.13,2.2,7.747999999999999,1,1.046042665095654,0.1987481063681742,7.5
15,How long should I shower?,"Williamsport, PA",3,2.5,standard,50,120,255,Single-family,48,5,5,8.66,9.26,6.81,3.48,7.723,2,1.743404441826089,0.331246843946957,12.5
15,How long should I shower?,"Williamsport, PA",3,2.5,standard,50,120,255,Single-family,48,8,8,7.19,8.15,8.93,4.64,7.4915,3,2.789447106921743,0.5299949503151312,20.0
16,How long should I shower?,"Williamsport, PA",2,2.0,low_flow,40,120,195,Apartment,35,3,3,9.8,10.0,5.13,2.2,7.795999999999999,3,0.9331070853242645,0.1772903462116102,6.0
16,How long should I shower?,"Williamsport, PA",2,2.0,low_flow,40,120,195,Apartment,35,5,5,8.92,9.63,6.7,3.48,7.9085,2,1.555178475540441,0.2954839103526837,10.0
16,How long should I shower?,"Williamsport, PA",2,2.0,low_flow,40,120,195,Apartment,35,8,8,7.61,8.74,8.69,7.6,8.22,1,2.488285560864705,0.472774256564294,16.0
17,How long should I shower?,"West Mifflin, PA",3,2.5,standard,50,120,250,Townhouse,60,3,3,9.8,10.0,5.13,2.2,7.795999999999999,2,0.9349584882713364,0.1776421127715539,7.5
17,How long should I shower?,"West Mifflin, PA",3,2.5,standard,50,120,250,Townhouse,60,5,5,8.92,9.26,7.04,3.48,7.847,1,1.558264147118894,0.2960701879525898,12.5
17,How long should I shower?,"West Mifflin, PA",3,2.5,standard,50,120,250,Townhouse,60,8,8,7.6,8.15,9.39,4.64,7.7065,3,2.49322263539023,0.4737123007241438,20.0
18,"With a high-flow showerhead and small tank on a cold morning, how long should I shower?","Altoona, PA",4,3.5,high_flow,40,120,240,Rowhouse,18,4,4,7.97,9.04,5.94,1.51,6.9695,1,2.229089148274632,0.4235269381721801,14.0
18,"With a high-flow showerhead and small tank on a cold morning, how long should I shower?","Altoona, PA",4,3.5,high_flow,40,120,240,Rowhouse,18,6,6,6.41,8.0,7.4,1.51,6.4295,2,3.343633722411948,0.6352904072582701,21.0
18,"With a high-flow showerhead and small tank on a cold morning, how long should I shower?","Altoona, PA",4,3.5,high_flow,40,120,240,Rowhouse,18,8,8,4.84,6.96,8.62,4.64,6.308,3,4.458178296549264,0.8470538763443601,28.0
19,"On a hot day with a low-flow showerhead, what shower duration makes sense?","Chester, PA",1,1.5,low_flow,30,115,150,Condo,90,4,4,10.0,10.0,6.34,2.86,8.197,3,0.6368826137927521,0.1210076966206229,6.0
19,"On a hot day with a low-flow showerhead, what shower duration makes sense?","Chester, PA",1,1.5,low_flow,30,115,150,Condo,90,7,7,9.54,9.56,9.32,6.37,9.027500000000002,1,1.114544574137316,0.2117634690860901,10.5
19,"On a hot day with a low-flow showerhead, what shower duration makes sense?","Chester, PA",1,1.5,low_flow,30,115,150,Condo,90,10,10,8.87,8.89,9.59,8.45,8.957999999999998,2,1.59220653448188,0.3025192415515572,15.0
20,"With six people sharing a tank tonight, how long should showers be?","Johnstown, PA",6,2.5,standard,50,120,340,Single-family,40,5,5,8.48,9.26,6.7,1.51,7.3515,1,1.86683130496422,0.3546979479432018,12.5
20,"With six people sharing a tank tonight, how long should showers be?","Johnstown, PA",6,2.5,standard,50,120,340,Single-family,40,8,8,6.91,8.15,8.62,4.64,7.345499999999999,2,2.986930087942751,0.5675167167091227,20.0
20,"With six people sharing a tank tonight, how long should showers be?","Johnstown, PA",6,2.5,standard,50,120,340,Single-family,40,12,12,4.81,6.67,7.97,6.69,6.375,3,4.480395131914127,0.8512750750636842,30.0
