scenario_id,description,location,utility_budget,appliance,appliance_age_type,housing_type,occupants,kwh_per_cycle,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_cost,raw_emissions
5,It's past 1 in the morning and I need to run the washing machine. When should I start it?,"Monroeville, PA",210.0,washing_machine,10,Apartment,5,0.65,9:00 AM,9.76,8.73,5.23,4.64,7.725499999999999,2,0.0436,0.677
5,It's past 1 in the morning and I need to run the washing machine. When should I start it?,"Monroeville, PA",210.0,washing_machine,10,Apartment,5,0.65,2:00 PM,9.18,8.73,3.94,2.03,6.902,3,0.1073,0.677
6,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Indiana, PA",180.0,dryer,7,Townhouse,4,2.8,3:00 PM,5.97,2.14,10.0,10.0,6.04,1,0.462,2.915
6,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Indiana, PA",180.0,dryer,7,Townhouse,4,2.8,8:00 PM,5.97,2.14,7.29,6.04,4.904,2,0.462,2.915
6,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Indiana, PA",180.0,dryer,7,Townhouse,4,2.8,11:00 PM,8.45,2.68,3.36,3.11,4.6114999999999995,3,0.1876,2.733
7,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dishwasher. When should I run it?","York, PA",200.0,dishwasher,7,Townhouse,4,1.4,2:00 PM,7.36,6.43,10.0,10.0,7.9585,1,0.308,1.457
7,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dishwasher. When should I run it?","York, PA",200.0,dishwasher,7,Townhouse,4,1.4,3:00 PM,7.36,6.43,9.51,9.2,7.7405,2,0.308,1.457
7,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dishwasher. When should I run it?","York, PA",200.0,dishwasher,7,Townhouse,4,1.4,11:00 PM,9.14,6.7,5.73,2.89,6.666499999999999,3,0.112,1.366
8,"It's mid-afternoon, about 2 and I need to run the dryer. When should I start it?","Philadelphia, PA",175.0,dryer,10,Townhouse,3,3.0,2:00 PM,1.45,1.53,10.0,10.0,4.4704999999999995,2,0.96,3.123
8,"It's mid-afternoon, about 2 and I need to run the dryer. When should I start it?","Philadelphia, PA",175.0,dryer,10,Townhouse,3,3.0,11:00 PM,8.09,2.11,2.86,2.63,4.132,3,0.228,2.928
8,"It's mid-afternoon, about 2 and I need to run the dryer. When should I start it?","Philadelphia, PA",175.0,dryer,10,Townhouse,3,3.0,7:00 PM,8.09,1.53,7.29,6.04,5.3265,1,0.228,3.123
9,It's around 7 in the evening � when should I run the dishwasher?,"Philadelphia, PA",150.0,dishwasher,2,Single-family,3,0.95,7:00 PM,9.5,7.81,10.0,10.0,9.0835,1,0.0722,0.989
9,It's around 7 in the evening � when should I run the dishwasher?,"Philadelphia, PA",150.0,dishwasher,2,Single-family,3,0.95,5:00 PM,7.4,7.81,8.99,8.34,8.0025,2,0.304,0.989
9,It's around 7 in the evening � when should I run the dishwasher?,"Philadelphia, PA",150.0,dishwasher,2,Single-family,3,0.95,4:00 PM,7.4,7.81,8.46,7.65,7.793,3,0.304,0.989
10,It's around 8 at night and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",120.0,dishwasher,6,Single-family,4,0.95,8:00 PM,8.97,7.81,10.0,10.0,8.9245,1,0.1306,0.989
10,It's around 8 at night and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",120.0,dishwasher,6,Single-family,4,0.95,5:00 PM,8.97,7.81,8.46,7.65,8.264,2,0.1306,0.989
10,It's around 8 at night and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",120.0,dishwasher,6,Single-family,4,0.95,1:00 AM,8.97,7.99,7.56,4.27,7.6400000000000015,3,0.1306,0.927
11,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the washing machine. When should I run it?","Norristown, PA",120.0,washing_machine,4,Apartment,3,0.38,2:00 PM,9.05,9.55,10.0,10.0,9.557500000000001,1,0.1216,0.396
11,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the washing machine. When should I run it?","Norristown, PA",120.0,washing_machine,4,Apartment,3,0.38,10:00 PM,9.89,9.55,2.61,3.11,7.298,2,0.0289,0.396
11,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the washing machine. When should I run it?","Norristown, PA",120.0,washing_machine,4,Apartment,3,0.38,1:00 AM,9.89,9.63,0.94,1.51,6.752,3,0.0289,0.371
12,It's just gone 1 AM and I need to run the dryer. When should I start it?,"West Chester, PA",120.0,dryer,6,Townhouse,4,3.5,1:00 AM,7.74,0.67,8.3,8.45,5.484,1,0.266,3.416
12,It's just gone 1 AM and I need to run the dryer. When should I start it?,"West Chester, PA",120.0,dryer,6,Townhouse,4,3.5,3:00 PM,0.0,0.0,5.13,3.42,1.5390000000000001,3,1.12,3.643
12,It's just gone 1 AM and I need to run the dryer. When should I start it?,"West Chester, PA",120.0,dryer,6,Townhouse,4,3.5,11:00 PM,7.74,0.67,7.0,7.37,5.062,2,0.266,3.416
13,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Philadelphia, PA",120.0,dryer,12,Apartment,3,3.2,3:00 PM,0.87,0.92,10.0,10.0,4.083,2,1.024,3.331
13,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Philadelphia, PA",120.0,dryer,12,Apartment,3,3.2,10:00 PM,7.95,0.92,3.11,3.72,3.8869999999999996,3,0.2432,3.331
13,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Philadelphia, PA",120.0,dryer,12,Apartment,3,3.2,8:00 AM,7.95,0.92,6.29,4.86,4.694,1,0.2432,3.331
14,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"DuBois, PA",150.0,dishwasher,8,Townhouse,5,0.95,5:00 PM,8.56,7.81,10.0,10.0,8.8015,1,0.1757,0.989
14,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"DuBois, PA",150.0,dishwasher,8,Townhouse,5,0.95,2:00 PM,8.56,7.81,8.32,7.49,8.089,2,0.1757,0.989
14,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"DuBois, PA",150.0,dishwasher,8,Townhouse,5,0.95,10:00 PM,9.53,7.81,7.32,5.05,7.814,3,0.0684,0.989
15,It's getting close to midnight � when should I run the washing machine?,"Pittsburgh, PA",175.0,washing_machine,6,Single-family,5,0.22,11:00 PM,9.88,10.0,8.9,9.25,9.631499999999999,1,0.0303,0.215
15,It's getting close to midnight � when should I run the washing machine?,"Pittsburgh, PA",175.0,washing_machine,6,Single-family,5,0.22,3:00 PM,9.88,10.0,5.23,4.64,8.206000000000001,3,0.0303,0.229
15,It's getting close to midnight � when should I run the washing machine?,"Pittsburgh, PA",175.0,washing_machine,6,Single-family,5,0.22,5:00 PM,9.88,10.0,6.45,5.05,8.5115,2,0.0303,0.229
16,It's just past 5 PM � when should I run the washer?,"Erie, PA",120.0,washer,10,Apartment,3,0.38,5:00 PM,9.52,9.55,10.0,10.0,9.6985,1,0.0703,0.396
16,It's just past 5 PM � when should I run the washer?,"Erie, PA",120.0,washer,10,Apartment,3,0.38,2:00 PM,9.52,9.55,8.38,7.56,9.0085,2,0.0703,0.396
16,It's just past 5 PM � when should I run the washer?,"Erie, PA",120.0,washer,10,Apartment,3,0.38,9:00 PM,9.91,9.55,7.91,6.78,8.9145,3,0.0274,0.396
17,"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Altoona, PA",120.0,dryer,12,Single-family,3,3.5,4:00 PM,4.28,0.0,10.0,10.0,4.784,1,0.6475,3.643
17,"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Altoona, PA",120.0,dryer,12,Single-family,3,3.5,1:00 AM,7.87,0.67,3.83,1.51,3.588,3,0.252,3.416
17,"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Altoona, PA",120.0,dryer,12,Single-family,3,3.5,10:00 PM,7.87,0.0,5.23,4.31,4.0535,2,0.252,3.643
18,"It's late afternoon, around 4 and I'm trying to figure out when to start the washing machine. When should I run it?","Erie, PA",175.0,washing_machine,7,Apartment,4,0.28,4:00 PM,9.68,9.86,10.0,10.0,9.855,1,0.0518,0.291
18,"It's late afternoon, around 4 and I'm trying to figure out when to start the washing machine. When should I run it?","Erie, PA",175.0,washing_machine,7,Apartment,4,0.28,12:00 PM,9.97,9.86,7.91,6.78,9.041,2,0.0202,0.291
18,"It's late afternoon, around 4 and I'm trying to figure out when to start the washing machine. When should I run it?","Erie, PA",175.0,washing_machine,7,Apartment,4,0.28,9:00 PM,9.97,9.86,7.43,6.21,8.8595,3,0.0202,0.291
19,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"York, PA",120.0,dishwasher,15,Townhouse,2,0.95,5:00 PM,8.26,7.81,10.0,10.0,8.7115,1,0.209,0.989
19,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"York, PA",120.0,dishwasher,15,Townhouse,2,0.95,1:00 AM,9.47,7.99,6.65,2.86,7.3965000000000005,3,0.076,0.927
19,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"York, PA",120.0,dishwasher,15,Townhouse,2,0.95,7:00 PM,8.26,7.81,9.09,8.45,8.296999999999999,2,0.209,0.989
20,It's around 7 in the evening and I need to run the washing machine. When should I start it?,"Carlisle, PA",175.0,washing_machine,2,Single-family,3,0.38,7:00 PM,9.4,9.55,10.0,10.0,9.6625,1,0.0836,0.396
20,It's around 7 in the evening and I need to run the washing machine. When should I start it?,"Carlisle, PA",175.0,washing_machine,2,Single-family,3,0.38,2:00 PM,9.4,9.55,7.43,6.21,8.58,2,0.0836,0.396
20,It's around 7 in the evening and I need to run the washing machine. When should I start it?,"Carlisle, PA",175.0,washing_machine,2,Single-family,3,0.38,1:00 AM,9.88,9.63,5.43,3.36,7.9245,3,0.0304,0.371
21,It's around 5 in the evening and I need to run the dryer. When should I start it?,"Easton, PA",175.0,dryer,4,Townhouse,5,3.5,5:00 PM,3.17,0.0,10.0,10.0,4.4510000000000005,1,0.77,3.643
21,It's around 5 in the evening and I need to run the dryer. When should I start it?,"Easton, PA",175.0,dryer,4,Townhouse,5,3.5,10:00 PM,7.62,0.0,4.44,4.36,3.8280000000000003,2,0.28,3.643
21,It's around 5 in the evening and I need to run the dryer. When should I start it?,"Easton, PA",175.0,dryer,4,Townhouse,5,3.5,1:00 AM,7.62,0.67,2.48,1.51,3.2430000000000003,3,0.28,3.416
22,"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Philadelphia, PA",175.0,dryer,15,Apartment,4,3.5,4:00 PM,0.0,0.0,10.0,10.0,3.5,3,1.12,3.643
22,"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Philadelphia, PA",175.0,dryer,15,Apartment,4,3.5,11:00 PM,7.74,0.67,3.11,3.72,3.7365000000000004,2,0.266,3.416
22,"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Philadelphia, PA",175.0,dryer,15,Apartment,4,3.5,9:00 AM,7.74,0.0,6.29,4.86,4.309,1,0.266,3.643
23,It's around 2 in the afternoon and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",200.0,dishwasher,6,Apartment,4,0.95,2:00 PM,8.97,7.81,10.0,10.0,8.9245,1,0.1306,0.989
23,It's around 2 in the afternoon and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",200.0,dishwasher,6,Apartment,4,0.95,12:00 AM,8.97,7.99,5.26,1.51,6.766,3,0.1306,0.927
23,It's around 2 in the afternoon and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",200.0,dishwasher,6,Apartment,4,0.95,11:00 PM,8.97,7.99,5.73,2.89,7.067,2,0.1306,0.927
24,It's past 1 in the morning � when should I run the dryer?,"Pittsburgh, PA",175.0,dryer,12,Townhouse,4,1.2,1:00 AM,8.66,7.27,8.3,8.45,8.07,1,0.165,1.171
24,It's past 1 in the morning � when should I run the dryer?,"Pittsburgh, PA",175.0,dryer,12,Townhouse,4,1.2,2:00 PM,8.66,7.04,4.71,2.95,6.4464999999999995,3,0.165,1.249
24,It's past 1 in the morning � when should I run the dryer?,"Pittsburgh, PA",175.0,dryer,12,Townhouse,4,1.2,8:00 PM,8.66,7.04,7.29,6.04,7.425999999999999,2,0.165,1.249
25,It's just past 8 PM and I need to run the washer. When should I start it?,"McKeesport, PA",200.0,washer,8,Townhouse,3,0.38,8:00 PM,9.68,9.55,10.0,10.0,9.746500000000001,1,0.0523,0.396
25,It's just past 8 PM and I need to run the washer. When should I start it?,"McKeesport, PA",200.0,washer,8,Townhouse,3,0.38,10:00 AM,9.68,9.55,5.13,3.42,7.7855,3,0.0523,0.396
25,It's just past 8 PM and I need to run the washer. When should I start it?,"McKeesport, PA",200.0,washer,8,Townhouse,3,0.38,4:00 PM,9.68,9.55,7.91,6.78,8.8455,2,0.0523,0.396
26,It's just gone 1 AM and I need to run the dryer. When should I start it?,"Pottstown, PA",200.0,dryer,10,Townhouse,3,3.5,1:00 AM,7.74,0.67,8.3,8.45,5.484,1,0.266,3.416
26,It's just gone 1 AM and I need to run the dryer. When should I start it?,"Pottstown, PA",200.0,dryer,10,Townhouse,3,3.5,9:00 PM,7.74,0.0,7.81,6.66,4.883,2,0.266,3.643
26,It's just gone 1 AM and I need to run the dryer. When should I start it?,"Pottstown, PA",200.0,dryer,10,Townhouse,3,3.5,4:00 PM,0.0,0.0,5.53,3.87,1.6865,3,1.12,3.643
27,It's right at midnight and I need to run the dryer. When should I start it?,"Erie, PA",150.0,dryer,3,Apartment,4,3.5,12:00 AM,7.87,0.67,7.83,8.45,5.429,1,0.252,3.416
27,It's right at midnight and I need to run the dryer. When should I start it?,"Erie, PA",150.0,dryer,3,Apartment,4,3.5,7:00 PM,4.28,0.0,7.29,6.04,3.6479999999999997,2,0.6475,3.643
27,It's right at midnight and I need to run the dryer. When should I start it?,"Erie, PA",150.0,dryer,3,Apartment,4,3.5,3:00 PM,4.28,0.0,5.53,3.87,2.9705000000000004,3,0.6475,3.643
28,It's just past midnight � when should I run the dishwasher?,"Chester, PA",200.0,dishwasher,12,Townhouse,2,0.95,12:00 AM,9.5,7.99,10.0,8.45,8.914,1,0.0722,0.927
28,It's just past midnight � when should I run the dishwasher?,"Chester, PA",200.0,dishwasher,12,Townhouse,2,0.95,10:00 PM,9.5,7.81,9.09,7.6,8.541500000000001,2,0.0722,0.989
28,It's just past midnight � when should I run the dishwasher?,"Chester, PA",200.0,dishwasher,12,Townhouse,2,0.95,4:00 PM,7.4,7.81,6.65,5.19,7.062,3,0.304,0.989
29,"It's late afternoon, around 4 and I need to run the washing machine. When should I start it?","Oil City, PA",175.0,washing_machine,15,Single-family,2,0.38,4:00 PM,9.52,9.55,10.0,10.0,9.6985,1,0.0703,0.396
29,"It's late afternoon, around 4 and I need to run the washing machine. When should I start it?","Oil City, PA",175.0,washing_machine,15,Single-family,2,0.38,10:00 PM,9.91,9.55,6.01,5.19,8.296,2,0.0274,0.396
29,"It's late afternoon, around 4 and I need to run the washing machine. When should I start it?","Oil City, PA",175.0,washing_machine,15,Single-family,2,0.38,6:00 AM,9.91,9.63,4.28,4.36,7.8535,3,0.0274,0.371
30,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Gettysburg, PA",200.0,dryer,2,Townhouse,2,3.5,3:00 PM,3.17,0.0,10.0,10.0,4.4510000000000005,1,0.77,3.643
30,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Gettysburg, PA",200.0,dryer,2,Townhouse,2,3.5,11:00 PM,7.62,0.67,4.28,4.08,3.9885,2,0.28,3.416
30,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Gettysburg, PA",200.0,dryer,2,Townhouse,2,3.5,1:00 AM,7.62,0.67,3.36,1.86,3.4715000000000003,3,0.28,3.416
31,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dryer. When should I run it?","York, PA",150.0,dryer,5,Apartment,2,2.5,2:00 PM,5.17,3.06,10.0,10.0,6.122,1,0.55,2.603
31,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dryer. When should I run it?","York, PA",150.0,dryer,5,Apartment,2,2.5,2:00 AM,8.34,3.54,1.53,1.51,4.273499999999999,3,0.2,2.44
31,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dryer. When should I run it?","York, PA",150.0,dryer,5,Apartment,2,2.5,9:00 PM,8.34,3.06,7.0,5.71,5.8294999999999995,2,0.2,2.603
32,It's just past 7 PM and I need to run the dishwasher. When should I start it?,"York, PA",195.0,dishwasher,6,Townhouse,3,1.15,7:00 PM,7.86,7.2,10.0,10.0,8.378,1,0.253,1.197
32,It's just past 7 PM and I need to run the dishwasher. When should I start it?,"York, PA",195.0,dishwasher,6,Townhouse,3,1.15,10:00 PM,9.32,7.2,8.46,6.74,8.019,2,0.092,1.197
32,It's just past 7 PM and I need to run the dishwasher. When should I start it?,"York, PA",195.0,dishwasher,6,Townhouse,3,1.15,1:00 AM,9.32,7.42,7.09,3.6,7.351,3,0.092,1.122
33,It's around 8 at night � when should I run the dishwasher?,"Media, PA",265.0,dishwasher,4,Single-family,4,0.95,8:00 PM,9.5,7.81,10.0,10.0,9.0835,1,0.0722,0.989
33,It's around 8 at night � when should I run the dishwasher?,"Media, PA",265.0,dishwasher,4,Single-family,4,0.95,11:00 PM,9.5,7.99,8.46,6.74,8.349499999999999,2,0.0722,0.927
33,It's around 8 at night � when should I run the dishwasher?,"Media, PA",265.0,dishwasher,4,Single-family,4,0.95,2:00 AM,9.5,7.99,7.09,3.6,7.6045,3,0.0722,0.927
34,It's about 7 in the morning and I need to run the dishwasher. When should I start it?,"McKeesport, PA",340.0,dishwasher,10,Apartment,2,1.55,7:00 PM,8.22,5.97,5.13,4.64,6.2775,3,0.2131,1.614
34,It's about 7 in the morning and I need to run the dishwasher. When should I start it?,"McKeesport, PA",340.0,dishwasher,10,Apartment,2,1.55,10:00 PM,8.22,5.97,6.29,3.63,6.3580000000000005,2,0.2131,1.614
34,It's about 7 in the morning and I need to run the dishwasher. When should I start it?,"McKeesport, PA",340.0,dishwasher,10,Apartment,2,1.55,12:00 AM,8.22,6.27,7.0,3.48,6.5825000000000005,1,0.2131,1.513
35,It's just after 8 AM and I need to run the washer. When should I start it?,"Altoona, PA",210.0,washer,2,Apartment,2,0.22,7:00 AM,10.0,10.0,9.55,9.25,9.7975,1,0.0158,0.229
35,It's just after 8 AM and I need to run the washer. When should I start it?,"Altoona, PA",210.0,washer,2,Apartment,2,0.22,10:00 AM,10.0,10.0,9.09,8.45,9.5855,2,0.0158,0.229
35,It's just after 8 AM and I need to run the washer. When should I start it?,"Altoona, PA",210.0,washer,2,Apartment,2,0.22,1:00 PM,10.0,10.0,7.83,6.69,9.069500000000001,3,0.0158,0.229
36,It's just past 5 PM and I need to run the dryer. When should I start it?,"Chester, PA",295.0,dryer,8,Townhouse,4,2.9,5:00 PM,1.74,1.84,10.0,10.0,4.666,1,0.928,3.019
36,It's just past 5 PM and I need to run the dryer. When should I start it?,"Chester, PA",295.0,dryer,8,Townhouse,4,2.9,2:00 PM,1.74,1.84,8.3,7.47,3.9465,3,0.928,3.019
36,It's just past 5 PM and I need to run the dryer. When should I start it?,"Chester, PA",295.0,dryer,8,Townhouse,4,2.9,12:00 AM,8.16,2.39,3.83,2.47,4.420999999999999,2,0.2204,2.83
37,It's around 8 in the morning and I need to run the washer. When should I start it?,"Easton, PA",175.0,washer,10,Single-family,3,0.45,7:00 AM,9.83,9.34,9.49,9.17,9.4915,1,0.036,0.468
37,It's around 8 in the morning and I need to run the washer. When should I start it?,"Easton, PA",175.0,washer,10,Single-family,3,0.45,10:00 AM,9.83,9.34,8.95,8.29,9.251499999999998,2,0.036,0.468
37,It's around 8 in the morning and I need to run the washer. When should I start it?,"Easton, PA",175.0,washer,10,Single-family,3,0.45,2:00 PM,9.26,9.34,6.92,5.61,8.2725,3,0.099,0.468
38,It's about 9 in the morning and I need to run the washer. When should I start it?,"Doylestown, PA",385.0,washer,6,Single-family,5,0.38,8:00 AM,9.89,9.55,9.43,9.1,9.5605,1,0.0289,0.396
38,It's about 9 in the morning and I need to run the washer. When should I start it?,"Doylestown, PA",385.0,washer,6,Single-family,5,0.38,12:00 PM,9.89,9.55,8.18,7.32,9.0435,2,0.0289,0.396
38,It's about 9 in the morning and I need to run the washer. When should I start it?,"Doylestown, PA",385.0,washer,6,Single-family,5,0.38,4:00 PM,9.05,9.55,5.81,4.64,7.915500000000001,3,0.1216,0.396
39,"It's mid-morning, about 10 and I need to run the dryer. When should I start it?","Johnstown, PA",260.0,dryer,6,Townhouse,3,2.8,9:00 AM,8.33,2.14,9.46,9.15,6.512500000000001,1,0.2016,2.915
39,"It's mid-morning, about 10 and I need to run the dryer. When should I start it?","Johnstown, PA",260.0,dryer,6,Townhouse,3,2.8,12:00 PM,8.33,2.14,8.9,8.23,6.2625,2,0.2016,2.915
39,"It's mid-morning, about 10 and I need to run the dryer. When should I start it?","Johnstown, PA",260.0,dryer,6,Townhouse,3,2.8,4:00 PM,5.46,2.14,6.74,5.4,4.545,3,0.518,2.915
40,It's just past 9 AM � when should I run the dryer?,"Meadville, PA",320.0,dryer,8,Single-family,4,3.5,9:00 AM,7.87,0.0,10.0,10.0,5.861,1,0.252,3.643
40,It's just past 9 AM � when should I run the dryer?,"Meadville, PA",320.0,dryer,8,Single-family,4,3.5,1:00 PM,7.87,0.0,7.81,6.66,4.922,2,0.252,3.643
40,It's just past 9 AM � when should I run the dryer?,"Meadville, PA",320.0,dryer,8,Single-family,4,3.5,5:00 PM,4.28,0.0,5.92,4.31,3.1145,3,0.6475,3.643
41,It's about 9 in the morning and I need to run the dryer. When should I start it?,"Scranton, PA",195.0,dryer,10,Apartment,2,3.5,9:00 AM,6.98,0.0,10.0,10.0,5.593999999999999,1,0.35,3.643
41,It's about 9 in the morning and I need to run the dryer. When should I start it?,"Scranton, PA",195.0,dryer,10,Apartment,2,3.5,12:00 PM,6.98,0.0,8.6,7.82,4.987,2,0.35,3.643
41,It's about 9 in the morning and I need to run the dryer. When should I start it?,"Scranton, PA",195.0,dryer,10,Apartment,2,3.5,3:00 PM,5.71,0.0,7.43,6.21,4.1305,3,0.49,3.643
42,It's around 10 in the morning and I need to run the dishwasher. When should I start it?,"Philadelphia, PA",175.0,dishwasher,5,Townhouse,3,1.25,10:00 AM,9.29,6.89,10.0,10.0,8.6985,1,0.095,1.301
42,It's around 10 in the morning and I need to run the dishwasher. When should I start it?,"Philadelphia, PA",175.0,dishwasher,5,Townhouse,3,1.25,3:00 PM,6.53,6.89,7.56,6.37,6.838,2,0.4,1.301
42,It's around 10 in the morning and I need to run the dishwasher. When should I start it?,"Philadelphia, PA",175.0,dishwasher,5,Townhouse,3,1.25,11:00 PM,9.29,7.13,4.78,1.71,6.494999999999999,3,0.095,1.22
43,It's just past 9 AM and I need to run the washing machine. When should I start it?,"Lancaster, PA",150.0,washing_machine,6,Single-family,4,0.35,9:00 AM,9.84,9.65,10.0,10.0,9.8295,1,0.035,0.364
43,It's just past 9 AM and I need to run the washing machine. When should I start it?,"Lancaster, PA",150.0,washing_machine,6,Single-family,4,0.35,3:00 PM,9.71,9.65,6.92,5.61,8.516,2,0.049,0.364
43,It's just past 9 AM and I need to run the washing machine. When should I start it?,"Lancaster, PA",150.0,washing_machine,6,Single-family,4,0.35,12:00 AM,9.84,9.71,3.83,1.51,7.343,3,0.035,0.342
44,It's just after 8 AM and I need to run the dryer. When should I start it?,"Allentown, PA",200.0,dryer,4,Single-family,3,2.5,8:00 AM,7.89,3.06,10.0,10.0,6.938,1,0.25,2.603
44,It's just after 8 AM and I need to run the dryer. When should I start it?,"Allentown, PA",200.0,dryer,4,Single-family,3,2.5,6:00 PM,7.89,3.06,5.13,3.42,4.976999999999999,2,0.25,2.603
44,It's just after 8 AM and I need to run the dryer. When should I start it?,"Allentown, PA",200.0,dryer,4,Single-family,3,2.5,12:00 AM,7.89,3.54,4.28,1.79,4.7305,3,0.25,2.44
45,"It's late morning, around 11 and I need to run the dishwasher. When should I start it?","Norristown, PA",175.0,dishwasher,3,Apartment,2,1.1,11:00 AM,9.4,7.35,10.0,10.0,8.8925,1,0.0836,1.145
45,"It's late morning, around 11 and I need to run the dishwasher. When should I start it?","Norristown, PA",175.0,dishwasher,3,Apartment,2,1.1,4:00 PM,6.96,7.35,7.83,6.69,7.2299999999999995,3,0.352,1.145
