scenario_id,description,location,appliance,housing_type,occupants,peak_rate,offpeak_rate,kwh_per_cycle,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,raw_cost,raw_emissions
10,When should I run my dishwasher after dinner tonight?,"Philadelphia, PA",dishwasher,Townhouse,3,0.18,0.09,1.4,2:00 PM,8.8,7.06,10,10,0.126,1.19
10,When should I run my dishwasher after dinner tonight?,"Philadelphia, PA",dishwasher,Townhouse,3,0.18,0.09,1.4,10:00 PM,8.8,7.06,10,10,0.126,1.19
11,What's the best time to run my dishwasher today?,"Lancaster, PA",dishwasher,Single-family,3,0.19,0.1,1.7,7:00 PM,8.3,6.38,10,10,0.17,1.445
11,What's the best time to run my dishwasher today?,"Lancaster, PA",dishwasher,Single-family,3,0.19,0.1,1.7,5:00 PM,8.3,6.38,10,10,0.17,1.445
11,What's the best time to run my dishwasher today?,"Lancaster, PA",dishwasher,Single-family,3,0.19,0.1,1.7,4:00 PM,8.3,6.38,10,10,0.17,1.445
12,Should I delay my dishwasher until off-peak hours?,"Pittsburgh, PA",dishwasher,Single-family,4,0.18,0.1,0.95,8:00 PM,9.15,8.08,10,10,0.095,0.807
12,Should I delay my dishwasher until off-peak hours?,"Pittsburgh, PA",dishwasher,Single-family,4,0.18,0.1,0.95,5:00 PM,9.15,8.08,10,10,0.095,0.807
12,Should I delay my dishwasher until off-peak hours?,"Pittsburgh, PA",dishwasher,Single-family,4,0.18,0.1,0.95,1:00 AM,9.15,8.08,2.35,0,0.095,0.807
13,When should I run my dishwasher to save money?,"Harrisburg, PA",dishwasher,Apartment,3,0.17,0.08,0.95,2:00 PM,9.36,8.08,10,10,0.076,0.807
13,When should I run my dishwasher to save money?,"Harrisburg, PA",dishwasher,Apartment,3,0.17,0.08,0.95,10:00 PM,9.36,8.08,10,10,0.076,0.807
13,When should I run my dishwasher to save money?,"Harrisburg, PA",dishwasher,Apartment,3,0.17,0.08,0.95,1:00 AM,9.36,8.08,0.32,0,0.076,0.807
14,What time minimizes my dishwasher electricity cost?,"Allentown, PA",dishwasher,Townhouse,4,0.19,0.08,1.55,1:00 AM,8.82,6.72,8.3,8.26,0.124,1.317
14,What time minimizes my dishwasher electricity cost?,"Allentown, PA",dishwasher,Townhouse,4,0.19,0.08,1.55,3:00 PM,8.82,6.72,4.28,1.2,0.124,1.317
14,What time minimizes my dishwasher electricity cost?,"Allentown, PA",dishwasher,Townhouse,4,0.19,0.08,1.55,11:00 PM,8.82,6.72,4.28,1.2,0.124,1.317
15,When should I run my washing machine today?,"Philadelphia, PA",washing_machine,Apartment,3,0.18,0.08,0.3,1:00 AM,9.95,9.56,7.83,8.26,0.024,0.255
15,When should I run my washing machine today?,"Philadelphia, PA",washing_machine,Apartment,3,0.18,0.08,0.3,7:00 PM,9.95,9.56,4.28,1.2,0.024,0.255
15,When should I run my washing machine today?,"Philadelphia, PA",washing_machine,Apartment,3,0.18,0.08,0.3,3:00 PM,9.95,9.56,4.28,1.2,0.024,0.255
16,Should I wash clothes in the morning or evening?,"Lancaster, PA",washing_machine,Townhouse,5,0.18,0.09,0.45,5:00 PM,9.77,9.22,10,10,0.0405,0.383
16,Should I wash clothes in the morning or evening?,"Lancaster, PA",washing_machine,Townhouse,5,0.18,0.09,0.45,2:00 PM,9.77,9.22,10,10,0.0405,0.383
16,Should I wash clothes in the morning or evening?,"Lancaster, PA",washing_machine,Townhouse,5,0.18,0.09,0.45,10:00 PM,9.77,9.22,10,10,0.0405,0.383
17,What's the best time for laundry to save energy?,"Pittsburgh, PA",washing_machine,Single-family,5,0.18,0.08,0.22,11:00 PM,10,9.74,10,10,0.0176,0.187
17,What's the best time for laundry to save energy?,"Pittsburgh, PA",washing_machine,Single-family,5,0.18,0.08,0.22,3:00 PM,10,9.74,10,10,0.0176,0.187
17,What's the best time for laundry to save energy?,"Pittsburgh, PA",washing_machine,Single-family,5,0.18,0.08,0.22,5:00 PM,10,9.74,10,10,0.0176,0.187
18,When is the cheapest time to wash clothes?,"Harrisburg, PA",washing_machine,Apartment,3,0.17,0.08,0.28,5:00 PM,9.97,9.6,10,10,0.0224,0.238
18,When is the cheapest time to wash clothes?,"Harrisburg, PA",washing_machine,Apartment,3,0.17,0.08,0.28,2:00 PM,9.97,9.6,10,10,0.0224,0.238
18,When is the cheapest time to wash clothes?,"Harrisburg, PA",washing_machine,Apartment,3,0.17,0.08,0.28,9:00 PM,9.97,9.6,10,10,0.0224,0.238
19,When should I run my washing machine today?,"Allentown, PA",washing_machine,Single-family,3,0.18,0.09,0.45,4:00 PM,9.77,9.22,10,10,0.0405,0.383
19,When should I run my washing machine today?,"Allentown, PA",washing_machine,Single-family,3,0.18,0.09,0.45,10:00 PM,9.77,9.22,10,10,0.0405,0.383
20,Should I wash clothes in the morning or evening?,"Erie, PA",washing_machine,Apartment,4,0.18,0.08,0.28,4:00 PM,9.97,9.6,10,10,0.0224,0.238
20,Should I wash clothes in the morning or evening?,"Erie, PA",washing_machine,Apartment,4,0.18,0.08,0.28,9:00 PM,9.97,9.6,10,10,0.0224,0.238
21,What's the best time for laundry to save energy?,"Scranton, PA",washing_machine,Townhouse,2,0.18,0.08,0.3,5:00 PM,9.95,9.56,10,10,0.024,0.255
21,What's the best time for laundry to save energy?,"Scranton, PA",washing_machine,Townhouse,2,0.18,0.08,0.3,1:00 AM,9.95,9.56,2.35,0,0.024,0.255
21,What's the best time for laundry to save energy?,"Scranton, PA",washing_machine,Townhouse,2,0.18,0.08,0.3,7:00 PM,9.95,9.56,10,10,0.024,0.255
22,When is the cheapest time to wash clothes?,"Bethlehem, PA",washing_machine,Single-family,3,0.17,0.09,0.45,7:00 PM,9.77,9.22,10,10,0.0405,0.383
22,When is the cheapest time to wash clothes?,"Bethlehem, PA",washing_machine,Single-family,3,0.17,0.09,0.45,2:00 PM,9.77,9.22,10,10,0.0405,0.383
22,When is the cheapest time to wash clothes?,"Bethlehem, PA",washing_machine,Single-family,3,0.17,0.09,0.45,1:00 AM,9.77,9.22,2.35,0,0.0405,0.383
23,When should I run my washing machine today?,"Reading, PA",washing_machine,Townhouse,5,0.17,0.09,0.3,5:00 PM,9.92,9.56,10,10,0.027,0.255
23,When should I run my washing machine today?,"Reading, PA",washing_machine,Townhouse,5,0.17,0.09,0.3,10:00 PM,9.92,9.56,10,10,0.027,0.255
23,When should I run my washing machine today?,"Reading, PA",washing_machine,Townhouse,5,0.17,0.09,0.3,1:00 AM,9.92,9.56,0.16,0,0.027,0.255
24,Should I wash clothes in the morning or evening?,"York, PA",washing_machine,Townhouse,3,0.18,0.08,0.3,9:00 PM,9.95,9.56,10,10,0.024,0.255
24,Should I wash clothes in the morning or evening?,"York, PA",washing_machine,Townhouse,3,0.18,0.08,0.3,12:00 AM,9.95,9.56,1.24,0,0.024,0.255
24,Should I wash clothes in the morning or evening?,"York, PA",washing_machine,Townhouse,3,0.18,0.08,0.3,2:00 PM,9.95,9.56,10,10,0.024,0.255
25,When should I run my dryer today?,"Philadelphia, PA",dryer,Apartment,4,0.17,0.09,2.8,2:00 PM,7.36,3.88,10,10,0.252,2.38
25,When should I run my dryer today?,"Philadelphia, PA",dryer,Apartment,4,0.17,0.09,2.8,9:00 PM,7.36,3.88,10,10,0.252,2.38
26,What time should I start my dryer to minimize cost?,"Lancaster, PA",dryer,Apartment,4,0.18,0.09,2.5,2:00 PM,7.67,4.56,10,10,0.225,2.125
26,What time should I start my dryer to minimize cost?,"Lancaster, PA",dryer,Apartment,4,0.18,0.09,2.5,12:00 AM,7.67,4.56,0.32,0,0.225,2.125
26,What time should I start my dryer to minimize cost?,"Lancaster, PA",dryer,Apartment,4,0.18,0.09,2.5,11:00 PM,7.67,4.56,10,10,0.225,2.125
27,When is the cheapest time to run my dryer today?,"Pittsburgh, PA",dryer,Townhouse,4,0.17,0.09,1.2,1:00 AM,9,7.51,8.3,8.26,0.108,1.02
27,When is the cheapest time to run my dryer today?,"Pittsburgh, PA",dryer,Townhouse,4,0.17,0.09,1.2,2:00 PM,9,7.51,4.28,1.2,0.108,1.02
27,When is the cheapest time to run my dryer today?,"Pittsburgh, PA",dryer,Townhouse,4,0.17,0.09,1.2,8:00 PM,9,7.51,4.28,1.2,0.108,1.02
28,What's the best time to run my dryer to save money?,"Harrisburg, PA",dryer,Townhouse,3,0.17,0.09,2.5,8:00 PM,7.67,4.56,10,10,0.225,2.125
28,What's the best time to run my dryer to save money?,"Harrisburg, PA",dryer,Townhouse,3,0.17,0.09,2.5,4:00 PM,7.67,4.56,10,10,0.225,2.125
29,When should I run my dryer today?,"Allentown, PA",dryer,Townhouse,3,0.17,0.08,2.5,1:00 AM,7.95,4.56,8.3,8.26,0.2,2.125
29,When should I run my dryer today?,"Allentown, PA",dryer,Townhouse,3,0.17,0.08,2.5,9:00 PM,7.95,4.56,4.28,1.2,0.2,2.125
29,When should I run my dryer today?,"Allentown, PA",dryer,Townhouse,3,0.17,0.08,2.5,4:00 PM,7.95,4.56,4.28,1.2,0.2,2.125
30,What time should I start my dryer to minimize cost?,"Erie, PA",dryer,Apartment,4,0.17,0.08,3.5,12:00 AM,7.05,2.29,7.83,8.26,0.28,2.975
30,What time should I start my dryer to minimize cost?,"Erie, PA",dryer,Apartment,4,0.17,0.08,3.5,7:00 PM,7.05,2.29,4.28,1.2,0.28,2.975
30,What time should I start my dryer to minimize cost?,"Erie, PA",dryer,Apartment,4,0.17,0.08,3.5,3:00 PM,7.05,2.29,4.28,1.2,0.28,2.975
31,When is the cheapest time to run my dryer today?,"Scranton, PA",dryer,Townhouse,2,0.18,0.08,3.5,12:00 AM,7.05,2.29,8.3,8.26,0.28,2.975
31,When is the cheapest time to run my dryer today?,"Scranton, PA",dryer,Townhouse,2,0.18,0.08,3.5,10:00 PM,7.05,2.29,5.13,2.44,0.28,2.975
31,When is the cheapest time to run my dryer today?,"Scranton, PA",dryer,Townhouse,2,0.18,0.08,3.5,4:00 PM,7.05,2.29,5.13,2.44,0.28,2.975
32,What's the best time to run my dryer to save money?,"Bethlehem, PA",dryer,Single-family,2,0.18,0.08,3.5,4:00 PM,7.05,2.29,10,10,0.28,2.975
32,What's the best time to run my dryer to save money?,"Bethlehem, PA",dryer,Single-family,2,0.18,0.08,3.5,10:00 PM,7.05,2.29,10,10,0.28,2.975
33,When should I run my dryer today?,"Reading, PA",dryer,Townhouse,2,0.18,0.09,1.15,3:00 PM,9.05,7.63,10,10,0.1035,0.977
33,When should I run my dryer today?,"Reading, PA",dryer,Townhouse,2,0.18,0.09,1.15,11:00 PM,9.05,7.63,10,10,0.1035,0.977
33,When should I run my dryer today?,"Reading, PA",dryer,Townhouse,2,0.18,0.09,1.15,1:00 AM,9.05,7.63,2.35,0,0.1035,0.977
34,What time should I start my dryer to minimize cost?,"York, PA",dryer,Apartment,2,0.18,0.08,2.5,2:00 PM,7.95,4.56,10,10,0.2,2.125
34,What time should I start my dryer to minimize cost?,"York, PA",dryer,Apartment,2,0.18,0.08,2.5,2:00 AM,7.95,4.56,1.53,0,0.2,2.125
34,What time should I start my dryer to minimize cost?,"York, PA",dryer,Apartment,2,0.18,0.08,2.5,9:00 PM,7.95,4.56,10,10,0.2,2.125
35,When should I run my dishwasher after cleaning up tonight?,"York, PA",dishwasher,Townhouse,3,0.18,0.09,1.15,7:00 PM,9.05,7.63,10,10,0.1035,0.977
35,When should I run my dishwasher after cleaning up tonight?,"York, PA",dishwasher,Townhouse,3,0.18,0.09,1.15,10:00 PM,9.05,7.63,10,10,0.1035,0.977
35,When should I run my dishwasher after cleaning up tonight?,"York, PA",dishwasher,Townhouse,3,0.18,0.09,1.15,1:00 AM,9.05,7.63,1.24,0,0.1035,0.977
36,What time should I start my dishwasher to minimize cost?,"Williamsport, PA",dishwasher,Single-family,4,0.17,0.09,0.98,8:00 PM,9.23,8.01,10,10,0.0882,0.833
36,What time should I start my dishwasher to minimize cost?,"Williamsport, PA",dishwasher,Single-family,4,0.17,0.09,0.98,11:00 PM,9.23,8.01,10,10,0.0882,0.833
36,What time should I start my dishwasher to minimize cost?,"Williamsport, PA",dishwasher,Single-family,4,0.17,0.09,0.98,2:00 AM,9.23,8.01,2.35,0,0.0882,0.833
37,When is the best time to run my dishwasher tonight?,"McKeesport, PA",dishwasher,Apartment,2,0.18,0.09,1.55,7:00 PM,8.64,6.72,5.13,2.44,0.1395,1.317
37,When is the best time to run my dishwasher tonight?,"McKeesport, PA",dishwasher,Apartment,2,0.18,0.09,1.55,10:00 PM,8.64,6.72,5.13,2.44,0.1395,1.317
37,When is the best time to run my dishwasher tonight?,"McKeesport, PA",dishwasher,Apartment,2,0.18,0.09,1.55,12:00 AM,8.64,6.72,7.83,8.26,0.1395,1.317
38,What time should I start my washing machine this morning?,"Altoona, PA",washer,Apartment,2,0.17,0.08,0.22,7:00 AM,10,9.74,7.83,8.26,0.0176,0.187
38,What time should I start my washing machine this morning?,"Altoona, PA",washer,Apartment,2,0.17,0.08,0.22,10:00 AM,10,9.74,7.83,8.26,0.0176,0.187
38,What time should I start my washing machine this morning?,"Altoona, PA",washer,Apartment,2,0.17,0.08,0.22,1:00 PM,10,9.74,5.13,2.44,0.0176,0.187
39,When should I run my washer to save on electricity?,"Chester, PA",washer,Townhouse,4,0.18,0.09,0.38,8:00 AM,9.84,9.38,8.3,8.26,0.0342,0.323
39,When should I run my washer to save on electricity?,"Chester, PA",washer,Townhouse,4,0.18,0.09,0.38,11:00 AM,9.84,9.38,8.3,8.26,0.0342,0.323
39,When should I run my washer to save on electricity?,"Chester, PA",washer,Townhouse,4,0.18,0.09,0.38,3:00 PM,9.84,9.38,4.28,1.2,0.0342,0.323
40,What's the cheapest time to do laundry today?,"Easton, PA",washer,Single-family,3,0.17,0.09,0.45,7:00 AM,9.77,9.22,8.9,8.26,0.0405,0.383
40,What's the cheapest time to do laundry today?,"Easton, PA",washer,Single-family,3,0.17,0.09,0.45,10:00 AM,9.77,9.22,8.9,8.26,0.0405,0.383
40,What's the cheapest time to do laundry today?,"Easton, PA",washer,Single-family,3,0.17,0.09,0.45,2:00 PM,9.77,9.22,4.28,1.2,0.0405,0.383
41,When should I start my washing machine for lowest rates?,"Lebanon, PA",washer,Single-family,5,0.18,0.09,0.28,8:00 AM,9.94,9.6,8.9,8.26,0.0252,0.238
41,When should I start my washing machine for lowest rates?,"Lebanon, PA",washer,Single-family,5,0.18,0.09,0.28,12:00 PM,9.94,9.6,3.48,0,0.0252,0.238
41,When should I start my washing machine for lowest rates?,"Lebanon, PA",washer,Single-family,5,0.18,0.09,0.28,4:00 PM,9.94,9.6,3.48,0,0.0252,0.238
42,When should I run my dryer after washing clothes?,"Johnstown, PA",dryer,Townhouse,3,0.17,0.09,2.8,9:00 AM,7.36,3.88,8.3,8.26,0.252,2.38
42,When should I run my dryer after washing clothes?,"Johnstown, PA",dryer,Townhouse,3,0.17,0.09,2.8,12:00 PM,7.36,3.88,4.28,1.2,0.252,2.38
42,When should I run my dryer after washing clothes?,"Johnstown, PA",dryer,Townhouse,3,0.17,0.09,2.8,4:00 PM,7.36,3.88,4.28,1.2,0.252,2.38
43,What time should I start my dryer to minimize cost?,"Hazleton, PA",dryer,Single-family,4,0.18,0.09,1.2,9:00 AM,9,7.51,8.9,8.26,0.108,1.02
43,What time should I start my dryer to minimize cost?,"Hazleton, PA",dryer,Single-family,4,0.18,0.09,1.2,1:00 PM,9,7.51,4.28,1.2,0.108,1.02
43,What time should I start my dryer to minimize cost?,"Hazleton, PA",dryer,Single-family,4,0.18,0.09,1.2,5:00 PM,9,7.51,4.28,1.2,0.108,1.02
44,When is the cheapest time to run my dryer today?,"Scranton, PA",dryer,Apartment,2,0.17,0.08,3.5,9:00 AM,7.05,2.29,7.83,8.26,0.28,2.975
44,When is the cheapest time to run my dryer today?,"Scranton, PA",dryer,Apartment,2,0.17,0.08,3.5,12:00 PM,7.05,2.29,5.13,2.44,0.28,2.975
44,When is the cheapest time to run my dryer today?,"Scranton, PA",dryer,Apartment,2,0.17,0.08,3.5,3:00 PM,7.05,2.29,5.13,2.44,0.28,2.975
45,What's the best time to run my dryer to save money?,"Reading, PA",dryer,Townhouse,3,0.18,0.09,2.6,10:00 AM,7.57,4.33,8.3,8.26,0.234,2.21
45,What's the best time to run my dryer to save money?,"Reading, PA",dryer,Townhouse,3,0.18,0.09,2.6,1:00 PM,7.57,4.33,4.28,1.2,0.234,2.21
45,What's the best time to run my dryer to save money?,"Reading, PA",dryer,Townhouse,3,0.18,0.09,2.6,4:00 PM,7.57,4.33,4.28,1.2,0.234,2.21
