architecture,comparison,shipped_run,n_paired_scenarios,shipped_right_reversed_wrong,shipped_wrong_reversed_right,mcnemar_exact_p,top1_choice_agreement,n_choice_compared,model
Example-Guided_LLM_Scoring,reversed_vs_shipped[HVAC],02,70.0,21.0,9.0,0.0428,0.3714,70,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[Appliance],02,65.0,13.0,6.0,0.1671,0.4769,65,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[Shower],02,60.0,16.0,9.0,0.2295,0.5667,60,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped,02,195.0,50.0,24.0,0.0034,0.4667,195,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[HVAC],03,70.0,24.0,8.0,0.007,0.3286,70,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[Appliance],03,65.0,12.0,5.0,0.1435,0.5385,65,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[Shower],03,60.0,20.0,8.0,0.0357,0.5,60,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped,03,195.0,56.0,21.0,0.0001,0.4513,195,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[HVAC],04,70.0,25.0,11.0,0.0288,0.3571,70,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[Appliance],04,65.0,10.0,6.0,0.4545,0.5538,65,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[Shower],04,60.0,19.0,9.0,0.0872,0.5,60,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped,04,195.0,54.0,26.0,0.0023,0.4667,195,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[HVAC],05,70.0,24.0,11.0,0.041,0.3429,70,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[Appliance],05,65.0,15.0,6.0,0.0784,0.4923,65,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped[Shower],05,60.0,22.0,6.0,0.0037,0.4833,60,gptoss
Example-Guided_LLM_Scoring,reversed_vs_shipped,05,195.0,61.0,23.0,0.0,0.4359,195,gptoss
Example-Guided_LLM_Scoring,shipped_vs_shipped,01v02,,,,,0.6103,195,gptoss
Example-Guided_LLM_Scoring,shipped_vs_shipped,01v03,,,,,0.6256,195,gptoss
Example-Guided_LLM_Scoring,shipped_vs_shipped,01v04,,,,,0.6308,195,gptoss
Example-Guided_LLM_Scoring,shipped_vs_shipped,01v05,,,,,0.6359,195,gptoss
Example-Guided_LLM_Scoring,shipped_vs_shipped,02v03,,,,,0.5282,195,gptoss
Example-Guided_LLM_Scoring,shipped_vs_shipped,02v04,,,,,0.6256,195,gptoss
Example-Guided_LLM_Scoring,shipped_vs_shipped,02v05,,,,,0.5897,195,gptoss
Example-Guided_LLM_Scoring,shipped_vs_shipped,03v04,,,,,0.6718,195,gptoss
Example-Guided_LLM_Scoring,shipped_vs_shipped,03v05,,,,,0.6359,195,gptoss
Example-Guided_LLM_Scoring,shipped_vs_shipped,04v05,,,,,0.6462,195,gptoss
