source,model,architecture,decision_type,criterion,statistic,value,sd_across_runs
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,environmental,within_scenario_range,0.356033,0.012574
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,environmental,within_scenario_sd,0.179246,0.006852
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,mavt_aggregate,n_scenarios,60.0,0.0
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,mavt_aggregate,within_scenario_aggregate_range,0.175802,0.002666
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,mavt_aggregate,within_scenario_aggregate_sd,0.090815,0.001555
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,practicality,within_scenario_range,0.3563,0.013242
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,practicality,within_scenario_sd,0.184797,0.006715
architecture,gemini,Direct_LLM_Scoring,Appliance,comfort,within_scenario_range,0.606462,0.012612
architecture,gemini,Direct_LLM_Scoring,Appliance,comfort,within_scenario_sd,0.316391,0.006895
architecture,gemini,Direct_LLM_Scoring,Appliance,energy_cost,within_scenario_range,0.706769,0.003705
architecture,gemini,Direct_LLM_Scoring,Appliance,energy_cost,within_scenario_sd,0.379854,0.001688
architecture,gemini,Direct_LLM_Scoring,Appliance,environmental,within_scenario_range,0.533077,0.003353
architecture,gemini,Direct_LLM_Scoring,Appliance,environmental,within_scenario_sd,0.286241,0.001277
architecture,gemini,Direct_LLM_Scoring,Appliance,mavt_aggregate,n_scenarios,65.0,0.0
architecture,gemini,Direct_LLM_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_range,0.304054,0.006567
architecture,gemini,Direct_LLM_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_sd,0.158723,0.00298
architecture,gemini,Direct_LLM_Scoring,Appliance,practicality,within_scenario_range,0.577538,0.010021
architecture,gemini,Direct_LLM_Scoring,Appliance,practicality,within_scenario_sd,0.312022,0.004979
architecture,gemini,Direct_LLM_Scoring,HVAC,comfort,within_scenario_range,0.547429,0.007312
architecture,gemini,Direct_LLM_Scoring,HVAC,comfort,within_scenario_sd,0.290113,0.003486
architecture,gemini,Direct_LLM_Scoring,HVAC,energy_cost,within_scenario_range,0.518143,0.008339
architecture,gemini,Direct_LLM_Scoring,HVAC,energy_cost,within_scenario_sd,0.269157,0.004173
architecture,gemini,Direct_LLM_Scoring,HVAC,environmental,within_scenario_range,0.486143,0.008873
architecture,gemini,Direct_LLM_Scoring,HVAC,environmental,within_scenario_sd,0.252892,0.004715
architecture,gemini,Direct_LLM_Scoring,HVAC,mavt_aggregate,n_scenarios,70.0,0.0
architecture,gemini,Direct_LLM_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_range,0.217886,0.004733
architecture,gemini,Direct_LLM_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_sd,0.115368,0.002688
architecture,gemini,Direct_LLM_Scoring,HVAC,practicality,within_scenario_range,0.376286,0.008607
architecture,gemini,Direct_LLM_Scoring,HVAC,practicality,within_scenario_sd,0.201048,0.004495
architecture,gemini,Direct_LLM_Scoring,Overall,all,marginal_frac_in_central_band,0.430769,0.003022
architecture,gemini,Direct_LLM_Scoring,Overall,all,marginal_mean,0.626124,0.001428
architecture,gemini,Direct_LLM_Scoring,Overall,all,marginal_n_scores,2340.0,0.0
architecture,gemini,Direct_LLM_Scoring,Overall,all,marginal_sd,0.262435,0.000716
architecture,gemini,Direct_LLM_Scoring,Overall,mavt_aggregate,n_scenarios,195.0,0.0
architecture,gemini,Direct_LLM_Scoring,Overall,mavt_aggregate,within_scenario_aggregate_range,0.233133,0.001655
architecture,gemini,Direct_LLM_Scoring,Overall,mavt_aggregate,within_scenario_aggregate_sd,0.122426,0.000738
architecture,gemini,Direct_LLM_Scoring,Shower,comfort,within_scenario_range,0.423333,0.008519
architecture,gemini,Direct_LLM_Scoring,Shower,comfort,within_scenario_sd,0.230524,0.005011
architecture,gemini,Direct_LLM_Scoring,Shower,energy_cost,within_scenario_range,0.362833,0.005323
architecture,gemini,Direct_LLM_Scoring,Shower,energy_cost,within_scenario_sd,0.183685,0.002616
architecture,gemini,Direct_LLM_Scoring,Shower,environmental,within_scenario_range,0.360333,0.004625
architecture,gemini,Direct_LLM_Scoring,Shower,environmental,within_scenario_sd,0.182628,0.002319
architecture,gemini,Direct_LLM_Scoring,Shower,mavt_aggregate,n_scenarios,60.0,0.0
architecture,gemini,Direct_LLM_Scoring,Shower,mavt_aggregate,within_scenario_aggregate_range,0.174092,0.002773
architecture,gemini,Direct_LLM_Scoring,Shower,mavt_aggregate,within_scenario_aggregate_sd,0.091339,0.00137
architecture,gemini,Direct_LLM_Scoring,Shower,practicality,within_scenario_range,0.4175,0.008457
architecture,gemini,Direct_LLM_Scoring,Shower,practicality,within_scenario_sd,0.219745,0.004098
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,comfort,within_scenario_range,0.595337,0.010421
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,comfort,within_scenario_sd,0.313814,0.004588
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,energy_cost,within_scenario_range,0.441275,0.009861
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,energy_cost,within_scenario_sd,0.237146,0.006344
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,environmental,within_scenario_range,0.215354,0.007696
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,environmental,within_scenario_sd,0.116278,0.004263
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,mavt_aggregate,n_scenarios,63.6,0.894427
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_range,0.215868,0.008006
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_sd,0.112416,0.004008
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,practicality,within_scenario_range,0.681279,0.011233
architecture,gemini,Example-Guided_LLM_Scoring,Appliance,practicality,within_scenario_sd,0.358773,0.004674
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,comfort,within_scenario_range,0.512687,0.00413
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,comfort,within_scenario_sd,0.266051,0.002487
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,energy_cost,within_scenario_range,0.488925,0.006098
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,energy_cost,within_scenario_sd,0.25159,0.002975
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,environmental,within_scenario_range,0.486333,0.0068
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,environmental,within_scenario_sd,0.250295,0.003573
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,mavt_aggregate,n_scenarios,69.4,0.547723
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_range,0.226335,0.005033
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_sd,0.118703,0.002284
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,practicality,within_scenario_range,0.116387,0.008627
architecture,gemini,Example-Guided_LLM_Scoring,HVAC,practicality,within_scenario_sd,0.064621,0.004322
architecture,gemini,Example-Guided_LLM_Scoring,Overall,all,marginal_frac_in_central_band,0.422633,0.003375
architecture,gemini,Example-Guided_LLM_Scoring,Overall,all,marginal_mean,0.663359,0.001287
architecture,gemini,Example-Guided_LLM_Scoring,Overall,all,marginal_n_scores,2316.0,8.485281
architecture,gemini,Example-Guided_LLM_Scoring,Overall,all,marginal_sd,0.261887,0.001049
architecture,gemini,Example-Guided_LLM_Scoring,Overall,mavt_aggregate,n_scenarios,193.0,0.707107
architecture,gemini,Example-Guided_LLM_Scoring,Overall,mavt_aggregate,within_scenario_aggregate_range,0.202256,0.003547
architecture,gemini,Example-Guided_LLM_Scoring,Overall,mavt_aggregate,within_scenario_aggregate_sd,0.10571,0.001684
architecture,gemini,Example-Guided_LLM_Scoring,Shower,comfort,within_scenario_range,0.342167,0.003935
architecture,gemini,Example-Guided_LLM_Scoring,Shower,comfort,within_scenario_sd,0.17771,0.00219
architecture,gemini,Example-Guided_LLM_Scoring,Shower,energy_cost,within_scenario_range,0.392833,0.001491
architecture,gemini,Example-Guided_LLM_Scoring,Shower,energy_cost,within_scenario_sd,0.199613,0.000766
architecture,gemini,Example-Guided_LLM_Scoring,Shower,environmental,within_scenario_range,0.426833,0.002528
architecture,gemini,Example-Guided_LLM_Scoring,Shower,environmental,within_scenario_sd,0.216079,0.001352
architecture,gemini,Example-Guided_LLM_Scoring,Shower,mavt_aggregate,n_scenarios,60.0,0.0
architecture,gemini,Example-Guided_LLM_Scoring,Shower,mavt_aggregate,within_scenario_aggregate_range,0.159958,0.002337
architecture,gemini,Example-Guided_LLM_Scoring,Shower,mavt_aggregate,within_scenario_aggregate_sd,0.083566,0.001032
architecture,gemini,Example-Guided_LLM_Scoring,Shower,practicality,within_scenario_range,0.426,0.009022
architecture,gemini,Example-Guided_LLM_Scoring,Shower,practicality,within_scenario_sd,0.223923,0.004551
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,comfort,within_scenario_range,0.465046,0.000491
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,comfort,within_scenario_sd,0.239604,0.000268
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,energy_cost,within_scenario_range,0.277969,0.001968
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,energy_cost,within_scenario_sd,0.160486,0.001136
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,environmental,within_scenario_range,0.034092,0.00043
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,environmental,within_scenario_sd,0.019683,0.000248
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,mavt_aggregate,n_scenarios,65.0,0.0
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_range,0.172374,0.000574
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_sd,0.089677,0.000263
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,practicality,within_scenario_range,0.608646,0.000569
architecture,gemini,LLM-Parameterized_Reference_Scoring,Appliance,practicality,within_scenario_sd,0.313281,0.000296
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,comfort,within_scenario_range,0.416857,0.0
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,comfort,within_scenario_sd,0.215738,0.0
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,energy_cost,within_scenario_range,0.087857,0.000544
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,energy_cost,within_scenario_sd,0.044979,0.000266
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,environmental,within_scenario_range,0.087143,0.000623
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,environmental,within_scenario_sd,0.044708,0.00032
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,mavt_aggregate,n_scenarios,70.0,0.0
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_range,0.080434,0.000556
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_sd,0.041586,0.000269
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,practicality,within_scenario_range,0.088971,0.000212
architecture,gemini,LLM-Parameterized_Reference_Scoring,HVAC,practicality,within_scenario_sd,0.048672,0.000106
architecture,gemini,LLM-Parameterized_Reference_Scoring,Overall,all,marginal_frac_in_central_band,0.410427,0.001372
architecture,gemini,LLM-Parameterized_Reference_Scoring,Overall,all,marginal_mean,0.660997,0.000973
architecture,gemini,LLM-Parameterized_Reference_Scoring,Overall,all,marginal_n_scores,2340.0,0.0
architecture,gemini,LLM-Parameterized_Reference_Scoring,Overall,all,marginal_sd,0.2552,0.000837
