category,architecture,model_or_pooled,decision_type,metric,value,sd
Table8_cost_per_run,Example-Guided_LLM_Scoring,DeepSeek,Overall,cost_usd,0.036494,
Table8_cost_per_run,Example-Guided_LLM_Scoring,DeepSeek,Overall,tokens_in_per_run,363366.0,
Table8_cost_per_run,Example-Guided_LLM_Scoring,DeepSeek,Overall,tokens_out_per_run,21061.8,
Table8_cost_per_run,Example-Guided_LLM_Scoring,DeepSeek,Overall,tokens_per_scenario,1971.424615,
Table8_cost_per_run,Example-Guided_LLM_Scoring,DeepSeek,Overall,calls_per_scenario,3.0,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,DeepSeek,Overall,cost_usd,0.011021,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,DeepSeek,Overall,tokens_in_per_run,97945.4,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,DeepSeek,Overall,tokens_out_per_run,12253.8,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,DeepSeek,Overall,tokens_per_scenario,565.124103,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,DeepSeek,Overall,calls_per_scenario,1.0,
Table8_cost_per_run,Direct_LLM_Scoring,Gemini,Overall,cost_usd,0.801729,
Table8_cost_per_run,Direct_LLM_Scoring,Gemini,Overall,tokens_in_per_run,390189.4,
Table8_cost_per_run,Direct_LLM_Scoring,Gemini,Overall,tokens_out_per_run,24049.4,
Table8_cost_per_run,Direct_LLM_Scoring,Gemini,Overall,tokens_per_scenario,2124.301538,
Table8_cost_per_run,Direct_LLM_Scoring,Gemini,Overall,calls_per_scenario,3.0,
Table8_cost_per_run,Example-Guided_LLM_Scoring,Gemini,Overall,cost_usd,1.024287,
Table8_cost_per_run,Example-Guided_LLM_Scoring,Gemini,Overall,tokens_in_per_run,377818.2,
Table8_cost_per_run,Example-Guided_LLM_Scoring,Gemini,Overall,tokens_out_per_run,50840.0,
Table8_cost_per_run,Example-Guided_LLM_Scoring,Gemini,Overall,tokens_per_scenario,2198.247179,
Table8_cost_per_run,Example-Guided_LLM_Scoring,Gemini,Overall,calls_per_scenario,3.0,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,Gemini,Overall,cost_usd,0.279847,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,Gemini,Overall,tokens_in_per_run,98596.0,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,Gemini,Overall,tokens_out_per_run,14661.4,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,Gemini,Overall,tokens_per_scenario,580.807179,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,Gemini,Overall,calls_per_scenario,1.0,
IncrementalContribution,FixedDefault,pooled,Overall,Top-1,0.7282,
IncrementalContribution,FixedDefault,pooled,Overall,Top-1_delta,0.0,
IncrementalContribution,FixedDefault,pooled,Overall,kendall_tau,0.6137,
IncrementalContribution,FixedDefault,pooled,Overall,tau_delta,0.0,
IncrementalContribution,NearestNeighbor,pooled,Overall,Top-1,0.5692,
IncrementalContribution,NearestNeighbor,pooled,Overall,Top-1_delta,-0.159,
IncrementalContribution,NearestNeighbor,pooled,Overall,kendall_tau,0.3709,
IncrementalContribution,NearestNeighbor,pooled,Overall,tau_delta,-0.2428,
IncrementalContribution,Direct_LLM_Scoring_best,gemini,Overall,kendall_tau,0.193147,
IncrementalContribution,Direct_LLM_Scoring_worst,qwen,Overall,kendall_tau,0.01176,
IncrementalContribution,Direct_LLM_Scoring_best,deepseek,Overall,Top-1,0.37812,
IncrementalContribution,Direct_LLM_Scoring_worst,qwen,Overall,Top-1,0.300467,
IncrementalContribution,Example-Guided_LLM_Scoring_best,deepseek,Overall,kendall_tau,0.34126,
IncrementalContribution,Example-Guided_LLM_Scoring_worst,qwen,Overall,kendall_tau,0.208773,
IncrementalContribution,Example-Guided_LLM_Scoring_best,deepseek,Overall,Top-1,0.55224,
IncrementalContribution,Example-Guided_LLM_Scoring_worst,qwen,Overall,Top-1,0.471587,
IncrementalContribution,LLM-Parameterized_Reference_Scoring_best,gemini,Overall,kendall_tau,0.919453,
IncrementalContribution,LLM-Parameterized_Reference_Scoring_worst,qwen,Overall,kendall_tau,0.879347,
IncrementalContribution,LLM-Parameterized_Reference_Scoring_best,gemini,Overall,Top-1,0.928293,
IncrementalContribution,LLM-Parameterized_Reference_Scoring_worst,qwen,Overall,Top-1,0.89764,
GPTOSS_recovery,AH,run_1,Overall,tau,0.9059,
GPTOSS_recovery,AH,run_1,Overall,MAE,0.0516,
GPTOSS_recovery,AH,run_1,Overall,Top-1,0.9294,
GPTOSS_recovery,AH,run_1,Overall,tau,0.9704,
GPTOSS_recovery,AH,run_1,Overall,MAE,0.0483,
GPTOSS_recovery,AH,run_1,Overall,Top-1,0.9778,
GPTOSS_recovery,AH,run_1,Overall,tau,0.9795,
GPTOSS_recovery,AH,run_1,Overall,MAE,0.0493,
GPTOSS_recovery,AH,run_1,Overall,Top-1,1.0,
GPTOSS_recovery,AH,run_1,Overall,tau,0.7778,
GPTOSS_recovery,AH,run_1,Overall,MAE,0.0566,
GPTOSS_recovery,AH,run_1,Overall,Top-1,0.8167,
GPTOSS_recovery,AH,run_2,Overall,tau,0.8974,
GPTOSS_recovery,AH,run_2,Overall,MAE,0.052,
GPTOSS_recovery,AH,run_2,Overall,Top-1,0.9172,
GPTOSS_recovery,AH,run_2,Overall,tau,0.9242,
GPTOSS_recovery,AH,run_2,Overall,MAE,0.0501,
GPTOSS_recovery,AH,run_2,Overall,Top-1,0.9091,
GPTOSS_recovery,AH,run_2,Overall,tau,0.9692,
GPTOSS_recovery,AH,run_2,Overall,MAE,0.0546,
GPTOSS_recovery,AH,run_2,Overall,Top-1,0.9846,
GPTOSS_recovery,AH,run_2,Overall,tau,0.8,
GPTOSS_recovery,AH,run_2,Overall,MAE,0.0507,
GPTOSS_recovery,AH,run_2,Overall,Top-1,0.85,
GPTOSS_recovery,AH,run_3,Overall,tau,0.8966,
GPTOSS_recovery,AH,run_3,Overall,MAE,0.0548,
GPTOSS_recovery,AH,run_3,Overall,Top-1,0.9138,
GPTOSS_recovery,AH,run_3,Overall,tau,0.9456,
GPTOSS_recovery,AH,run_3,Overall,MAE,0.0556,
GPTOSS_recovery,AH,run_3,Overall,Top-1,0.9592,
GPTOSS_recovery,AH,run_3,Overall,tau,0.959,
GPTOSS_recovery,AH,run_3,Overall,MAE,0.0547,
GPTOSS_recovery,AH,run_3,Overall,Top-1,0.9846,
GPTOSS_recovery,AH,run_3,Overall,tau,0.7889,
GPTOSS_recovery,AH,run_3,Overall,MAE,0.0542,
GPTOSS_recovery,AH,run_3,Overall,Top-1,0.8,
GPTOSS_recovery,AH,run_4,Overall,tau,0.8971,
GPTOSS_recovery,AH,run_4,Overall,MAE,0.0518,
GPTOSS_recovery,AH,run_4,Overall,Top-1,0.9086,
GPTOSS_recovery,AH,run_4,Overall,tau,0.9333,
GPTOSS_recovery,AH,run_4,Overall,MAE,0.0481,
GPTOSS_recovery,AH,run_4,Overall,Top-1,0.92,
GPTOSS_recovery,AH,run_4,Overall,tau,0.959,
GPTOSS_recovery,AH,run_4,Overall,MAE,0.0507,
GPTOSS_recovery,AH,run_4,Overall,Top-1,0.9846,
GPTOSS_recovery,AH,run_4,Overall,tau,0.8,
GPTOSS_recovery,AH,run_4,Overall,MAE,0.0562,
GPTOSS_recovery,AH,run_4,Overall,Top-1,0.8167,
GPTOSS_recovery,AH,run_5,Overall,tau,0.8863,
GPTOSS_recovery,AH,run_5,Overall,MAE,0.0522,
GPTOSS_recovery,AH,run_5,Overall,Top-1,0.9118,
GPTOSS_recovery,AH,run_5,Overall,tau,0.9407,
GPTOSS_recovery,AH,run_5,Overall,MAE,0.0536,
GPTOSS_recovery,AH,run_5,Overall,Top-1,0.9333,
GPTOSS_recovery,AH,run_5,Overall,tau,0.9692,
GPTOSS_recovery,AH,run_5,Overall,MAE,0.0482,
GPTOSS_recovery,AH,run_5,Overall,Top-1,0.9846,
GPTOSS_recovery,AH,run_5,Overall,tau,0.7556,
GPTOSS_recovery,AH,run_5,Overall,MAE,0.0555,
GPTOSS_recovery,AH,run_5,Overall,Top-1,0.8167,
GPTOSS_recovery,AH,pooled_5run,Overall,tau,0.897785,0.073099
GPTOSS_recovery,AH,pooled_5run,Overall,MAE,0.05244,0.002784
GPTOSS_recovery,AH,pooled_5run,Overall,Top-1,0.915935,0.064718
GPTOSS_recovery,AH,worst_single_run,Overall,tau,0.7556,
GPTOSS_recovery,AH,best_single_run,Overall,tau,0.9795,
GPTOSS_recovery,AH,worst_single_run,Overall,MAE,0.0566,
GPTOSS_recovery,AH,best_single_run,Overall,MAE,0.0481,
PerModel,Direct_LLM_Scoring,deepseek,Overall,tau,0.144,0.040723
PerModel,Direct_LLM_Scoring,deepseek,Overall,MAE,0.23154,0.002487
PerModel,Direct_LLM_Scoring,deepseek,Overall,Top-1,0.36682,0.030876
PerModel,Direct_LLM_Scoring,gemini,Overall,tau,0.17606,0.014277
PerModel,Direct_LLM_Scoring,gemini,Overall,MAE,0.21958,0.001616
PerModel,Direct_LLM_Scoring,gemini,Overall,Top-1,0.36206,0.014762
PerModel,Direct_LLM_Scoring,gptoss,Overall,tau,0.04068,0.045199
PerModel,Direct_LLM_Scoring,gptoss,Overall,MAE,0.24152,0.001781
PerModel,Direct_LLM_Scoring,gptoss,Overall,Top-1,0.33334,0.02407
PerModel,Direct_LLM_Scoring,qwen,Overall,tau,0.00998,0.038523
PerModel,Direct_LLM_Scoring,qwen,Overall,MAE,0.23496,0.001676
PerModel,Direct_LLM_Scoring,qwen,Overall,Top-1,0.30012,0.029613
PerModel,Example-Guided_LLM_Scoring,deepseek,Overall,tau,0.32786,0.028763
PerModel,Example-Guided_LLM_Scoring,deepseek,Overall,MAE,0.16668,0.002055
PerModel,Example-Guided_LLM_Scoring,deepseek,Overall,Top-1,0.5446,0.022744
PerModel,Example-Guided_LLM_Scoring,gemini,Overall,tau,0.30468,0.018542
PerModel,Example-Guided_LLM_Scoring,gemini,Overall,MAE,0.1588,0.001005
PerModel,Example-Guided_LLM_Scoring,gemini,Overall,Top-1,0.4722,0.020616
PerModel,Example-Guided_LLM_Scoring,gptoss,Overall,tau,0.27042,0.041921
PerModel,Example-Guided_LLM_Scoring,gptoss,Overall,MAE,0.16888,0.002735
PerModel,Example-Guided_LLM_Scoring,gptoss,Overall,Top-1,0.48,0.028452
PerModel,Example-Guided_LLM_Scoring,qwen,Overall,tau,0.20684,0.02979
PerModel,Example-Guided_LLM_Scoring,qwen,Overall,MAE,0.19132,0.004258
PerModel,Example-Guided_LLM_Scoring,qwen,Overall,Top-1,0.46976,0.027286
PerModel,LLM-Parameterized_Reference_Scoring,deepseek,Overall,tau,0.89734,0.004954
PerModel,LLM-Parameterized_Reference_Scoring,deepseek,Overall,MAE,0.04676,0.004471
PerModel,LLM-Parameterized_Reference_Scoring,deepseek,Overall,Top-1,0.90762,0.008951
PerModel,LLM-Parameterized_Reference_Scoring,gemini,Overall,tau,0.92344,0.001862
PerModel,LLM-Parameterized_Reference_Scoring,gemini,Overall,MAE,0.04812,0.000698
PerModel,LLM-Parameterized_Reference_Scoring,gemini,Overall,Top-1,0.93126,0.002793
PerModel,LLM-Parameterized_Reference_Scoring,gptoss,Overall,tau,0.89666,0.006954
PerModel,LLM-Parameterized_Reference_Scoring,gptoss,Overall,MAE,0.05248,0.001316
PerModel,LLM-Parameterized_Reference_Scoring,gptoss,Overall,Top-1,0.91616,0.008033
PerModel,LLM-Parameterized_Reference_Scoring,qwen,Overall,tau,0.8801,0.013306
PerModel,LLM-Parameterized_Reference_Scoring,qwen,Overall,MAE,0.07222,0.001791
PerModel,LLM-Parameterized_Reference_Scoring,qwen,Overall,Top-1,0.89724,0.011888
Table9_rag_ablation,alternate_embedding_k3,deepseek,Overall,kendall_tau,0.405243,
Table9_rag_ablation,alternate_embedding_k3,deepseek,Overall,score_mae,0.072233,
Table9_rag_ablation,alternate_embedding_k3,deepseek,Overall,score_rmse,0.083712,
