scenario_id,description,location,occupants,gpm,utility_budget,housing_type,outdoor_temp,alternative,duration_min,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh,raw_cost,raw_water_gallons
5,What's the ideal shower length?,"Erie, PA",4,2.5,300,Single-family,28,9,9.0,7.06,7.78,9.37,4.48,7.386999999999999,2,2.910752570849687,0.5530429884614405,22.5
5,What's the ideal shower length?,"Erie, PA",4,2.5,300,Single-family,28,12,12.0,5.52,6.67,7.62,6.24,6.4505,3,3.8810034277995826,0.7373906512819207,30.0
6,What's the ideal shower length?,"Scranton, PA",2,1.5,180,Apartment,32,5,5.0,10.0,10.0,7.43,2.44,8.352,3,0.9702508569498955,0.18434766282048015,7.5
6,What's the ideal shower length?,"Scranton, PA",2,1.5,180,Apartment,32,7,7.0,9.52,9.56,9.32,5.87,8.9465,1,1.3583511997298536,0.2580867279486722,10.5
6,What's the ideal shower length?,"Scranton, PA",2,1.5,180,Apartment,32,10,10.0,8.59,8.89,9.59,8.26,8.8455,2,1.940501713899791,0.3686953256409603,15.0
7,What's the ideal shower length?,"Bethlehem, PA",3,2.0,230,Townhouse,60,5,5.0,9.97,9.63,7.43,2.44,8.2135,2,1.0690309183551303,0.20311587448747476,10.0
7,What's the ideal shower length?,"Bethlehem, PA",3,2.0,230,Townhouse,60,10,10.0,8.28,8.15,9.59,8.26,8.4935,1,2.1380618367102606,0.4062317489749495,20.0
7,What's the ideal shower length?,"Bethlehem, PA",3,2.0,230,Townhouse,60,15,15.0,6.59,6.67,8.6,4.48,6.703499999999999,3,3.207092755065391,0.6093476234624243,30.0
8,How long should my showers be?,"Reading, PA",5,2.5,350,Single-family,82,5,5.0,9.79,9.26,7.43,2.44,8.03,1,1.185862158494317,0.22531381011392024,12.5
8,How long should my showers be?,"Reading, PA",5,2.5,350,Single-family,82,8,8.0,8.66,8.15,9.9,3.83,8.005,2,1.897379453590907,0.36050209618227236,20.0
8,How long should my showers be?,"Reading, PA",5,2.5,350,Single-family,82,12,12.0,7.16,6.67,7.62,6.24,6.9425,3,2.8460691803863605,0.5407531442734085,30.0
9,How long should my showers be?,"York, PA",2,2.0,195,Apartment,48,5,5.0,9.82,9.63,7.43,2.44,8.1685,2,1.165303871602872,0.22140773560454569,10.0
9,How long should my showers be?,"York, PA",2,2.0,195,Apartment,48,10,10.0,7.98,8.15,9.59,8.26,8.403500000000001,1,2.330607743205744,0.44281547120909137,20.0
9,How long should my showers be?,"York, PA",2,2.0,195,Apartment,48,15,15.0,6.13,6.67,8.6,4.48,6.565499999999999,3,3.495911614808616,0.664223206813637,30.0
10,How long should my showers be?,"West Chester, PA",3,1.5,270,Single-family,58,5,5.0,10.0,10.0,7.43,2.44,8.352,3,0.8138073079223155,0.15462338850523993,7.5
10,How long should my showers be?,"West Chester, PA",3,1.5,270,Single-family,58,7,7.0,9.86,9.56,9.32,5.87,9.0485,1,1.1393302310912417,0.21647274390733592,10.5
10,How long should my showers be?,"West Chester, PA",3,1.5,270,Single-family,58,10,10.0,9.09,8.89,9.59,8.26,8.9955,2,1.627614615844631,0.30924677701047987,15.0
11,How long should my showers be?,"State College, PA",4,2.5,290,Single-family,30,6,6.0,8.59,8.89,8.42,4.27,8.013,1,1.9405017138997913,0.36869532564096036,15.0
11,How long should my showers be?,"State College, PA",4,2.5,290,Single-family,30,10,10.0,6.55,7.41,8.82,5.09,7.085999999999999,2,3.234169523166319,0.6144922094016005,25.0
11,How long should my showers be?,"State College, PA",4,2.5,290,Single-family,30,15,15.0,3.99,5.56,5.53,4.48,4.920999999999999,3,4.851254284749478,0.9217383141024008,37.5
12,How long should my showers be?,"Doylestown, PA",3,2.5,310,Single-family,85,6,6.0,9.41,8.89,8.42,4.27,8.259,1,1.4230345901931802,0.27037657213670424,15.0
12,How long should my showers be?,"Doylestown, PA",3,2.5,310,Single-family,85,9,9.0,8.29,7.78,9.78,4.48,7.837999999999998,2,2.1345518852897705,0.4055648582050564,22.5
12,How long should my showers be?,"Doylestown, PA",3,2.5,310,Single-family,85,12,12.0,7.16,6.67,9.21,6.24,7.2605,3,2.8460691803863605,0.5407531442734085,30.0
13,What's the ideal shower length?,"Media, PA",2,2.0,220,Townhouse,52,5,5.0,9.33,9.63,6.57,2.44,7.8495,2,1.478190969658032,0.28085628423502607,10.0
13,What's the ideal shower length?,"Media, PA",2,2.0,220,Townhouse,52,8,8.0,7.92,8.74,9.29,7.29,8.3865,1,2.3651055514528516,0.4493700547760418,16.0
13,What's the ideal shower length?,"Media, PA",2,2.0,220,Townhouse,52,12,12.0,6.05,7.56,8.48,9.16,7.531,3,3.547658327179277,0.6740550821640626,24.0
14,What's the ideal shower length?,"Norristown, PA",4,2.5,250,Apartment,35,6,6.0,8.65,8.89,8.42,4.27,8.031,1,1.904399356431888,0.3618358777220587,15.0
14,What's the ideal shower length?,"Norristown, PA",4,2.5,250,Apartment,35,10,10.0,6.64,7.41,8.82,5.09,7.1129999999999995,2,3.1739989273864806,0.6030597962034313,25.0
14,What's the ideal shower length?,"Norristown, PA",4,2.5,250,Apartment,35,15,15.0,4.13,5.56,5.53,4.48,4.962999999999999,3,4.7609983910797204,0.9045896943051469,37.5
15,What's the ideal shower length?,"King of Prussia, PA",3,2.0,340,Single-family,62,6,6.0,9.67,9.33,8.42,4.27,8.491,2,1.2635825113766082,0.24008067716155554,12.0
15,What's the ideal shower length?,"King of Prussia, PA",3,2.0,340,Single-family,62,9,9.0,8.67,8.44,9.78,7.78,8.677999999999999,1,1.8953737670649125,0.36012101574233335,18.0
15,What's the ideal shower length?,"King of Prussia, PA",3,2.0,340,Single-family,62,12,12.0,7.67,7.56,9.21,6.24,7.725,3,2.5271650227532163,0.4801613543231111,24.0
16,How long should my showers be?,"Pottstown, PA",2,2.0,210,Apartment,78,5,5.0,10.0,9.63,7.43,2.44,8.2225,3,0.9486897267954535,0.18025104809113618,10.0
16,How long should my showers be?,"Pottstown, PA",2,2.0,210,Apartment,78,8,8.0,9.26,8.74,9.96,7.29,8.9225,1,1.5179035628727255,0.28840167694581786,16.0
16,How long should my showers be?,"Pottstown, PA",2,2.0,210,Apartment,78,12,12.0,8.06,7.56,9.21,9.16,8.280000000000001,2,2.276855344309088,0.43260251541872674,24.0
17,What's the ideal shower length?,"Exton, PA",4,2.5,320,Single-family,55,6,6.0,9.03,8.89,8.42,4.27,8.145,1,1.6637169733125343,0.3161062249293815,15.0
17,What's the ideal shower length?,"Exton, PA",4,2.5,320,Single-family,55,9,9.0,7.72,7.78,9.37,4.48,7.584999999999999,2,2.4955754599688014,0.4741593373940723,22.5
17,What's the ideal shower length?,"Exton, PA",4,2.5,320,Single-family,55,12,12.0,6.4,6.67,7.62,6.24,6.7145,3,3.3274339466250686,0.632212449858763,30.0
18,What's the ideal shower length?,"Newtown, PA",3,2.0,280,Single-family,33,5,5.0,9.63,9.63,7.43,2.44,8.111500000000001,3,1.285645063162549,0.2442725620008843,10.0
18,What's the ideal shower length?,"Newtown, PA",3,2.0,280,Single-family,33,7,7.0,8.82,9.04,9.32,5.87,8.554499999999999,1,1.7999030884275684,0.341981586801238,14.0
18,What's the ideal shower length?,"Newtown, PA",3,2.0,280,Single-family,33,10,10.0,7.6,8.15,9.59,8.26,8.2895,2,2.571290126325098,0.4885451240017686,20.0
19,What's the ideal shower length?,"Wilkes-Barre, PA",2,2.5,200,Apartment,58,2,2.0,10.0,10.0,1.79,0.0,6.858,1,0.5425382052815436,0.10308225900349328,5.0
19,What's the ideal shower length?,"Wilkes-Barre, PA",2,2.5,200,Apartment,58,16,16.0,4.79,5.19,8.23,4.03,5.504,2,4.340305642252349,0.8246580720279463,40.0
19,What's the ideal shower length?,"Wilkes-Barre, PA",2,2.5,200,Apartment,58,29,29.0,0.0,0.37,1.53,0.0,0.43550000000000005,3,7.866803976582384,1.4946927555506528,72.5
